date,HKDGBP,isPartial
2017-03-19,33,False
2017-03-26,0,False
2017-04-02,26,False
2017-04-09,30,False
2017-04-16,51,False
2017-04-23,0,False
2017-04-30,29,False
2017-05-07,34,False
2017-05-14,27,False
2017-05-21,31,False
2017-05-28,0,False
2017-06-04,46,False
2017-06-11,54,False
2017-06-18,27,False
2017-06-25,0,False
2017-07-02,37,False
2017-07-09,0,False
2017-07-16,0,False
2017-07-23,31,False
2017-07-30,26,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,61,False
2017-08-27,35,False
2017-09-03,26,False
2017-09-10,0,False
2017-09-17,34,False
2017-09-24,0,False
2017-10-01,26,False
2017-10-08,58,False
2017-10-15,34,False
2017-10-22,0,False
2017-10-29,25,False
2017-11-05,25,False
2017-11-12,25,False
2017-11-19,0,False
2017-11-26,24,False
2017-12-03,54,False
2017-12-10,100,False
2017-12-17,26,False
2017-12-24,0,False
2017-12-31,0,True
