date,USDHUF,isPartial
2013-01-06,34,False
2013-01-13,0,False
2013-01-20,17,False
2013-01-27,33,False
2013-02-03,44,False
2013-02-10,28,False
2013-02-17,24,False
2013-02-24,35,False
2013-03-03,61,False
2013-03-10,34,False
2013-03-17,60,False
2013-03-24,44,False
2013-03-31,65,False
2013-04-07,47,False
2013-04-14,30,False
2013-04-21,41,False
2013-04-28,44,False
2013-05-05,36,False
2013-05-12,38,False
2013-05-19,29,False
2013-05-26,43,False
2013-06-02,32,False
2013-06-09,34,False
2013-06-16,33,False
2013-06-23,65,False
2013-06-30,24,False
2013-07-07,30,False
2013-07-14,30,False
2013-07-21,38,False
2013-07-28,37,False
2013-08-04,17,False
2013-08-11,28,False
2013-08-18,46,False
2013-08-25,26,False
2013-09-01,45,False
2013-09-08,31,False
2013-09-15,41,False
2013-09-22,37,False
2013-09-29,33,False
2013-10-06,29,False
2013-10-13,61,False
2013-10-20,40,False
2013-10-27,73,False
2013-11-03,44,False
2013-11-10,56,False
2013-11-17,27,False
2013-11-24,52,False
2013-12-01,39,False
2013-12-08,35,False
2013-12-15,57,False
2013-12-22,24,False
2013-12-29,43,False
2014-01-05,22,False
2014-01-12,21,False
2014-01-19,23,False
2014-01-26,49,False
2014-02-02,63,False
2014-02-09,45,False
2014-02-16,49,False
2014-02-23,26,False
2014-03-02,26,False
2014-03-09,30,False
2014-03-16,49,False
2014-03-23,25,False
2014-03-30,20,False
2014-04-06,61,False
2014-04-13,22,False
2014-04-20,33,False
2014-04-27,30,False
2014-05-04,30,False
2014-05-11,35,False
2014-05-18,32,False
2014-05-25,29,False
2014-06-01,40,False
2014-06-08,29,False
2014-06-15,82,False
2014-06-22,29,False
2014-06-29,18,False
2014-07-06,29,False
2014-07-13,28,False
2014-07-20,21,False
2014-07-27,56,False
2014-08-03,36,False
2014-08-10,29,False
2014-08-17,32,False
2014-08-24,29,False
2014-08-31,33,False
2014-09-07,37,False
2014-09-14,30,False
2014-09-21,24,False
2014-09-28,37,False
2014-10-05,36,False
2014-10-12,29,False
2014-10-19,15,False
2014-10-26,29,False
2014-11-02,34,False
2014-11-09,21,False
2014-11-16,16,False
2014-11-23,24,False
2014-11-30,26,False
2014-12-07,29,False
2014-12-14,78,False
2014-12-21,81,False
2014-12-28,58,False
2015-01-04,62,False
2015-01-11,73,False
2015-01-18,83,False
2015-01-25,75,False
2015-02-01,61,False
2015-02-08,61,False
2015-02-15,37,False
2015-02-22,58,False
2015-03-01,71,False
2015-03-08,43,False
2015-03-15,57,False
2015-03-22,57,False
2015-03-29,56,False
2015-04-05,44,False
2015-04-12,53,False
2015-04-19,33,False
2015-04-26,27,False
2015-05-03,50,False
2015-05-10,64,False
2015-05-17,50,False
2015-05-24,62,False
2015-05-31,15,False
2015-06-07,72,False
2015-06-14,47,False
2015-06-21,63,False
2015-06-28,51,False
2015-07-05,50,False
2015-07-12,55,False
2015-07-19,47,False
2015-07-26,39,False
2015-08-02,76,False
2015-08-09,68,False
2015-08-16,48,False
2015-08-23,70,False
2015-08-30,66,False
2015-09-06,45,False
2015-09-13,41,False
2015-09-20,58,False
2015-09-27,37,False
2015-10-04,23,False
2015-10-11,47,False
2015-10-18,18,False
2015-10-25,40,False
2015-11-01,53,False
2015-11-08,46,False
2015-11-15,56,False
2015-11-22,37,False
2015-11-29,65,False
2015-12-06,33,False
2015-12-13,68,False
2015-12-20,33,False
2015-12-27,41,False
2016-01-03,64,False
2016-01-10,27,False
2016-01-17,33,False
2016-01-24,41,False
2016-01-31,34,False
2016-02-07,49,False
2016-02-14,42,False
2016-02-21,24,False
2016-02-28,40,False
2016-03-06,27,False
2016-03-13,37,False
2016-03-20,49,False
2016-03-27,35,False
2016-04-03,84,False
2016-04-10,55,False
2016-04-17,55,False
2016-04-24,37,False
2016-05-01,48,False
2016-05-08,41,False
2016-05-15,39,False
2016-05-22,49,False
2016-05-29,39,False
2016-06-05,59,False
2016-06-12,49,False
2016-06-19,57,False
2016-06-26,50,False
2016-07-03,30,False
2016-07-10,39,False
2016-07-17,41,False
2016-07-24,26,False
2016-07-31,34,False
2016-08-07,34,False
2016-08-14,29,False
2016-08-21,38,False
2016-08-28,29,False
2016-09-04,47,False
2016-09-11,32,False
2016-09-18,46,False
2016-09-25,42,False
2016-10-02,43,False
2016-10-09,46,False
2016-10-16,30,False
2016-10-23,19,False
2016-10-30,29,False
2016-11-06,84,False
2016-11-13,61,False
2016-11-20,46,False
2016-11-27,63,False
2016-12-04,49,False
2016-12-11,43,False
2016-12-18,28,False
2016-12-25,44,False
2017-01-01,45,False
2017-01-08,29,False
2017-01-15,22,False
2017-01-22,35,False
2017-01-29,25,False
2017-02-05,25,False
