date,GBPTRY,isPartial
2013-01-06,23,False
2013-01-13,0,False
2013-01-20,18,False
2013-01-27,0,False
2013-02-03,34,False
2013-02-10,17,False
2013-02-17,22,False
2013-02-24,0,False
2013-03-03,17,False
2013-03-10,16,False
2013-03-17,16,False
2013-03-24,0,False
2013-03-31,24,False
2013-04-07,19,False
2013-04-14,22,False
2013-04-21,0,False
2013-04-28,19,False
2013-05-05,24,False
2013-05-12,30,False
2013-05-19,24,False
2013-05-26,21,False
2013-06-02,29,False
2013-06-09,21,False
2013-06-16,24,False
2013-06-23,22,False
2013-06-30,17,False
2013-07-07,25,False
2013-07-14,17,False
2013-07-21,0,False
2013-07-28,0,False
2013-08-04,17,False
2013-08-11,17,False
2013-08-18,37,False
2013-08-25,17,False
2013-09-01,16,False
2013-09-08,26,False
2013-09-15,16,False
2013-09-22,16,False
2013-09-29,18,False
2013-10-06,20,False
2013-10-13,21,False
2013-10-20,15,False
2013-10-27,17,False
2013-11-03,26,False
2013-11-10,15,False
2013-11-17,15,False
2013-11-24,15,False
2013-12-01,17,False
2013-12-08,17,False
2013-12-15,15,False
2013-12-22,26,False
2013-12-29,35,False
2014-01-05,19,False
2014-01-12,21,False
2014-01-19,30,False
2014-01-26,38,False
2014-02-02,32,False
2014-02-09,28,False
2014-02-16,0,False
2014-02-23,14,False
2014-03-02,14,False
2014-03-09,32,False
2014-03-16,21,False
2014-03-23,14,False
2014-03-30,28,False
2014-04-06,29,False
2014-04-13,30,False
2014-04-20,15,False
2014-04-27,14,False
2014-05-04,16,False
2014-05-11,14,False
2014-05-18,0,False
2014-05-25,24,False
2014-06-01,0,False
2014-06-08,17,False
2014-06-15,21,False
2014-06-22,32,False
2014-06-29,0,False
2014-07-06,16,False
2014-07-13,22,False
2014-07-20,19,False
2014-07-27,18,False
2014-08-03,25,False
2014-08-10,16,False
2014-08-17,21,False
2014-08-24,16,False
2014-08-31,23,False
2014-09-07,0,False
2014-09-14,15,False
2014-09-21,17,False
2014-09-28,0,False
2014-10-05,17,False
2014-10-12,15,False
2014-10-19,21,False
2014-10-26,29,False
2014-11-02,29,False
2014-11-09,14,False
2014-11-16,44,False
2014-11-23,14,False
2014-11-30,16,False
2014-12-07,14,False
2014-12-14,21,False
2014-12-21,21,False
2014-12-28,27,False
2015-01-04,16,False
2015-01-11,23,False
2015-01-18,27,False
2015-01-25,34,False
2015-02-01,34,False
2015-02-08,27,False
2015-02-15,37,False
2015-02-22,27,False
2015-03-01,25,False
2015-03-08,29,False
2015-03-15,21,False
2015-03-22,15,False
2015-03-29,14,False
2015-04-05,21,False
2015-04-12,14,False
2015-04-19,25,False
2015-04-26,29,False
2015-05-03,18,False
2015-05-10,23,False
2015-05-17,31,False
2015-05-24,54,False
2015-05-31,33,False
2015-06-07,39,False
2015-06-14,23,False
2015-06-21,34,False
2015-06-28,25,False
2015-07-05,14,False
2015-07-12,40,False
2015-07-19,25,False
2015-07-26,15,False
2015-08-02,20,False
2015-08-09,20,False
2015-08-16,36,False
2015-08-23,25,False
2015-08-30,28,False
2015-09-06,33,False
2015-09-13,27,False
2015-09-20,21,False
2015-09-27,30,False
2015-10-04,13,False
2015-10-11,19,False
2015-10-18,18,False
2015-10-25,13,False
2015-11-01,37,False
2015-11-08,19,False
2015-11-15,18,False
2015-11-22,21,False
2015-11-29,12,False
2015-12-06,17,False
2015-12-13,25,False
2015-12-20,24,False
2015-12-27,24,False
2016-01-03,28,False
2016-01-10,19,False
2016-01-17,22,False
2016-01-24,22,False
2016-01-31,13,False
2016-02-07,13,False
2016-02-14,33,False
2016-02-21,23,False
2016-02-28,25,False
2016-03-06,19,False
2016-03-13,21,False
2016-03-20,22,False
2016-03-27,17,False
2016-04-03,31,False
2016-04-10,26,False
2016-04-17,30,False
2016-04-24,24,False
2016-05-01,18,False
2016-05-08,19,False
2016-05-15,28,False
2016-05-22,53,False
2016-05-29,15,False
2016-06-05,32,False
2016-06-12,28,False
2016-06-19,100,False
2016-06-26,76,False
2016-07-03,38,False
2016-07-10,74,False
2016-07-17,60,False
2016-07-24,41,False
2016-07-31,41,False
2016-08-07,34,False
2016-08-14,52,False
2016-08-21,24,False
2016-08-28,27,False
2016-09-04,55,False
2016-09-11,20,False
2016-09-18,32,False
2016-09-25,27,False
2016-10-02,46,False
2016-10-09,21,False
2016-10-16,52,False
2016-10-23,32,False
2016-10-30,35,False
2016-11-06,44,False
2016-11-13,45,False
2016-11-20,39,False
2016-11-27,43,False
2016-12-04,43,False
2016-12-11,23,False
2016-12-18,19,False
2016-12-25,14,False
2017-01-01,21,False
2017-01-08,42,False
2017-01-15,26,False
2017-01-22,21,False
2017-01-29,44,False
2017-02-05,26,False
2017-02-12,13,False
2017-02-19,42,False
2017-02-26,26,False
2017-03-05,17,False
2017-03-12,12,False
2017-03-19,19,False
2017-03-26,18,False
2017-04-02,18,False
2017-04-09,27,False
2017-04-16,45,False
2017-04-23,16,False
2017-04-30,12,False
2017-05-07,24,False
2017-05-14,19,False
2017-05-21,14,False
2017-05-28,26,False
2017-06-04,34,False
2017-06-11,22,False
2017-06-18,23,False
2017-06-25,39,False
2017-07-02,32,False
2017-07-09,19,False
2017-07-16,24,False
2017-07-23,21,False
2017-07-30,14,False
2017-08-06,13,False
2017-08-13,24,False
2017-08-20,23,False
2017-08-27,13,False
2017-09-03,19,False
2017-09-10,16,False
2017-09-17,23,False
