date,COPPEN,isPartial
2013-01-06,19,False
2013-01-13,22,False
2013-01-20,22,False
2013-01-27,20,False
2013-02-03,23,False
2013-02-10,21,False
2013-02-17,15,False
2013-02-24,18,False
2013-03-03,18,False
2013-03-10,21,False
2013-03-17,15,False
2013-03-24,25,False
2013-03-31,16,False
2013-04-07,21,False
2013-04-14,19,False
2013-04-21,23,False
2013-04-28,17,False
2013-05-05,15,False
2013-05-12,26,False
2013-05-19,24,False
2013-05-26,15,False
2013-06-02,17,False
2013-06-09,19,False
2013-06-16,21,False
2013-06-23,19,False
2013-06-30,14,False
2013-07-07,6,False
2013-07-14,14,False
2013-07-21,14,False
2013-07-28,12,False
2013-08-04,14,False
2013-08-11,17,False
2013-08-18,17,False
2013-08-25,14,False
2013-09-01,17,False
2013-09-08,18,False
2013-09-15,17,False
2013-09-22,13,False
2013-09-29,13,False
2013-10-06,19,False
2013-10-13,12,False
2013-10-20,16,False
2013-10-27,15,False
2013-11-03,18,False
2013-11-10,21,False
2013-11-17,15,False
2013-11-24,19,False
2013-12-01,21,False
2013-12-08,11,False
2013-12-15,18,False
2013-12-22,18,False
2013-12-29,15,False
2014-01-05,17,False
2014-01-12,18,False
2014-01-19,24,False
2014-01-26,21,False
2014-02-02,18,False
2014-02-09,23,False
2014-02-16,20,False
2014-02-23,15,False
2014-03-02,16,False
2014-03-09,23,False
2014-03-16,17,False
2014-03-23,23,False
2014-03-30,18,False
2014-04-06,13,False
2014-04-13,16,False
2014-04-20,18,False
2014-04-27,20,False
2014-05-04,18,False
2014-05-11,21,False
2014-05-18,18,False
2014-05-25,25,False
2014-06-01,17,False
2014-06-08,17,False
2014-06-15,22,False
2014-06-22,13,False
2014-06-29,14,False
2014-07-06,19,False
2014-07-13,18,False
2014-07-20,18,False
2014-07-27,17,False
2014-08-03,7,False
2014-08-10,18,False
2014-08-17,14,False
2014-08-24,15,False
2014-08-31,16,False
2014-09-07,21,False
2014-09-14,15,False
2014-09-21,18,False
2014-09-28,21,False
2014-10-05,26,False
2014-10-12,20,False
2014-10-19,15,False
2014-10-26,12,False
2014-11-02,25,False
2014-11-09,22,False
2014-11-16,18,False
2014-11-23,18,False
2014-11-30,16,False
2014-12-07,20,False
2014-12-14,10,False
2014-12-21,18,False
2014-12-28,16,False
2015-01-04,17,False
2015-01-11,20,False
2015-01-18,21,False
2015-01-25,17,False
2015-02-01,14,False
2015-02-08,21,False
2015-02-15,14,False
2015-02-22,17,False
2015-03-01,20,False
2015-03-08,15,False
2015-03-15,20,False
2015-03-22,14,False
2015-03-29,20,False
2015-04-05,14,False
2015-04-12,21,False
2015-04-19,13,False
2015-04-26,17,False
2015-05-03,21,False
2015-05-10,17,False
2015-05-17,15,False
2015-05-24,15,False
2015-05-31,19,False
2015-06-07,14,False
2015-06-14,25,False
2015-06-21,15,False
2015-06-28,15,False
2015-07-05,15,False
2015-07-12,17,False
2015-07-19,20,False
2015-07-26,12,False
2015-08-02,11,False
2015-08-09,16,False
2015-08-16,16,False
2015-08-23,28,False
2015-08-30,19,False
2015-09-06,21,False
2015-09-13,16,False
2015-09-20,18,False
2015-09-27,14,False
2015-10-04,15,False
2015-10-11,15,False
2015-10-18,19,False
2015-10-25,12,False
2015-11-01,17,False
2015-11-08,17,False
2015-11-15,22,False
2015-11-22,18,False
2015-11-29,22,False
2015-12-06,21,False
2015-12-13,19,False
2015-12-20,17,False
2015-12-27,18,False
2016-01-03,24,False
2016-01-10,18,False
2016-01-17,15,False
2016-01-24,19,False
2016-01-31,19,False
2016-02-07,22,False
2016-02-14,16,False
2016-02-21,15,False
2016-02-28,15,False
2016-03-06,17,False
2016-03-13,20,False
2016-03-20,10,False
2016-03-27,17,False
2016-04-03,13,False
2016-04-10,22,False
2016-04-17,22,False
2016-04-24,18,False
2016-05-01,16,False
2016-05-08,23,False
2016-05-15,23,False
2016-05-22,18,False
2016-05-29,18,False
2016-06-05,26,False
2016-06-12,24,False
2016-06-19,31,False
2016-06-26,37,False
2016-07-03,32,False
2016-07-10,37,False
2016-07-17,21,False
2016-07-24,15,False
2016-07-31,13,False
2016-08-07,20,False
2016-08-14,25,False
2016-08-21,25,False
2016-08-28,25,False
2016-09-04,24,False
2016-09-11,23,False
2016-09-18,23,False
2016-09-25,19,False
2016-10-02,15,False
2016-10-09,20,False
2016-10-16,22,False
2016-10-23,18,False
2016-10-30,18,False
2016-11-06,16,False
2016-11-13,21,False
2016-11-20,14,False
