date,GBPNOK,isPartial
2013-01-06,0,False
2013-01-13,20,False
2013-01-20,51,False
2013-01-27,15,False
2013-02-03,0,False
2013-02-10,15,False
2013-02-17,15,False
2013-02-24,0,False
2013-03-03,15,False
2013-03-10,14,False
2013-03-17,21,False
2013-03-24,15,False
2013-03-31,19,False
2013-04-07,19,False
2013-04-14,14,False
2013-04-21,20,False
2013-04-28,22,False
2013-05-05,0,False
2013-05-12,0,False
2013-05-19,29,False
2013-05-26,16,False
2013-06-02,14,False
2013-06-09,32,False
2013-06-16,21,False
2013-06-23,21,False
2013-06-30,22,False
2013-07-07,38,False
2013-07-14,80,False
2013-07-21,30,False
2013-07-28,44,False
2013-08-04,16,False
2013-08-11,17,False
2013-08-18,17,False
2013-08-25,28,False
2013-09-01,21,False
2013-09-08,27,False
2013-09-15,14,False
2013-09-22,14,False
2013-09-29,0,False
2013-10-06,18,False
2013-10-13,25,False
2013-10-20,19,False
2013-10-27,25,False
2013-11-03,15,False
2013-11-10,27,False
2013-11-17,15,False
2013-11-24,38,False
2013-12-01,24,False
2013-12-08,13,False
2013-12-15,23,False
2013-12-22,15,False
2013-12-29,14,False
2014-01-05,26,False
2014-01-12,13,False
2014-01-19,51,False
2014-01-26,19,False
2014-02-02,15,False
2014-02-09,25,False
2014-02-16,25,False
2014-02-23,0,False
2014-03-02,36,False
2014-03-09,14,False
2014-03-16,14,False
2014-03-23,14,False
2014-03-30,17,False
2014-04-06,13,False
2014-04-13,13,False
2014-04-20,13,False
2014-04-27,26,False
2014-05-04,13,False
2014-05-11,37,False
2014-05-18,13,False
2014-05-25,16,False
2014-06-01,0,False
2014-06-08,14,False
2014-06-15,28,False
2014-06-22,0,False
2014-06-29,14,False
2014-07-06,21,False
2014-07-13,14,False
2014-07-20,21,False
2014-07-27,29,False
2014-08-03,34,False
2014-08-10,0,False
2014-08-17,20,False
2014-08-24,0,False
2014-08-31,20,False
2014-09-07,18,False
2014-09-14,24,False
2014-09-21,18,False
2014-09-28,15,False
2014-10-05,19,False
2014-10-12,0,False
2014-10-19,0,False
2014-10-26,53,False
2014-11-02,37,False
2014-11-09,83,False
2014-11-16,15,False
2014-11-23,34,False
2014-11-30,13,False
2014-12-07,13,False
2014-12-14,15,False
2014-12-21,19,False
2014-12-28,15,False
2015-01-04,50,False
2015-01-11,35,False
2015-01-18,22,False
2015-01-25,16,False
2015-02-01,20,False
2015-02-08,30,False
2015-02-15,25,False
2015-02-22,22,False
2015-03-01,18,False
2015-03-08,48,False
2015-03-15,36,False
2015-03-22,19,False
2015-03-29,21,False
2015-04-05,18,False
2015-04-12,0,False
2015-04-19,20,False
2015-04-26,24,False
2015-05-03,31,False
2015-05-10,14,False
2015-05-17,12,False
2015-05-24,24,False
2015-05-31,12,False
2015-06-07,22,False
2015-06-14,31,False
2015-06-21,24,False
2015-06-28,49,False
2015-07-05,40,False
2015-07-12,12,False
2015-07-19,35,False
2015-07-26,13,False
2015-08-02,26,False
2015-08-09,21,False
2015-08-16,24,False
2015-08-23,27,False
2015-08-30,23,False
2015-09-06,17,False
2015-09-13,34,False
2015-09-20,23,False
2015-09-27,16,False
2015-10-04,22,False
2015-10-11,13,False
2015-10-18,17,False
2015-10-25,51,False
2015-11-01,24,False
2015-11-08,25,False
2015-11-15,22,False
2015-11-22,20,False
2015-11-29,19,False
2015-12-06,25,False
2015-12-13,21,False
2015-12-20,12,False
2015-12-27,28,False
2016-01-03,20,False
2016-01-10,38,False
2016-01-17,42,False
2016-01-24,42,False
2016-01-31,12,False
2016-02-07,47,False
2016-02-14,21,False
2016-02-21,45,False
2016-02-28,34,False
2016-03-06,17,False
2016-03-13,21,False
2016-03-20,14,False
2016-03-27,31,False
2016-04-03,26,False
2016-04-10,26,False
2016-04-17,38,False
2016-04-24,11,False
2016-05-01,35,False
2016-05-08,17,False
2016-05-15,40,False
2016-05-22,17,False
2016-05-29,24,False
2016-06-05,26,False
2016-06-12,13,False
2016-06-19,99,False
2016-06-26,100,False
2016-07-03,50,False
2016-07-10,13,False
2016-07-17,36,False
2016-07-24,21,False
2016-07-31,36,False
2016-08-07,13,False
2016-08-14,33,False
2016-08-21,25,False
2016-08-28,12,False
2016-09-04,24,False
2016-09-11,24,False
2016-09-18,14,False
2016-09-25,21,False
2016-10-02,34,False
2016-10-09,26,False
2016-10-16,27,False
2016-10-23,38,False
2016-10-30,21,False
2016-11-06,29,False
2016-11-13,17,False
2016-11-20,23,False
2016-11-27,12,False
2016-12-04,13,False
2016-12-11,23,False
2016-12-18,27,False
2016-12-25,12,False
2017-01-01,13,False
2017-01-08,25,False
2017-01-15,24,False
2017-01-22,12,False
2017-01-29,19,False
2017-02-05,11,False
2017-02-12,10,False
2017-02-19,21,False
2017-02-26,24,False
2017-03-05,19,False
2017-03-12,15,False
2017-03-19,18,False
2017-03-26,11,False
2017-04-02,12,False
2017-04-09,22,False
2017-04-16,18,False
2017-04-23,18,False
2017-04-30,33,False
2017-05-07,11,False
2017-05-14,21,False
2017-05-21,17,False
2017-05-28,23,False
2017-06-04,20,False
2017-06-11,23,False
2017-06-18,20,False
2017-06-25,12,False
2017-07-02,47,False
2017-07-09,20,False
2017-07-16,24,False
2017-07-23,34,False
2017-07-30,28,False
2017-08-06,22,False
2017-08-13,28,False
2017-08-20,28,False
2017-08-27,28,False
2017-09-03,20,False
2017-09-10,20,False
2017-09-17,25,False
2017-09-24,12,False
2017-10-01,11,False
2017-10-08,22,False
2017-10-15,31,False
2017-10-22,16,False
2017-10-29,11,False
2017-11-05,10,False
2017-11-12,18,False
2017-11-19,19,False
2017-11-26,21,False
2017-12-03,16,False
2017-12-10,19,False
2017-12-17,12,False
2017-12-24,23,False
2017-12-31,0,True
