date,USDKRW,isPartial
2013-01-06,30,False
2013-01-13,48,False
2013-01-20,44,False
2013-01-27,69,False
2013-02-03,48,False
2013-02-10,34,False
2013-02-17,36,False
2013-02-24,29,False
2013-03-03,17,False
2013-03-10,35,False
2013-03-17,73,False
2013-03-24,29,False
2013-03-31,58,False
2013-04-07,100,False
2013-04-14,46,False
2013-04-21,47,False
2013-04-28,18,False
2013-05-05,40,False
2013-05-12,39,False
2013-05-19,34,False
2013-05-26,29,False
2013-06-02,21,False
2013-06-09,39,False
2013-06-16,50,False
2013-06-23,83,False
2013-06-30,63,False
2013-07-07,70,False
2013-07-14,37,False
2013-07-21,59,False
2013-07-28,33,False
2013-08-04,15,False
2013-08-11,60,False
2013-08-18,39,False
2013-08-25,67,False
2013-09-01,31,False
2013-09-08,37,False
2013-09-15,37,False
2013-09-22,52,False
2013-09-29,32,False
2013-10-06,31,False
2013-10-13,27,False
2013-10-20,40,False
2013-10-27,47,False
2013-11-03,26,False
2013-11-10,40,False
2013-11-17,46,False
2013-11-24,21,False
2013-12-01,18,False
2013-12-08,33,False
2013-12-15,20,False
2013-12-22,56,False
2013-12-29,29,False
2014-01-05,42,False
2014-01-12,35,False
2014-01-19,28,False
2014-01-26,47,False
2014-02-02,23,False
2014-02-09,12,False
2014-02-16,21,False
2014-02-23,25,False
2014-03-02,22,False
2014-03-09,19,False
2014-03-16,19,False
2014-03-23,21,False
2014-03-30,34,False
2014-04-06,47,False
2014-04-13,23,False
2014-04-20,35,False
2014-04-27,35,False
2014-05-04,37,False
2014-05-11,46,False
2014-05-18,49,False
2014-05-25,49,False
2014-06-01,63,False
2014-06-08,56,False
2014-06-15,17,False
2014-06-22,68,False
2014-06-29,61,False
2014-07-06,66,False
2014-07-13,32,False
2014-07-20,28,False
2014-07-27,29,False
2014-08-03,33,False
2014-08-10,35,False
2014-08-17,10,False
2014-08-24,21,False
2014-08-31,30,False
2014-09-07,46,False
2014-09-14,36,False
2014-09-21,26,False
2014-09-28,27,False
2014-10-05,23,False
2014-10-12,26,False
2014-10-19,23,False
2014-10-26,19,False
2014-11-02,35,False
2014-11-09,37,False
2014-11-16,29,False
2014-11-23,28,False
2014-11-30,22,False
2014-12-07,28,False
2014-12-14,19,False
2014-12-21,14,False
2014-12-28,10,False
2015-01-04,24,False
2015-01-11,33,False
2015-01-18,12,False
2015-01-25,30,False
2015-02-01,33,False
2015-02-08,27,False
2015-02-15,12,False
