date,CADHKD,isPartial
2013-01-06,0,False
2013-01-13,32,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,0,False
2013-02-24,0,False
2013-03-03,23,False
2013-03-10,34,False
2013-03-17,23,False
2013-03-24,40,False
2013-03-31,0,False
2013-04-07,30,False
2013-04-14,0,False
2013-04-21,23,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,23,False
2013-05-19,30,False
2013-05-26,25,False
2013-06-02,41,False
2013-06-09,0,False
2013-06-16,35,False
2013-06-23,23,False
2013-06-30,24,False
2013-07-07,34,False
2013-07-14,24,False
2013-07-21,0,False
2013-07-28,23,False
2013-08-04,32,False
2013-08-11,47,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,22,False
2013-09-08,25,False
2013-09-15,29,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,0,False
2013-10-20,0,False
2013-10-27,21,False
2013-11-03,0,False
2013-11-10,28,False
2013-11-17,31,False
2013-11-24,28,False
2013-12-01,21,False
2013-12-08,48,False
2013-12-15,21,False
2013-12-22,32,False
2013-12-29,46,False
2014-01-05,23,False
2014-01-12,60,False
2014-01-19,59,False
2014-01-26,0,False
2014-02-02,36,False
2014-02-09,0,False
2014-02-16,20,False
2014-02-23,36,False
2014-03-02,20,False
2014-03-09,23,False
2014-03-16,20,False
2014-03-23,20,False
2014-03-30,0,False
2014-04-06,0,False
2014-04-13,24,False
2014-04-20,0,False
2014-04-27,27,False
2014-05-04,20,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,22,False
2014-06-15,61,False
2014-06-22,26,False
2014-06-29,42,False
2014-07-06,33,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,23,False
2014-08-03,24,False
2014-08-10,34,False
2014-08-17,22,False
2014-08-24,0,False
2014-08-31,32,False
2014-09-07,32,False
2014-09-14,36,False
2014-09-21,42,False
2014-09-28,21,False
2014-10-05,42,False
2014-10-12,36,False
2014-10-19,21,False
2014-10-26,0,False
2014-11-02,20,False
2014-11-09,36,False
2014-11-16,27,False
2014-11-23,22,False
2014-11-30,20,False
2014-12-07,52,False
2014-12-14,53,False
2014-12-21,39,False
2014-12-28,25,False
2015-01-04,50,False
2015-01-11,33,False
2015-01-18,62,False
2015-01-25,48,False
2015-02-01,34,False
2015-02-08,22,False
2015-02-15,26,False
2015-02-22,28,False
2015-03-01,22,False
2015-03-08,22,False
2015-03-15,38,False
2015-03-22,67,False
2015-03-29,49,False
2015-04-05,19,False
2015-04-12,28,False
2015-04-19,22,False
2015-04-26,35,False
2015-05-03,44,False
2015-05-10,21,False
2015-05-17,22,False
2015-05-24,38,False
2015-05-31,35,False
2015-06-07,32,False
2015-06-14,33,False
2015-06-21,19,False
2015-06-28,44,False
2015-07-05,83,False
2015-07-12,78,False
2015-07-19,78,False
2015-07-26,22,False
2015-08-02,0,False
2015-08-09,48,False
2015-08-16,41,False
2015-08-23,61,False
2015-08-30,54,False
2015-09-06,55,False
2015-09-13,18,False
2015-09-20,81,False
2015-09-27,54,False
2015-10-04,51,False
2015-10-11,35,False
2015-10-18,19,False
2015-10-25,38,False
2015-11-01,51,False
2015-11-08,26,False
2015-11-15,20,False
2015-11-22,26,False
2015-11-29,26,False
2015-12-06,79,False
2015-12-13,52,False
2015-12-20,23,False
2015-12-27,36,False
2016-01-03,65,False
2016-01-10,66,False
2016-01-17,84,False
2016-01-24,53,False
2016-01-31,100,False
2016-02-07,37,False
2016-02-14,20,False
2016-02-21,33,False
2016-02-28,46,False
2016-03-06,79,False
2016-03-13,46,False
2016-03-20,48,False
2016-03-27,73,False
2016-04-03,27,False
2016-04-10,63,False
2016-04-17,80,False
2016-04-24,59,False
2016-05-01,74,False
2016-05-08,18,False
2016-05-15,60,False
2016-05-22,41,False
2016-05-29,21,False
2016-06-05,21,False
2016-06-12,46,False
2016-06-19,66,False
2016-06-26,56,False
2016-07-03,57,False
2016-07-10,35,False
2016-07-17,23,False
2016-07-24,39,False
2016-07-31,20,False
2016-08-07,37,False
2016-08-14,31,False
2016-08-21,40,False
2016-08-28,35,False
2016-09-04,26,False
2016-09-11,19,False
2016-09-18,55,False
2016-09-25,37,False
2016-10-02,42,False
2016-10-09,19,False
2016-10-16,87,False
2016-10-23,75,False
2016-10-30,32,False
2016-11-06,66,False
2016-11-13,47,False
2016-11-20,46,False
2016-11-27,88,False
2016-12-04,44,False
2016-12-11,44,False
2016-12-18,48,False
2016-12-25,28,False
2017-01-01,42,False
2017-01-08,38,False
2017-01-15,17,False
2017-01-22,17,False
2017-01-29,31,False
2017-02-05,17,False
2017-02-12,25,False
2017-02-19,19,False
2017-02-26,33,False
2017-03-05,42,False
2017-03-12,60,False
2017-03-19,25,False
2017-03-26,19,False
2017-04-02,39,False
2017-04-09,20,False
2017-04-16,19,False
2017-04-23,55,False
2017-04-30,38,False
2017-05-07,43,False
2017-05-14,33,False
2017-05-21,52,False
2017-05-28,36,False
2017-06-04,39,False
2017-06-11,39,False
2017-06-18,26,False
2017-06-25,28,False
2017-07-02,34,False
2017-07-09,31,False
2017-07-16,67,False
2017-07-23,53,False
2017-07-30,45,False
2017-08-06,18,False
2017-08-13,39,False
2017-08-20,32,False
2017-08-27,32,False
2017-09-03,51,False
2017-09-10,31,False
2017-09-17,40,False
2017-09-24,38,False
2017-10-01,31,False
2017-10-08,20,False
2017-10-15,31,False
2017-10-22,34,False
2017-10-29,37,False
2017-11-05,42,False
2017-11-12,22,False
2017-11-19,50,False
2017-11-26,71,False
2017-12-03,79,False
2017-12-10,41,False
2017-12-17,38,False
2017-12-24,34,False
2017-12-31,0,True
