date,USDMAD,isPartial
2017-07-16,23,False
2017-07-23,22,False
2017-07-30,22,False
2017-08-06,0,False
2017-08-13,0,False
2017-08-20,0,False
2017-08-27,22,False
2017-09-03,43,False
2017-09-10,24,False
2017-09-17,23,False
2017-09-24,21,False
2017-10-01,23,False
2017-10-08,21,False
2017-10-15,0,False
2017-10-22,0,False
2017-10-29,21,False
2017-11-05,0,False
2017-11-12,0,False
2017-11-19,0,False
2017-11-26,34,False
2017-12-03,27,False
2017-12-10,38,False
2017-12-17,32,False
2017-12-24,26,False
2017-12-31,0,True
