date,USDKRW,isPartial
2013-01-06,28,False
2013-01-13,45,False
2013-01-20,45,False
2013-01-27,71,False
2013-02-03,48,False
2013-02-10,32,False
2013-02-17,34,False
2013-02-24,27,False
2013-03-03,27,False
2013-03-10,33,False
2013-03-17,84,False
2013-03-24,28,False
2013-03-31,51,False
2013-04-07,100,False
2013-04-14,34,False
2013-04-21,41,False
2013-04-28,14,False
2013-05-05,31,False
2013-05-12,40,False
2013-05-19,37,False
2013-05-26,18,False
2013-06-02,20,False
2013-06-09,40,False
2013-06-16,60,False
2013-06-23,71,False
2013-06-30,56,False
2013-07-07,59,False
2013-07-14,28,False
2013-07-21,48,False
2013-07-28,27,False
2013-08-04,11,False
2013-08-11,28,False
2013-08-18,41,False
2013-08-25,56,False
2013-09-01,20,False
2013-09-08,48,False
2013-09-15,51,False
2013-09-22,52,False
2013-09-29,26,False
2013-10-06,35,False
2013-10-13,25,False
2013-10-20,38,False
2013-10-27,47,False
2013-11-03,22,False
2013-11-10,37,False
2013-11-17,46,False
2013-11-24,29,False
2013-12-01,17,False
2013-12-08,37,False
2013-12-15,28,False
2013-12-22,49,False
2013-12-29,30,False
2014-01-05,42,False
2014-01-12,33,False
2014-01-19,26,False
2014-01-26,53,False
2014-02-02,18,False
2014-02-09,14,False
2014-02-16,16,False
2014-02-23,23,False
2014-03-02,18,False
2014-03-09,15,False
2014-03-16,15,False
2014-03-23,14,False
2014-03-30,20,False
2014-04-06,44,False
2014-04-13,21,False
2014-04-20,24,False
2014-04-27,39,False
2014-05-04,29,False
2014-05-11,41,False
2014-05-18,56,False
2014-05-25,46,False
2014-06-01,62,False
2014-06-08,49,False
2014-06-15,20,False
2014-06-22,45,False
2014-06-29,64,False
2014-07-06,49,False
2014-07-13,37,False
2014-07-20,27,False
2014-07-27,34,False
2014-08-03,24,False
2014-08-10,36,False
2014-08-17,13,False
2014-08-24,19,False
2014-08-31,25,False
2014-09-07,40,False
2014-09-14,22,False
2014-09-21,15,False
2014-09-28,22,False
2014-10-05,22,False
2014-10-12,29,False
2014-10-19,27,False
2014-10-26,15,False
2014-11-02,33,False
2014-11-09,32,False
2014-11-16,27,False
2014-11-23,24,False
2014-11-30,20,False
2014-12-07,24,False
2014-12-14,27,False
2014-12-21,17,False
2014-12-28,9,False
2015-01-04,20,False
2015-01-11,23,False
2015-01-18,14,False
2015-01-25,25,False
2015-02-01,25,False
2015-02-08,26,False
2015-02-15,14,False
2015-02-22,44,False
2015-03-01,28,False
2015-03-08,36,False
2015-03-15,33,False
2015-03-22,15,False
2015-03-29,32,False
2015-04-05,22,False
2015-04-12,19,False
2015-04-19,22,False
2015-04-26,20,False
2015-05-03,22,False
2015-05-10,31,False
2015-05-17,14,False
2015-05-24,25,False
2015-05-31,19,False
2015-06-07,25,False
2015-06-14,33,False
2015-06-21,17,False
2015-06-28,42,False
2015-07-05,36,False
2015-07-12,34,False
2015-07-19,28,False
2015-07-26,42,False
2015-08-02,31,False
2015-08-09,42,False
2015-08-16,44,False
2015-08-23,38,False
2015-08-30,32,False
2015-09-06,40,False
2015-09-13,39,False
2015-09-20,48,False
2015-09-27,31,False
2015-10-04,36,False
2015-10-11,18,False
2015-10-18,41,False
2015-10-25,31,False
2015-11-01,33,False
2015-11-08,36,False
2015-11-15,28,False
2015-11-22,33,False
2015-11-29,23,False
2015-12-06,33,False
2015-12-13,42,False
2015-12-20,38,False
2015-12-27,27,False
2016-01-03,49,False
2016-01-10,48,False
2016-01-17,27,False
2016-01-24,24,False
2016-01-31,59,False
2016-02-07,40,False
2016-02-14,82,False
