date,AUDCAD,isPartial
2013-01-06,15,False
2013-01-13,20,False
2013-01-20,21,False
2013-01-27,10,False
2013-02-03,25,False
2013-02-10,10,False
2013-02-17,29,False
2013-02-24,28,False
2013-03-03,17,False
2013-03-10,59,False
2013-03-17,24,False
2013-03-24,18,False
2013-03-31,24,False
2013-04-07,27,False
2013-04-14,17,False
2013-04-21,24,False
2013-04-28,18,False
2013-05-05,31,False
2013-05-12,17,False
2013-05-19,17,False
2013-05-26,41,False
2013-06-02,27,False
2013-06-09,30,False
2013-06-16,100,False
2013-06-23,24,False
2013-06-30,19,False
2013-07-07,17,False
2013-07-14,19,False
2013-07-21,21,False
2013-07-28,14,False
2013-08-04,28,False
2013-08-11,19,False
2013-08-18,14,False
2013-08-25,27,False
2013-09-01,23,False
2013-09-08,24,False
2013-09-15,27,False
2013-09-22,22,False
2013-09-29,16,False
2013-10-06,10,False
2013-10-13,18,False
2013-10-20,19,False
2013-10-27,20,False
2013-11-03,29,False
2013-11-10,25,False
2013-11-17,28,False
2013-11-24,9,False
2013-12-01,25,False
2013-12-08,34,False
2013-12-15,32,False
2013-12-22,11,False
2013-12-29,19,False
2014-01-05,15,False
2014-01-12,15,False
2014-01-19,44,False
2014-01-26,18,False
2014-02-02,34,False
2014-02-09,20,False
2014-02-16,21,False
2014-02-23,24,False
2014-03-02,8,False
2014-03-09,33,False
2014-03-16,49,False
2014-03-23,50,False
2014-03-30,42,False
2014-04-06,38,False
2014-04-13,19,False
2014-04-20,15,False
2014-04-27,27,False
2014-05-04,18,False
2014-05-11,12,False
2014-05-18,16,False
2014-05-25,18,False
2014-06-01,27,False
2014-06-08,41,False
2014-06-15,32,False
2014-06-22,13,False
2014-06-29,31,False
2014-07-06,26,False
2014-07-13,20,False
2014-07-20,38,False
2014-07-27,31,False
2014-08-03,19,False
2014-08-10,9,False
2014-08-17,16,False
2014-08-24,15,False
2014-08-31,26,False
2014-09-07,28,False
2014-09-14,32,False
2014-09-21,21,False
2014-09-28,19,False
2014-10-05,25,False
2014-10-12,10,False
2014-10-19,17,False
2014-10-26,13,False
2014-11-02,36,False
2014-11-09,19,False
2014-11-16,18,False
2014-11-23,21,False
2014-11-30,21,False
2014-12-07,25,False
2014-12-14,25,False
2014-12-21,14,False
2014-12-28,23,False
2015-01-04,20,False
2015-01-11,20,False
2015-01-18,11,False
2015-01-25,25,False
2015-02-01,22,False
2015-02-08,23,False
2015-02-15,9,False
2015-02-22,34,False
2015-03-01,23,False
2015-03-08,23,False
2015-03-15,20,False
2015-03-22,34,False
2015-03-29,35,False
2015-04-05,12,False
2015-04-12,31,False
2015-04-19,13,False
2015-04-26,37,False
2015-05-03,17,False
2015-05-10,23,False
2015-05-17,20,False
2015-05-24,17,False
2015-05-31,29,False
2015-06-07,20,False
2015-06-14,23,False
2015-06-21,20,False
2015-06-28,35,False
2015-07-05,17,False
2015-07-12,26,False
2015-07-19,15,False
2015-07-26,20,False
2015-08-02,32,False
2015-08-09,34,False
2015-08-16,20,False
2015-08-23,31,False
2015-08-30,50,False
2015-09-06,25,False
2015-09-13,24,False
2015-09-20,27,False
2015-09-27,26,False
2015-10-04,24,False
2015-10-11,18,False
2015-10-18,18,False
2015-10-25,21,False
2015-11-01,24,False
2015-11-08,34,False
2015-11-15,39,False
2015-11-22,23,False
2015-11-29,16,False
2015-12-06,26,False
2015-12-13,59,False
2015-12-20,39,False
2015-12-27,26,False
2016-01-03,37,False
2016-01-10,19,False
2016-01-17,25,False
2016-01-24,14,False
2016-01-31,36,False
2016-02-07,28,False
2016-02-14,30,False
2016-02-21,42,False
2016-02-28,43,False
2016-03-06,27,False
2016-03-13,35,False
2016-03-20,25,False
2016-03-27,19,False
2016-04-03,26,False
2016-04-10,36,False
2016-04-17,27,False
2016-04-24,38,False
2016-05-01,30,False
