date,USDNOK,isPartial
2013-01-06,22,False
2013-01-13,36,False
2013-01-20,30,False
2013-01-27,24,False
2013-02-03,13,False
2013-02-10,14,False
2013-02-17,12,False
2013-02-24,20,False
2013-03-03,41,False
2013-03-10,17,False
2013-03-17,20,False
2013-03-24,12,False
2013-03-31,26,False
2013-04-07,17,False
2013-04-14,17,False
2013-04-21,27,False
2013-04-28,26,False
2013-05-05,29,False
2013-05-12,12,False
2013-05-19,11,False
2013-05-26,21,False
2013-06-02,12,False
2013-06-09,12,False
2013-06-16,23,False
2013-06-23,38,False
2013-06-30,27,False
2013-07-07,20,False
2013-07-14,12,False
2013-07-21,13,False
2013-07-28,12,False
2013-08-04,17,False
2013-08-11,30,False
2013-08-18,17,False
2013-08-25,16,False
2013-09-01,25,False
2013-09-08,32,False
2013-09-15,24,False
2013-09-22,16,False
2013-09-29,32,False
2013-10-06,16,False
2013-10-13,20,False
2013-10-20,37,False
2013-10-27,22,False
2013-11-03,27,False
2013-11-10,16,False
2013-11-17,11,False
2013-11-24,51,False
2013-12-01,27,False
2013-12-08,19,False
2013-12-15,38,False
2013-12-22,18,False
2013-12-29,23,False
2014-01-05,31,False
2014-01-12,26,False
2014-01-19,10,False
2014-01-26,33,False
2014-02-02,18,False
2014-02-09,10,False
2014-02-16,15,False
2014-02-23,29,False
2014-03-02,33,False
2014-03-09,44,False
2014-03-16,35,False
2014-03-23,25,False
2014-03-30,15,False
2014-04-06,23,False
2014-04-13,21,False
2014-04-20,19,False
2014-04-27,10,False
2014-05-04,22,False
2014-05-11,10,False
2014-05-18,12,False
2014-05-25,11,False
2014-06-01,19,False
2014-06-08,17,False
2014-06-15,25,False
2014-06-22,25,False
2014-06-29,34,False
2014-07-06,34,False
2014-07-13,20,False
2014-07-20,34,False
2014-07-27,25,False
2014-08-03,22,False
2014-08-10,21,False
2014-08-17,37,False
2014-08-24,15,False
2014-08-31,35,False
2014-09-07,31,False
2014-09-14,35,False
2014-09-21,27,False
2014-09-28,39,False
2014-10-05,31,False
2014-10-12,31,False
2014-10-19,15,False
