date,USDHKD,isPartial
2013-01-06,17,False
2013-01-13,23,False
2013-01-20,6,False
2013-01-27,14,False
2013-02-03,23,False
2013-02-10,10,False
2013-02-17,16,False
2013-02-24,10,False
2013-03-03,11,False
2013-03-10,10,False
2013-03-17,22,False
2013-03-24,12,False
2013-03-31,11,False
2013-04-07,16,False
2013-04-14,16,False
2013-04-21,14,False
2013-04-28,16,False
2013-05-05,20,False
2013-05-12,14,False
2013-05-19,22,False
2013-05-26,11,False
2013-06-02,20,False
2013-06-09,11,False
2013-06-16,18,False
2013-06-23,14,False
2013-06-30,27,False
2013-07-07,8,False
2013-07-14,23,False
2013-07-21,0,False
2013-07-28,8,False
2013-08-04,10,False
2013-08-11,8,False
2013-08-18,19,False
2013-08-25,8,False
2013-09-01,6,False
2013-09-08,11,False
2013-09-15,11,False
2013-09-22,10,False
2013-09-29,15,False
2013-10-06,10,False
2013-10-13,9,False
2013-10-20,8,False
2013-10-27,8,False
2013-11-03,22,False
2013-11-10,7,False
2013-11-17,9,False
2013-11-24,11,False
2013-12-01,10,False
2013-12-08,7,False
2013-12-15,8,False
2013-12-22,6,False
2013-12-29,8,False
2014-01-05,13,False
2014-01-12,12,False
2014-01-19,11,False
2014-01-26,22,False
2014-02-02,15,False
2014-02-09,12,False
2014-02-16,23,False
2014-02-23,17,False
2014-03-02,19,False
2014-03-09,14,False
2014-03-16,24,False
2014-03-23,12,False
2014-03-30,14,False
2014-04-06,12,False
2014-04-13,18,False
2014-04-20,13,False
2014-04-27,16,False
2014-05-04,16,False
2014-05-11,19,False
2014-05-18,20,False
2014-05-25,12,False
2014-06-01,18,False
2014-06-08,10,False
2014-06-15,19,False
2014-06-22,8,False
2014-06-29,22,False
2014-07-06,22,False
2014-07-13,12,False
2014-07-20,12,False
2014-07-27,18,False
2014-08-03,10,False
2014-08-10,10,False
2014-08-17,14,False
2014-08-24,11,False
2014-08-31,11,False
2014-09-07,15,False
2014-09-14,9,False
2014-09-21,15,False
2014-09-28,24,False
2014-10-05,22,False
2014-10-12,27,False
2014-10-19,7,False
2014-10-26,11,False
2014-11-02,14,False
2014-11-09,18,False
2014-11-16,14,False
2014-11-23,14,False
2014-11-30,21,False
2014-12-07,18,False
2014-12-14,9,False
2014-12-21,12,False
2014-12-28,11,False
2015-01-04,7,False
2015-01-11,20,False
2015-01-18,17,False
