date,AUDSGD,isPartial
2015-11-01,32,False
2015-11-08,55,False
2015-11-15,42,False
2015-11-22,26,False
2015-11-29,42,False
2015-12-06,39,False
2015-12-13,30,False
2015-12-20,33,False
2015-12-27,25,False
2016-01-03,35,False
2016-01-10,77,False
2016-01-17,51,False
2016-01-24,51,False
2016-01-31,34,False
2016-02-07,64,False
2016-02-14,40,False
2016-02-21,36,False
2016-02-28,26,False
2016-03-06,30,False
2016-03-13,23,False
2016-03-20,31,False
2016-03-27,47,False
2016-04-03,30,False
2016-04-10,37,False
2016-04-17,44,False
2016-04-24,47,False
2016-05-01,89,False
2016-05-08,61,False
2016-05-15,57,False
2016-05-22,41,False
2016-05-29,35,False
2016-06-05,37,False
2016-06-12,34,False
2016-06-19,52,False
2016-06-26,52,False
2016-07-03,51,False
2016-07-10,36,False
2016-07-17,44,False
2016-07-24,43,False
2016-07-31,40,False
2016-08-07,53,False
2016-08-14,42,False
2016-08-21,11,False
2016-08-28,35,False
2016-09-04,53,False
2016-09-11,43,False
2016-09-18,52,False
2016-09-25,24,False
2016-10-02,20,False
2016-10-09,38,False
2016-10-16,31,False
2016-10-23,44,False
2016-10-30,34,False
2016-11-06,50,False
2016-11-13,40,False
2016-11-20,37,False
2016-11-27,26,False
2016-12-04,16,False
2016-12-11,62,False
2016-12-18,42,False
2016-12-25,62,False
2017-01-01,30,False
2017-01-08,25,False
2017-01-15,22,False
2017-01-22,13,False
2017-01-29,31,False
2017-02-05,16,False
2017-02-12,37,False
2017-02-19,38,False
2017-02-26,30,False
2017-03-05,33,False
2017-03-12,33,False
2017-03-19,22,False
2017-03-26,47,False
2017-04-02,50,False
2017-04-09,29,False
2017-04-16,50,False
2017-04-23,25,False
2017-04-30,32,False
2017-05-07,53,False
2017-05-14,40,False
2017-05-21,37,False
2017-05-28,34,False
2017-06-04,43,False
2017-06-11,26,False
2017-06-18,29,False
2017-06-25,20,False
2017-07-02,58,False
2017-07-09,34,False
2017-07-16,44,False
2017-07-23,47,False
2017-07-30,36,False
2017-08-06,23,False
2017-08-13,39,False
2017-08-20,23,False
2017-08-27,33,False
2017-09-03,29,False
2017-09-10,41,False
2017-09-17,25,False
2017-09-24,44,False
2017-10-01,51,False
2017-10-08,51,False
2017-10-15,32,False
2017-10-22,43,False
2017-10-29,31,False
2017-11-05,27,False
2017-11-12,58,False
2017-11-19,43,False
2017-11-26,60,False
2017-12-03,80,False
2017-12-10,67,False
2017-12-17,51,False
2017-12-24,44,False
2017-12-31,22,True
