date,AUDSGD,isPartial
2013-01-06,25,False
2013-01-13,30,False
2013-01-20,22,False
2013-01-27,17,False
2013-02-03,17,False
2013-02-10,26,False
2013-02-17,30,False
2013-02-24,30,False
2013-03-03,29,False
2013-03-10,29,False
2013-03-17,46,False
2013-03-24,39,False
2013-03-31,38,False
2013-04-07,46,False
2013-04-14,68,False
2013-04-21,41,False
2013-04-28,52,False
2013-05-05,56,False
2013-05-12,67,False
2013-05-19,42,False
2013-05-26,55,False
2013-06-02,100,False
2013-06-09,99,False
2013-06-16,63,False
2013-06-23,43,False
2013-06-30,87,False
2013-07-07,43,False
2013-07-14,57,False
2013-07-21,48,False
2013-07-28,51,False
2013-08-04,35,False
2013-08-11,43,False
2013-08-18,38,False
2013-08-25,41,False
2013-09-01,65,False
2013-09-08,24,False
2013-09-15,31,False
2013-09-22,32,False
2013-09-29,24,False
2013-10-06,16,False
2013-10-13,28,False
2013-10-20,18,False
2013-10-27,43,False
2013-11-03,24,False
2013-11-10,35,False
2013-11-17,66,False
2013-11-24,39,False
2013-12-01,19,False
2013-12-08,27,False
2013-12-15,32,False
2013-12-22,36,False
2013-12-29,29,False
2014-01-05,23,False
2014-01-12,22,False
2014-01-19,22,False
2014-01-26,29,False
2014-02-02,34,False
2014-02-09,22,False
2014-02-16,33,False
2014-02-23,25,False
2014-03-02,26,False
2014-03-09,20,False
2014-03-16,26,False
2014-03-23,15,False
2014-03-30,41,False
2014-04-06,41,False
2014-04-13,23,False
2014-04-20,34,False
2014-04-27,22,False
2014-05-04,50,False
2014-05-11,20,False
2014-05-18,31,False
2014-05-25,61,False
2014-06-01,37,False
2014-06-08,29,False
2014-06-15,33,False
2014-06-22,15,False
2014-06-29,26,False
2014-07-06,33,False
2014-07-13,38,False
2014-07-20,21,False
2014-07-27,38,False
2014-08-03,30,False
2014-08-10,42,False
2014-08-17,37,False
2014-08-24,16,False
2014-08-31,25,False
2014-09-07,35,False
2014-09-14,46,False
2014-09-21,46,False
2014-09-28,43,False
2014-10-05,39,False
2014-10-12,46,False
2014-10-19,23,False
2014-10-26,38,False
2014-11-02,48,False
2014-11-09,44,False
2014-11-16,30,False
2014-11-23,30,False
2014-11-30,29,False
2014-12-07,56,False
2014-12-14,54,False
2014-12-21,63,False
2014-12-28,28,False
2015-01-04,29,False
2015-01-11,39,False
2015-01-18,53,False
2015-01-25,94,False
2015-02-01,80,False
2015-02-08,49,False
2015-02-15,36,False
2015-02-22,21,False
2015-03-01,31,False
2015-03-08,42,False
2015-03-15,35,False
2015-03-22,26,False
2015-03-29,40,False
2015-04-05,75,False
2015-04-12,35,False
2015-04-19,31,False
2015-04-26,32,False
2015-05-03,46,False
2015-05-10,35,False
2015-05-17,17,False
2015-05-24,49,False
2015-05-31,14,False
2015-06-07,35,False
2015-06-14,35,False
2015-06-21,35,False
2015-06-28,39,False
2015-07-05,67,False
2015-07-12,64,False
2015-07-19,61,False
2015-07-26,84,False
2015-08-02,77,False
2015-08-09,63,False
2015-08-16,59,False
2015-08-23,51,False
2015-08-30,68,False
2015-09-06,81,False
2015-09-13,49,False
2015-09-20,53,False
2015-09-27,49,False
2015-10-04,52,False
2015-10-11,65,False
2015-10-18,68,False
2015-10-25,75,False
