date,CHFSGD,isPartial
2013-01-06,0,False
2013-01-13,37,False
2013-01-20,38,False
2013-01-27,45,False
2013-02-03,0,False
2013-02-10,34,False
2013-02-17,33,False
2013-02-24,0,False
2013-03-03,33,False
2013-03-10,0,False
2013-03-17,56,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,33,False
2013-04-14,0,False
2013-04-21,33,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,37,False
2013-05-19,0,False
2013-05-26,74,False
2013-06-02,37,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,50,False
2013-06-30,0,False
2013-07-07,44,False
2013-07-14,0,False
2013-07-21,0,False
2013-07-28,33,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,47,False
2013-08-25,32,False
2013-09-01,32,False
2013-09-08,31,False
2013-09-15,31,False
2013-09-22,42,False
2013-09-29,0,False
2013-10-06,35,False
2013-10-13,0,False
2013-10-20,30,False
2013-10-27,35,False
2013-11-03,30,False
2013-11-10,0,False
2013-11-17,0,False
2013-11-24,30,False
2013-12-01,29,False
2013-12-08,0,False
2013-12-15,61,False
2013-12-22,58,False
2013-12-29,0,False
2014-01-05,29,False
2014-01-12,29,False
2014-01-19,0,False
2014-01-26,0,False
2014-02-02,30,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,75,False
2014-03-02,33,False
2014-03-09,32,False
2014-03-16,49,False
2014-03-23,42,False
2014-03-30,38,False
2014-04-06,29,False
2014-04-13,0,False
2014-04-20,32,False
2014-04-27,0,False
2014-05-04,38,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,63,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,32,False
2014-06-22,32,False
2014-06-29,32,False
2014-07-06,32,False
2014-07-13,0,False
2014-07-20,65,False
2014-07-27,66,False
2014-08-03,34,False
2014-08-10,43,False
2014-08-17,0,False
2014-08-24,31,False
2014-08-31,30,False
2014-09-07,30,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,41,False
2014-10-05,34,False
2014-10-12,59,False
2014-10-19,0,False
2014-10-26,34,False
2014-11-02,0,False
2014-11-09,0,False
2014-11-16,0,False
2014-11-23,76,False
2014-11-30,28,False
2014-12-07,57,False
2014-12-14,43,False
2014-12-21,0,False
2014-12-28,0,False
2015-01-04,28,False
2015-01-11,100,False
2015-01-18,78,False
2015-01-25,46,False
2015-02-01,36,False
2015-02-08,40,False
2015-02-15,37,False
2015-02-22,72,False
2015-03-01,36,False
2015-03-08,0,False
2015-03-15,26,False
2015-03-22,50,False
2015-03-29,0,False
2015-04-05,37,False
2015-04-12,27,False
2015-04-19,41,False
2015-04-26,36,False
2015-05-03,0,False
2015-05-10,40,False
2015-05-17,0,False
2015-05-24,36,False
2015-05-31,0,False
2015-06-07,27,False
2015-06-14,0,False
2015-06-21,36,False
2015-06-28,28,False
2015-07-05,40,False
2015-07-12,0,False
2015-07-19,0,False
2015-07-26,36,False
2015-08-02,37,False
2015-08-09,40,False
2015-08-16,46,False
2015-08-23,38,False
2015-08-30,26,False
2015-09-06,26,False
2015-09-13,0,False
2015-09-20,0,False
2015-09-27,25,False
2015-10-04,25,False
2015-10-11,34,False
2015-10-18,50,False
2015-10-25,25,False
2015-11-01,67,False
2015-11-08,33,False
2015-11-15,25,False
2015-11-22,43,False
2015-11-29,0,False
2015-12-06,25,False
2015-12-13,25,False
2015-12-20,0,False
2015-12-27,28,False
2016-01-03,0,False
2016-01-10,44,False
2016-01-17,0,False
2016-01-24,26,False
2016-01-31,26,False
2016-02-07,26,False
2016-02-14,34,False
2016-02-21,51,False
2016-02-28,34,False
2016-03-06,0,False
2016-03-13,0,False
2016-03-20,36,False
2016-03-27,26,False
2016-04-03,34,False
2016-04-10,26,False
2016-04-17,0,False
2016-04-24,26,False
2016-05-01,45,False
2016-05-08,52,False
2016-05-15,0,False
2016-05-22,0,False
2016-05-29,61,False
2016-06-05,26,False
2016-06-12,39,False
2016-06-19,30,False
2016-06-26,40,False
2016-07-03,49,False
2016-07-10,0,False
2016-07-17,75,False
2016-07-24,0,False
2016-07-31,28,False
2016-08-07,39,False
2016-08-14,0,False
2016-08-21,29,False
2016-08-28,27,False
2016-09-04,31,False
2016-09-11,27,False
2016-09-18,0,False
2016-09-25,27,False
2016-10-02,26,False
2016-10-09,0,False
2016-10-16,29,False
2016-10-23,30,False
2016-10-30,0,False
2016-11-06,26,False
2016-11-13,26,False
2016-11-20,26,False
2016-11-27,0,False
2016-12-04,0,False
2016-12-11,34,False
2016-12-18,0,False
2016-12-25,0,False
2017-01-01,26,False
2017-01-08,0,False
2017-01-15,0,False
2017-01-22,24,False
2017-01-29,32,False
2017-02-05,28,False
2017-02-12,24,False
2017-02-19,33,False
