date,USDPLN,isPartial
2013-01-06,25,False
2013-01-13,12,False
2013-01-20,19,False
2013-01-27,16,False
2013-02-03,18,False
2013-02-10,15,False
2013-02-17,27,False
2013-02-24,24,False
2013-03-03,15,False
2013-03-10,12,False
2013-03-17,15,False
2013-03-24,14,False
2013-03-31,11,False
2013-04-07,14,False
2013-04-14,20,False
2013-04-21,18,False
2013-04-28,15,False
2013-05-05,14,False
2013-05-12,23,False
2013-05-19,14,False
2013-05-26,12,False
2013-06-02,17,False
2013-06-09,20,False
2013-06-16,35,False
2013-06-23,28,False
2013-06-30,12,False
2013-07-07,12,False
2013-07-14,18,False
2013-07-21,16,False
2013-07-28,9,False
2013-08-04,33,False
2013-08-11,0,False
2013-08-18,36,False
2013-08-25,17,False
2013-09-01,17,False
2013-09-08,17,False
2013-09-15,11,False
2013-09-22,11,False
2013-09-29,22,False
2013-10-06,30,False
2013-10-13,27,False
2013-10-20,21,False
2013-10-27,16,False
2013-11-03,11,False
2013-11-10,8,False
2013-11-17,13,False
2013-11-24,8,False
2013-12-01,29,False
2013-12-08,13,False
2013-12-15,14,False
2013-12-22,8,False
2013-12-29,17,False
2014-01-05,18,False
2014-01-12,13,False
2014-01-19,24,False
2014-01-26,23,False
2014-02-02,21,False
2014-02-09,15,False
2014-02-16,20,False
2014-02-23,24,False
2014-03-02,25,False
2014-03-09,14,False
2014-03-16,18,False
2014-03-23,8,False
2014-03-30,28,False
2014-04-06,18,False
2014-04-13,14,False
2014-04-20,14,False
2014-04-27,21,False
2014-05-04,25,False
2014-05-11,15,False
2014-05-18,15,False
2014-05-25,8,False
2014-06-01,9,False
2014-06-08,16,False
2014-06-15,23,False
2014-06-22,23,False
2014-06-29,17,False
2014-07-06,0,False
2014-07-13,23,False
2014-07-20,14,False
2014-07-27,16,False
2014-08-03,25,False
2014-08-10,8,False
2014-08-17,25,False
2014-08-24,11,False
2014-08-31,34,False
2014-09-07,22,False
2014-09-14,19,False
2014-09-21,11,False
2014-09-28,25,False
2014-10-05,13,False
2014-10-12,16,False
2014-10-19,24,False
2014-10-26,21,False
2014-11-02,13,False
2014-11-09,16,False
2014-11-16,16,False
2014-11-23,23,False
2014-11-30,18,False
2014-12-07,23,False
2014-12-14,18,False
2014-12-21,14,False
2014-12-28,37,False
2015-01-04,51,False
2015-01-11,42,False
2015-01-18,66,False
2015-01-25,48,False
2015-02-01,22,False
2015-02-08,17,False
2015-02-15,12,False
2015-02-22,19,False
2015-03-01,22,False
2015-03-08,60,False
2015-03-15,45,False
2015-03-22,31,False
2015-03-29,32,False
2015-04-05,24,False
2015-04-12,34,False
2015-04-19,34,False
2015-04-26,27,False
2015-05-03,24,False
2015-05-10,31,False
2015-05-17,19,False
2015-05-24,38,False
