date,EURPEN,isPartial
2013-01-06,77,False
2013-01-13,28,False
2013-01-20,50,False
2013-01-27,45,False
2013-02-03,49,False
2013-02-10,63,False
2013-02-17,74,False
2013-02-24,70,False
2013-03-03,71,False
2013-03-10,52,False
2013-03-17,69,False
2013-03-24,38,False
2013-03-31,70,False
2013-04-07,69,False
2013-04-14,55,False
2013-04-21,55,False
2013-04-28,63,False
2013-05-05,28,False
2013-05-12,27,False
2013-05-19,53,False
2013-05-26,82,False
2013-06-02,55,False
2013-06-09,72,False
2013-06-16,0,False
2013-06-23,56,False
2013-06-30,57,False
2013-07-07,72,False
2013-07-14,25,False
2013-07-21,50,False
2013-07-28,74,False
2013-08-04,43,False
2013-08-11,50,False
2013-08-18,24,False
2013-08-25,67,False
2013-09-01,51,False
2013-09-08,25,False
2013-09-15,46,False
2013-09-22,26,False
2013-09-29,67,False
2013-10-06,50,False
2013-10-13,39,False
2013-10-20,33,False
2013-10-27,26,False
2013-11-03,33,False
2013-11-10,22,False
2013-11-17,48,False
2013-11-24,34,False
2013-12-01,48,False
2013-12-08,25,False
2013-12-15,41,False
2013-12-22,25,False
2013-12-29,36,False
2014-01-05,0,False
2014-01-12,49,False
2014-01-19,46,False
2014-01-26,54,False
2014-02-02,40,False
2014-02-09,30,False
2014-02-16,39,False
2014-02-23,46,False
2014-03-02,31,False
2014-03-09,24,False
2014-03-16,31,False
2014-03-23,24,False
2014-03-30,24,False
2014-04-06,21,False
2014-04-13,22,False
2014-04-20,39,False
2014-04-27,21,False
2014-05-04,21,False
2014-05-11,38,False
2014-05-18,67,False
2014-05-25,54,False
2014-06-01,51,False
2014-06-08,43,False
2014-06-15,43,False
2014-06-22,24,False
2014-06-29,55,False
2014-07-06,24,False
2014-07-13,64,False
2014-07-20,44,False
2014-07-27,35,False
2014-08-03,73,False
2014-08-10,27,False
2014-08-17,23,False
2014-08-24,23,False
2014-08-31,23,False
2014-09-07,51,False
2014-09-14,33,False
2014-09-21,32,False
2014-09-28,33,False
2014-10-05,22,False
2014-10-12,63,False
2014-10-19,40,False
2014-10-26,32,False
2014-11-02,43,False
2014-11-09,86,False
2014-11-16,79,False
2014-11-23,39,False
2014-11-30,61,False
2014-12-07,55,False
2014-12-14,40,False
2014-12-21,48,False
2014-12-28,47,False
2015-01-04,47,False
2015-01-11,60,False
2015-01-18,37,False
2015-01-25,51,False
2015-02-01,36,False
2015-02-08,60,False
2015-02-15,47,False
2015-02-22,36,False
2015-03-01,51,False
2015-03-08,30,False
2015-03-15,40,False
2015-03-22,43,False
2015-03-29,23,False
2015-04-05,41,False
2015-04-12,30,False
2015-04-19,44,False
2015-04-26,37,False
2015-05-03,51,False
2015-05-10,20,False
2015-05-17,29,False
2015-05-24,23,False
2015-05-31,40,False
2015-06-07,59,False
2015-06-14,44,False
2015-06-21,57,False
2015-06-28,35,False
2015-07-05,100,False
2015-07-12,82,False
2015-07-19,70,False
2015-07-26,27,False
2015-08-02,30,False
2015-08-09,69,False
2015-08-16,51,False
2015-08-23,59,False
2015-08-30,29,False
2015-09-06,44,False
2015-09-13,28,False
2015-09-20,28,False
2015-09-27,47,False
2015-10-04,61,False
2015-10-11,28,False
2015-10-18,34,False
2015-10-25,40,False
2015-11-01,74,False
2015-11-08,19,False
2015-11-15,27,False
2015-11-22,54,False
2015-11-29,40,False
2015-12-06,40,False
2015-12-13,19,False
2015-12-20,21,False
2015-12-27,24,False
2016-01-03,43,False
2016-01-10,21,False
2016-01-17,78,False
2016-01-24,33,False
2016-01-31,70,False
2016-02-07,71,False
2016-02-14,19,False
2016-02-21,41,False
2016-02-28,38,False
2016-03-06,32,False
2016-03-13,19,False
2016-03-20,20,False
2016-03-27,45,False
2016-04-03,21,False
2016-04-10,39,False
2016-04-17,44,False
2016-04-24,55,False
2016-05-01,28,False
2016-05-08,49,False
2016-05-15,22,False
2016-05-22,50,False
2016-05-29,34,False
2016-06-05,50,False
2016-06-12,35,False
2016-06-19,58,False
2016-06-26,40,False
2016-07-03,54,False
2016-07-10,22,False
2016-07-17,42,False
