date,EURPLN,isPartial
2013-01-06,19,False
2013-01-13,31,False
2013-01-20,43,False
2013-01-27,33,False
2013-02-03,31,False
2013-02-10,17,False
2013-02-17,20,False
2013-02-24,28,False
2013-03-03,18,False
2013-03-10,30,False
2013-03-17,24,False
2013-03-24,14,False
2013-03-31,20,False
2013-04-07,22,False
2013-04-14,30,False
2013-04-21,28,False
2013-04-28,20,False
2013-05-05,19,False
2013-05-12,20,False
2013-05-19,22,False
2013-05-26,32,False
2013-06-02,28,False
2013-06-09,22,False
2013-06-16,22,False
2013-06-23,32,False
2013-06-30,26,False
2013-07-07,29,False
2013-07-14,25,False
2013-07-21,37,False
2013-07-28,15,False
2013-08-04,21,False
2013-08-11,13,False
2013-08-18,18,False
2013-08-25,17,False
2013-09-01,29,False
2013-09-08,15,False
2013-09-15,17,False
2013-09-22,24,False
2013-09-29,17,False
2013-10-06,13,False
2013-10-13,21,False
2013-10-20,26,False
2013-10-27,14,False
2013-11-03,18,False
2013-11-10,18,False
2013-11-17,9,False
2013-11-24,32,False
2013-12-01,23,False
2013-12-08,20,False
2013-12-15,24,False
2013-12-22,12,False
2013-12-29,22,False
2014-01-05,20,False
2014-01-12,18,False
2014-01-19,19,False
2014-01-26,23,False
2014-02-02,22,False
2014-02-09,15,False
2014-02-16,19,False
2014-02-23,17,False
2014-03-02,21,False
2014-03-09,28,False
2014-03-16,26,False
2014-03-23,36,False
2014-03-30,23,False
2014-04-06,17,False
2014-04-13,12,False
2014-04-20,20,False
2014-04-27,17,False
2014-05-04,10,False
2014-05-11,10,False
2014-05-18,31,False
2014-05-25,29,False
2014-06-01,27,False
2014-06-08,31,False
2014-06-15,31,False
2014-06-22,18,False
2014-06-29,14,False
2014-07-06,20,False
2014-07-13,20,False
2014-07-20,8,False
2014-07-27,14,False
2014-08-03,17,False
2014-08-10,24,False
2014-08-17,18,False
2014-08-24,14,False
2014-08-31,9,False
2014-09-07,15,False
2014-09-14,15,False
2014-09-21,16,False
2014-09-28,19,False
2014-10-05,18,False
2014-10-12,13,False
2014-10-19,20,False
2014-10-26,15,False
2014-11-02,7,False
2014-11-09,13,False
2014-11-16,23,False
2014-11-23,14,False
2014-11-30,22,False
2014-12-07,22,False
2014-12-14,27,False
2014-12-21,22,False
2014-12-28,29,False
2015-01-04,19,False
2015-01-11,44,False
2015-01-18,60,False
2015-01-25,31,False
2015-02-01,30,False
2015-02-08,43,False
2015-02-15,17,False
2015-02-22,12,False
2015-03-01,23,False
2015-03-08,33,False
2015-03-15,30,False
2015-03-22,34,False
2015-03-29,24,False
2015-04-05,32,False
2015-04-12,18,False
2015-04-19,37,False
2015-04-26,17,False
2015-05-03,27,False
2015-05-10,27,False
2015-05-17,23,False
2015-05-24,50,False
2015-05-31,22,False
2015-06-07,32,False
2015-06-14,22,False
2015-06-21,27,False
2015-06-28,46,False
2015-07-05,55,False
2015-07-12,39,False
2015-07-19,43,False
2015-07-26,27,False
2015-08-02,50,False
2015-08-09,37,False
2015-08-16,23,False
2015-08-23,36,False
2015-08-30,21,False
2015-09-06,19,False
2015-09-13,20,False
2015-09-20,22,False
2015-09-27,14,False
2015-10-04,14,False
2015-10-11,34,False
2015-10-18,25,False
2015-10-25,40,False
2015-11-01,25,False
2015-11-08,17,False
2015-11-15,14,False
2015-11-22,31,False
2015-11-29,14,False
2015-12-06,37,False
2015-12-13,33,False
2015-12-20,31,False
2015-12-27,22,False
2016-01-03,38,False
2016-01-10,64,False
2016-01-17,100,False
2016-01-24,40,False
2016-01-31,59,False
2016-02-07,28,False
2016-02-14,16,False
2016-02-21,20,False
2016-02-28,51,False
2016-03-06,36,False
2016-03-13,33,False
2016-03-20,31,False
2016-03-27,27,False
2016-04-03,29,False
2016-04-10,21,False
2016-04-17,24,False
2016-04-24,36,False
2016-05-01,45,False
2016-05-08,43,False
2016-05-15,48,False
2016-05-22,36,False
2016-05-29,31,False
2016-06-05,24,False
2016-06-12,48,False
2016-06-19,57,False
2016-06-26,48,False
2016-07-03,44,False
2016-07-10,22,False
2016-07-17,14,False
2016-07-24,29,False
2016-07-31,26,False
2016-08-07,20,False
2016-08-14,24,False
2016-08-21,19,False
2016-08-28,39,False
2016-09-04,34,False
2016-09-11,15,False
2016-09-18,44,False
2016-09-25,31,False
2016-10-02,21,False
2016-10-09,41,False
2016-10-16,23,False
2016-10-23,24,False
2016-10-30,18,False
2016-11-06,55,False
2016-11-13,48,False
2016-11-20,24,False
2016-11-27,50,False
2016-12-04,44,False
2016-12-11,36,False
2016-12-18,23,False
2016-12-25,18,False
2017-01-01,16,False
