date,COPILS,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,0,False
2013-02-24,0,False
2013-03-03,42,False
2013-03-10,0,False
2013-03-17,31,False
2013-03-24,37,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,31,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,32,False
2013-05-12,31,False
2013-05-19,31,False
2013-05-26,32,False
2013-06-02,31,False
2013-06-09,0,False
2013-06-16,31,False
2013-06-23,31,False
2013-06-30,0,False
2013-07-07,55,False
2013-07-14,37,False
2013-07-21,37,False
2013-07-28,42,False
2013-08-04,32,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,30,False
2013-09-15,30,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,30,False
2013-10-20,33,False
2013-10-27,0,False
2013-11-03,29,False
2013-11-10,39,False
2013-11-17,29,False
2013-11-24,42,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,29,False
2013-12-22,33,False
2013-12-29,0,False
2014-01-05,28,False
2014-01-12,37,False
2014-01-19,27,False
2014-01-26,37,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,55,False
2014-03-09,27,False
2014-03-16,0,False
2014-03-23,27,False
2014-03-30,27,False
2014-04-06,27,False
2014-04-13,28,False
2014-04-20,28,False
2014-04-27,27,False
2014-05-04,27,False
2014-05-11,30,False
2014-05-18,0,False
2014-05-25,61,False
2014-06-01,60,False
2014-06-08,31,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,0,False
2014-07-06,62,False
2014-07-13,62,False
2014-07-20,31,False
2014-07-27,47,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,41,False
2014-08-24,0,False
2014-08-31,39,False
2014-09-07,57,False
2014-09-14,29,False
2014-09-21,43,False
2014-09-28,29,False
2014-10-05,0,False
2014-10-12,38,False
2014-10-19,28,False
2014-10-26,28,False
2014-11-02,28,False
2014-11-09,27,False
2014-11-16,41,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,69,False
2014-12-14,28,False
2014-12-21,42,False
2014-12-28,0,False
2015-01-04,27,False
2015-01-11,27,False
2015-01-18,39,False
2015-01-25,0,False
2015-02-01,26,False
2015-02-08,60,False
2015-02-15,40,False
2015-02-22,76,False
2015-03-01,45,False
2015-03-08,56,False
2015-03-15,38,False
2015-03-22,48,False
2015-03-29,0,False
2015-04-05,31,False
2015-04-12,26,False
2015-04-19,26,False
2015-04-26,26,False
2015-05-03,26,False
2015-05-10,59,False
2015-05-17,26,False
2015-05-24,52,False
2015-05-31,30,False
2015-06-07,26,False
2015-06-14,35,False
2015-06-21,47,False
2015-06-28,60,False
2015-07-05,47,False
2015-07-12,0,False
2015-07-19,36,False
2015-07-26,30,False
2015-08-02,26,False
2015-08-09,47,False
2015-08-16,65,False
2015-08-23,34,False
2015-08-30,43,False
2015-09-06,43,False
2015-09-13,33,False
2015-09-20,70,False
2015-09-27,0,False
2015-10-04,48,False
2015-10-11,0,False
2015-10-18,24,False
2015-10-25,26,False
2015-11-01,27,False
2015-11-08,26,False
2015-11-15,48,False
2015-11-22,52,False
2015-11-29,24,False
2015-12-06,27,False
2015-12-13,0,False
2015-12-20,37,False
2015-12-27,29,False
2016-01-03,77,False
2016-01-10,50,False
2016-01-17,72,False
2016-01-24,29,False
2016-01-31,27,False
2016-02-07,37,False
2016-02-14,28,False
2016-02-21,25,False
2016-02-28,49,False
2016-03-06,73,False
2016-03-13,37,False
2016-03-20,47,False
2016-03-27,29,False
2016-04-03,43,False
2016-04-10,33,False
2016-04-17,100,False
2016-04-24,25,False
2016-05-01,68,False
2016-05-08,45,False
2016-05-15,27,False
2016-05-22,44,False
2016-05-29,47,False
2016-06-05,29,False
2016-06-12,25,False
2016-06-19,30,False
2016-06-26,28,False
2016-07-03,55,False
2016-07-10,26,False
2016-07-17,27,False
2016-07-24,29,False
2016-07-31,49,False
2016-08-07,50,False
2016-08-14,52,False
2016-08-21,37,False
2016-08-28,52,False
2016-09-04,29,False
2016-09-11,38,False
2016-09-18,39,False
2016-09-25,26,False
2016-10-02,44,False
2016-10-09,44,False
2016-10-16,0,False
2016-10-23,34,False
2016-10-30,28,False
2016-11-06,45,False
2016-11-13,36,False
2016-11-20,28,False
2016-11-27,28,False
2016-12-04,54,False
2016-12-11,26,False
2016-12-18,39,False
2016-12-25,38,False
2017-01-01,25,False
2017-01-08,0,False
2017-01-15,47,False
2017-01-22,47,False
2017-01-29,34,False
2017-02-05,25,False
2017-02-12,26,False
2017-02-19,0,False
2017-02-26,25,False
2017-03-05,41,False
2017-03-12,23,False
2017-03-19,23,False
2017-03-26,46,False
2017-04-02,0,False
2017-04-09,36,False
2017-04-16,40,False
2017-04-23,26,False
2017-04-30,26,False
2017-05-07,34,False
2017-05-14,42,False
2017-05-21,50,False
2017-05-28,29,False
2017-06-04,42,False
2017-06-11,33,False
2017-06-18,41,False
2017-06-25,25,False
2017-07-02,28,False
2017-07-09,45,False
