date,USDNZD,isPartial
2013-01-06,29,False
2013-01-13,0,False
2013-01-20,28,False
2013-01-27,41,False
2013-02-03,63,False
2013-02-10,28,False
2013-02-17,31,False
2013-02-24,0,False
2013-03-03,36,False
2013-03-10,31,False
2013-03-17,36,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,27,False
2013-04-14,31,False
2013-04-21,27,False
2013-04-28,0,False
2013-05-05,32,False
2013-05-12,46,False
2013-05-19,27,False
2013-05-26,40,False
2013-06-02,29,False
2013-06-09,46,False
2013-06-16,27,False
2013-06-23,31,False
2013-06-30,56,False
2013-07-07,37,False
2013-07-14,28,False
2013-07-21,28,False
2013-07-28,55,False
2013-08-04,32,False
2013-08-11,32,False
2013-08-18,62,False
2013-08-25,0,False
2013-09-01,26,False
2013-09-08,39,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,37,False
2013-10-06,44,False
2013-10-13,37,False
2013-10-20,100,False
2013-10-27,0,False
2013-11-03,50,False
2013-11-10,25,False
2013-11-17,33,False
2013-11-24,43,False
2013-12-01,24,False
2013-12-08,0,False
2013-12-15,26,False
2013-12-22,0,False
2013-12-29,27,False
2014-01-05,56,False
2014-01-12,32,False
2014-01-19,43,False
2014-01-26,61,False
2014-02-02,0,False
2014-02-09,34,False
2014-02-16,36,False
2014-02-23,35,False
2014-03-02,47,False
2014-03-09,24,False
2014-03-16,52,False
2014-03-23,62,False
2014-03-30,40,False
2014-04-06,24,False
2014-04-13,43,False
2014-04-20,24,False
2014-04-27,24,False
2014-05-04,0,False
2014-05-11,40,False
2014-05-18,50,False
2014-05-25,35,False
2014-06-01,53,False
2014-06-08,26,False
2014-06-15,40,False
2014-06-22,40,False
2014-06-29,27,False
2014-07-06,0,False
2014-07-13,31,False
2014-07-20,0,False
2014-07-27,31,False
2014-08-03,56,False
2014-08-10,29,False
2014-08-17,26,False
2014-08-24,29,False
2014-08-31,72,False
2014-09-07,75,False
2014-09-14,57,False
2014-09-21,50,False
2014-09-28,72,False
2014-10-05,43,False
2014-10-12,24,False
2014-10-19,25,False
2014-10-26,36,False
2014-11-02,28,False
2014-11-09,24,False
2014-11-16,24,False
2014-11-23,0,False
2014-11-30,27,False
2014-12-07,28,False
2014-12-14,42,False
2014-12-21,27,False
2014-12-28,35,False
2015-01-04,31,False
2015-01-11,0,False
2015-01-18,26,False
2015-01-25,49,False
2015-02-01,22,False
2015-02-08,51,False
2015-02-15,23,False
2015-02-22,34,False
2015-03-01,33,False
2015-03-08,32,False
2015-03-15,51,False
2015-03-22,28,False
2015-03-29,70,False
2015-04-05,23,False
2015-04-12,45,False
2015-04-19,34,False
2015-04-26,91,False
2015-05-03,30,False
2015-05-10,68,False
2015-05-17,39,False
2015-05-24,22,False
2015-05-31,0,False
2015-06-07,0,False
2015-06-14,0,False
2015-06-21,41,False
2015-06-28,52,False
2015-07-05,33,False
2015-07-12,69,False
2015-07-19,23,False
2015-07-26,23,False
2015-08-02,39,False
2015-08-09,49,False
2015-08-16,22,False
2015-08-23,33,False
