date,USDCLP,isPartial
2013-01-06,18,False
2013-01-13,27,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,19,False
2013-02-10,18,False
2013-02-17,17,False
2013-02-24,69,False
2013-03-03,20,False
2013-03-10,17,False
2013-03-17,17,False
2013-03-24,18,False
2013-03-31,17,False
2013-04-07,34,False
2013-04-14,17,False
2013-04-21,26,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,34,False
2013-05-19,45,False
2013-05-26,17,False
2013-06-02,18,False
2013-06-09,34,False
2013-06-16,17,False
2013-06-23,17,False
2013-06-30,53,False
2013-07-07,25,False
2013-07-14,20,False
2013-07-21,17,False
2013-07-28,38,False
2013-08-04,23,False
2013-08-11,18,False
2013-08-18,29,False
2013-08-25,24,False
2013-09-01,18,False
2013-09-08,0,False
2013-09-15,28,False
2013-09-22,24,False
2013-09-29,16,False
2013-10-06,24,False
2013-10-13,16,False
2013-10-20,18,False
2013-10-27,23,False
2013-11-03,17,False
2013-11-10,16,False
2013-11-17,21,False
2013-11-24,0,False
2013-12-01,17,False
2013-12-08,16,False
2013-12-15,46,False
2013-12-22,18,False
2013-12-29,34,False
2014-01-05,0,False
2014-01-12,27,False
2014-01-19,26,False
2014-01-26,28,False
2014-02-02,23,False
2014-02-09,19,False
2014-02-16,15,False
2014-02-23,20,False
2014-03-02,45,False
2014-03-09,22,False
2014-03-16,24,False
2014-03-23,42,False
2014-03-30,42,False
2014-04-06,16,False
2014-04-13,16,False
2014-04-20,22,False
2014-04-27,15,False
2014-05-04,22,False
2014-05-11,20,False
2014-05-18,16,False
2014-05-25,0,False
2014-06-01,27,False
2014-06-08,17,False
2014-06-15,25,False
2014-06-22,34,False
2014-06-29,17,False
2014-07-06,17,False
2014-07-13,19,False
2014-07-20,17,False
2014-07-27,43,False
2014-08-03,26,False
2014-08-10,25,False
2014-08-17,17,False
2014-08-24,32,False
2014-08-31,32,False
2014-09-07,33,False
2014-09-14,47,False
2014-09-21,21,False
2014-09-28,34,False
2014-10-05,23,False
2014-10-12,28,False
2014-10-19,31,False
2014-10-26,31,False
2014-11-02,45,False
2014-11-09,34,False
2014-11-16,20,False
2014-11-23,24,False
2014-11-30,25,False
2014-12-07,15,False
2014-12-14,22,False
2014-12-21,18,False
2014-12-28,33,False
2015-01-04,50,False
2015-01-11,19,False
2015-01-18,42,False
2015-01-25,24,False
2015-02-01,31,False
2015-02-08,28,False
2015-02-15,22,False
2015-02-22,15,False
2015-03-01,37,False
2015-03-08,42,False
2015-03-15,22,False
2015-03-22,36,False
2015-03-29,23,False
2015-04-05,19,False
2015-04-12,21,False
2015-04-19,38,False
2015-04-26,26,False
2015-05-03,41,False
2015-05-10,38,False
2015-05-17,26,False
2015-05-24,26,False
2015-05-31,35,False
2015-06-07,36,False
2015-06-14,14,False
2015-06-21,19,False
2015-06-28,43,False
2015-07-05,34,False
2015-07-12,21,False
2015-07-19,35,False
2015-07-26,30,False
2015-08-02,36,False
2015-08-09,41,False
2015-08-16,49,False
2015-08-23,74,False
2015-08-30,46,False
2015-09-06,44,False
2015-09-13,28,False
2015-09-20,54,False
2015-09-27,24,False
2015-10-04,39,False
2015-10-11,35,False
2015-10-18,37,False
2015-10-25,22,False
2015-11-01,39,False
2015-11-08,31,False
2015-11-15,31,False
2015-11-22,52,False
2015-11-29,34,False
2015-12-06,17,False
2015-12-13,50,False
2015-12-20,29,False
2015-12-27,21,False
2016-01-03,37,False
2016-01-10,36,False
2016-01-17,27,False
2016-01-24,34,False
2016-01-31,32,False
2016-02-07,40,False
2016-02-14,25,False
2016-02-21,29,False
2016-02-28,42,False
2016-03-06,25,False
2016-03-13,39,False
2016-03-20,24,False
2016-03-27,40,False
2016-04-03,20,False
2016-04-10,25,False
2016-04-17,20,False
2016-04-24,25,False
2016-05-01,28,False
2016-05-08,25,False
2016-05-15,22,False
2016-05-22,30,False
2016-05-29,15,False
2016-06-05,24,False
2016-06-12,25,False
2016-06-19,30,False
2016-06-26,34,False
2016-07-03,24,False
2016-07-10,27,False
2016-07-17,31,False
2016-07-24,16,False
2016-07-31,29,False
2016-08-07,15,False
2016-08-14,16,False
2016-08-21,17,False
2016-08-28,36,False
2016-09-04,21,False
2016-09-11,19,False
