date,NZDHKD,isPartial
2013-01-06,34,False
2013-01-13,33,False
2013-01-20,0,False
2013-01-27,38,False
2013-02-03,0,False
2013-02-10,33,False
2013-02-17,43,False
2013-02-24,65,False
2013-03-03,32,False
2013-03-10,36,False
2013-03-17,32,False
2013-03-24,33,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,32,False
2013-04-21,32,False
2013-04-28,0,False
2013-05-05,71,False
2013-05-12,47,False
2013-05-19,36,False
2013-05-26,0,False
2013-06-02,31,False
2013-06-09,36,False
2013-06-16,32,False
2013-06-23,0,False
2013-06-30,49,False
2013-07-07,33,False
2013-07-14,66,False
2013-07-21,32,False
2013-07-28,78,False
2013-08-04,44,False
2013-08-11,49,False
2013-08-18,0,False
2013-08-25,31,False
2013-09-01,62,False
2013-09-08,60,False
2013-09-15,30,False
2013-09-22,41,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,30,False
2013-10-20,40,False
2013-10-27,51,False
2013-11-03,51,False
2013-11-10,32,False
2013-11-17,59,False
2013-11-24,30,False
2013-12-01,43,False
2013-12-08,44,False
2013-12-15,0,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,28,False
2014-01-12,41,False
2014-01-19,28,False
2014-01-26,0,False
2014-02-02,29,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,64,False
2014-03-02,37,False
2014-03-09,37,False
2014-03-16,32,False
2014-03-23,41,False
2014-03-30,37,False
2014-04-06,28,False
2014-04-13,0,False
2014-04-20,29,False
2014-04-27,28,False
2014-05-04,74,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,31,False
2014-06-01,0,False
2014-06-08,0,False
2014-06-15,35,False
2014-06-22,47,False
2014-06-29,32,False
2014-07-06,36,False
2014-07-13,0,False
2014-07-20,31,False
2014-07-27,53,False
2014-08-03,66,False
2014-08-10,31,False
2014-08-17,31,False
2014-08-24,30,False
2014-08-31,0,False
2014-09-07,0,False
2014-09-14,43,False
2014-09-21,31,False
2014-09-28,47,False
2014-10-05,44,False
2014-10-12,86,False
2014-10-19,29,False
2014-10-26,57,False
2014-11-02,31,False
2014-11-09,48,False
2014-11-16,76,False
2014-11-23,31,False
2014-11-30,47,False
2014-12-07,28,False
2014-12-14,29,False
2014-12-21,0,False
2014-12-28,31,False
2015-01-04,0,False
2015-01-11,27,False
2015-01-18,35,False
2015-01-25,48,False
2015-02-01,53,False
2015-02-08,53,False
2015-02-15,58,False
2015-02-22,52,False
2015-03-01,26,False
2015-03-08,44,False
2015-03-15,60,False
2015-03-22,38,False
2015-03-29,27,False
2015-04-05,53,False
2015-04-12,29,False
2015-04-19,0,False
2015-04-26,27,False
2015-05-03,30,False
2015-05-10,26,False
2015-05-17,0,False
2015-05-24,49,False
2015-05-31,28,False
2015-06-07,35,False
2015-06-14,40,False
2015-06-21,30,False
2015-06-28,46,False
2015-07-05,40,False
2015-07-12,54,False
2015-07-19,46,False
2015-07-26,27,False
2015-08-02,30,False
2015-08-09,0,False
2015-08-16,38,False
2015-08-23,55,False
2015-08-30,25,False
2015-09-06,48,False
2015-09-13,40,False
2015-09-20,100,False
2015-09-27,0,False
2015-10-04,24,False
2015-10-11,25,False
2015-10-18,25,False
2015-10-25,36,False
2015-11-01,33,False
2015-11-08,49,False
2015-11-15,40,False
2015-11-22,25,False
2015-11-29,48,False
2015-12-06,24,False
2015-12-13,0,False
2015-12-20,28,False
2015-12-27,31,False
2016-01-03,47,False
2016-01-10,25,False
2016-01-17,51,False
2016-01-24,51,False
2016-01-31,38,False
2016-02-07,28,False
2016-02-14,72,False
2016-02-21,25,False
2016-02-28,33,False
2016-03-06,33,False
2016-03-13,67,False
2016-03-20,78,False
2016-03-27,44,False
