date,MADZAR,isPartial
2016-05-01,47,False
2016-05-08,52,False
2016-05-15,47,False
2016-05-22,46,False
2016-05-29,31,False
2016-06-05,45,False
2016-06-12,39,False
2016-06-19,94,False
2016-06-26,100,False
2016-07-03,33,False
2016-07-10,23,False
2016-07-17,33,False
2016-07-24,27,False
2016-07-31,37,False
2016-08-07,46,False
2016-08-14,28,False
2016-08-21,27,False
2016-08-28,46,False
2016-09-04,43,False
2016-09-11,26,False
2016-09-18,31,False
2016-09-25,25,False
2016-10-02,36,False
2016-10-09,37,False
2016-10-16,33,False
2016-10-23,45,False
2016-10-30,20,False
2016-11-06,30,False
2016-11-13,30,False
2016-11-20,44,False
2016-11-27,59,False
2016-12-04,39,False
2016-12-11,43,False
2016-12-18,43,False
2016-12-25,76,False
2017-01-01,33,False
2017-01-08,23,False
2017-01-15,52,False
2017-01-22,36,False
2017-01-29,38,False
2017-02-05,54,False
2017-02-12,48,False
2017-02-19,54,False
2017-02-26,33,False
2017-03-05,32,False
2017-03-12,30,False
2017-03-19,40,False
2017-03-26,31,False
2017-04-02,67,False
2017-04-09,50,False
2017-04-16,28,False
2017-04-23,36,False
2017-04-30,39,False
2017-05-07,20,False
2017-05-14,48,False
2017-05-21,36,False
2017-05-28,44,False
2017-06-04,30,False
2017-06-11,30,False
2017-06-18,27,False
2017-06-25,25,False
2017-07-02,36,False
2017-07-09,39,False
2017-07-16,35,False
2017-07-23,22,False
2017-07-30,15,False
2017-08-06,29,False
2017-08-13,24,False
2017-08-20,40,False
2017-08-27,27,False
2017-09-03,34,False
2017-09-10,48,False
2017-09-17,23,False
2017-09-24,26,False
2017-10-01,26,False
2017-10-08,26,False
2017-10-15,34,False
2017-10-22,25,False
2017-10-29,18,False
2017-11-05,45,False
2017-11-12,37,False
2017-11-19,37,False
2017-11-26,25,False
2017-12-03,55,False
2017-12-10,30,False
2017-12-17,36,False
2017-12-24,19,False
2017-12-31,24,True
