date,BRLCAD,isPartial
2013-01-06,28,False
2013-01-13,64,False
2013-01-20,55,False
2013-01-27,25,False
2013-02-03,46,False
2013-02-10,29,False
2013-02-17,25,False
2013-02-24,75,False
2013-03-03,45,False
2013-03-10,28,False
2013-03-17,24,False
2013-03-24,63,False
2013-03-31,71,False
2013-04-07,36,False
2013-04-14,53,False
2013-04-21,99,False
2013-04-28,25,False
2013-05-05,50,False
2013-05-12,49,False
2013-05-19,55,False
2013-05-26,24,False
2013-06-02,24,False
2013-06-09,28,False
2013-06-16,49,False
2013-06-23,25,False
2013-06-30,55,False
2013-07-07,57,False
2013-07-14,51,False
2013-07-21,45,False
2013-07-28,38,False
2013-08-04,25,False
2013-08-11,25,False
2013-08-18,45,False
2013-08-25,55,False
2013-09-01,24,False
2013-09-08,23,False
2013-09-15,27,False
2013-09-22,43,False
2013-09-29,50,False
2013-10-06,35,False
2013-10-13,53,False
2013-10-20,30,False
2013-10-27,53,False
2013-11-03,58,False
2013-11-10,25,False
2013-11-17,49,False
2013-11-24,39,False
2013-12-01,48,False
2013-12-08,33,False
2013-12-15,35,False
2013-12-22,0,False
2013-12-29,24,False
2014-01-05,38,False
2014-01-12,22,False
2014-01-19,54,False
2014-01-26,47,False
2014-02-02,73,False
2014-02-09,84,False
2014-02-16,37,False
2014-02-23,38,False
2014-03-02,28,False
2014-03-09,47,False
2014-03-16,77,False
2014-03-23,61,False
2014-03-30,24,False
2014-04-06,32,False
2014-04-13,67,False
2014-04-20,59,False
2014-04-27,37,False
2014-05-04,53,False
2014-05-11,31,False
2014-05-18,33,False
2014-05-25,24,False
2014-06-01,43,False
2014-06-08,41,False
2014-06-15,26,False
2014-06-22,24,False
2014-06-29,42,False
2014-07-06,41,False
2014-07-13,36,False
2014-07-20,53,False
2014-07-27,56,False
2014-08-03,25,False
2014-08-10,53,False
2014-08-17,52,False
2014-08-24,26,False
2014-08-31,0,False
2014-09-07,39,False
2014-09-14,39,False
2014-09-21,45,False
2014-09-28,23,False
2014-10-05,23,False
2014-10-12,40,False
2014-10-19,32,False
