date,GBPZAR,isPartial
2013-01-06,6,False
2013-01-13,11,False
2013-01-20,11,False
2013-01-27,12,False
2013-02-03,6,False
2013-02-10,16,False
2013-02-17,6,False
2013-02-24,6,False
2013-03-03,12,False
2013-03-10,22,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,12,False
2013-04-07,5,False
2013-04-14,9,False
2013-04-21,15,False
2013-04-28,0,False
2013-05-05,11,False
2013-05-12,11,False
2013-05-19,14,False
2013-05-26,30,False
2013-06-02,16,False
2013-06-09,19,False
2013-06-16,8,False
2013-06-23,12,False
2013-06-30,8,False
2013-07-07,11,False
2013-07-14,10,False
2013-07-21,6,False
2013-07-28,6,False
2013-08-04,6,False
2013-08-11,6,False
2013-08-18,24,False
2013-08-25,21,False
2013-09-01,5,False
2013-09-08,9,False
2013-09-15,8,False
2013-09-22,8,False
2013-09-29,9,False
2013-10-06,5,False
2013-10-13,13,False
2013-10-20,5,False
2013-10-27,8,False
2013-11-03,14,False
2013-11-10,11,False
2013-11-17,7,False
2013-11-24,7,False
2013-12-01,15,False
2013-12-08,7,False
2013-12-15,13,False
2013-12-22,6,False
2013-12-29,18,False
2014-01-05,26,False
2014-01-12,19,False
2014-01-19,22,False
2014-01-26,28,False
2014-02-02,18,False
2014-02-09,17,False
2014-02-16,10,False
2014-02-23,15,False
2014-03-02,17,False
2014-03-09,10,False
2014-03-16,14,False
2014-03-23,9,False
2014-03-30,7,False
2014-04-06,21,False
2014-04-13,14,False
2014-04-20,5,False
2014-04-27,7,False
2014-05-04,14,False
2014-05-11,14,False
2014-05-18,11,False
2014-05-25,6,False
2014-06-01,12,False
2014-06-08,8,False
2014-06-15,13,False
2014-06-22,10,False
2014-06-29,20,False
2014-07-06,18,False
2014-07-13,11,False
2014-07-20,7,False
2014-07-27,5,False
2014-08-03,13,False
2014-08-10,18,False
2014-08-17,14,False
2014-08-24,11,False
2014-08-31,9,False
2014-09-07,13,False
2014-09-14,10,False
2014-09-21,15,False
2014-09-28,9,False
2014-10-05,9,False
2014-10-12,13,False
2014-10-19,7,False
2014-10-26,12,False
2014-11-02,12,False
2014-11-09,10,False
2014-11-16,9,False
2014-11-23,14,False
2014-11-30,9,False
2014-12-07,18,False
2014-12-14,25,False
2014-12-21,22,False
2014-12-28,9,False
2015-01-04,15,False
2015-01-11,5,False
2015-01-18,9,False
2015-01-25,11,False
2015-02-01,11,False
2015-02-08,10,False
2015-02-15,8,False
2015-02-22,11,False
2015-03-01,8,False
2015-03-08,11,False
2015-03-15,11,False
2015-03-22,12,False
2015-03-29,7,False
2015-04-05,7,False
2015-04-12,0,False
2015-04-19,13,False
2015-04-26,14,False
2015-05-03,17,False
2015-05-10,15,False
2015-05-17,8,False
2015-05-24,8,False
2015-05-31,13,False
2015-06-07,20,False
2015-06-14,8,False
2015-06-21,9,False
2015-06-28,12,False
2015-07-05,10,False
2015-07-12,12,False
2015-07-19,7,False
2015-07-26,13,False
2015-08-02,21,False
2015-08-09,18,False
2015-08-16,26,False
2015-08-23,59,False
2015-08-30,16,False
2015-09-06,13,False
2015-09-13,20,False
2015-09-20,23,False
2015-09-27,8,False
2015-10-04,7,False
2015-10-11,6,False
2015-10-18,9,False
2015-10-25,9,False
2015-11-01,14,False
2015-11-08,14,False
2015-11-15,14,False
2015-11-22,15,False
2015-11-29,16,False
2015-12-06,59,False
2015-12-13,42,False
2015-12-20,14,False
2015-12-27,20,False
2016-01-03,28,False
2016-01-10,42,False
2016-01-17,22,False
2016-01-24,25,False
2016-01-31,24,False
2016-02-07,24,False
2016-02-14,19,False
2016-02-21,46,False
2016-02-28,28,False
2016-03-06,22,False
2016-03-13,17,False
2016-03-20,11,False
2016-03-27,21,False
2016-04-03,25,False
2016-04-10,19,False
2016-04-17,13,False
2016-04-24,9,False
2016-05-01,13,False
2016-05-08,19,False
2016-05-15,41,False
2016-05-22,27,False
2016-05-29,24,False
2016-06-05,21,False
2016-06-12,13,False
2016-06-19,62,False
2016-06-26,82,False
2016-07-03,40,False
2016-07-10,35,False
2016-07-17,22,False
2016-07-24,27,False
2016-07-31,29,False
2016-08-07,37,False
2016-08-14,29,False
2016-08-21,36,False
2016-08-28,31,False
2016-09-04,47,False
2016-09-11,25,False
2016-09-18,28,False
2016-09-25,39,False
2016-10-02,34,False
2016-10-09,45,False
2016-10-16,29,False
2016-10-23,22,False
2016-10-30,27,False
2016-11-06,43,False
2016-11-13,30,False
2016-11-20,25,False
2016-11-27,26,False
2016-12-04,27,False
2016-12-11,17,False
2016-12-18,24,False
2016-12-25,15,False
2017-01-01,17,False
2017-01-08,30,False
2017-01-15,37,False
2017-01-22,16,False
2017-01-29,28,False
2017-02-05,25,False
2017-02-12,36,False
2017-02-19,29,False
2017-02-26,29,False
2017-03-05,34,False
2017-03-12,26,False
2017-03-19,29,False
2017-03-26,77,False
2017-04-02,100,False
2017-04-09,41,False
2017-04-16,44,False
2017-04-23,26,False
2017-04-30,28,False
2017-05-07,16,False
2017-05-14,28,False
2017-05-21,35,False
