date,NZDUSD,isPartial
2015-01-25,51,False
2015-02-01,52,False
2015-02-08,31,False
2015-02-15,23,False
2015-02-22,44,False
2015-03-01,52,False
2015-03-08,48,False
2015-03-15,37,False
2015-03-22,33,False
2015-03-29,37,False
2015-04-05,25,False
2015-04-12,43,False
2015-04-19,31,False
2015-04-26,39,False
2015-05-03,39,False
2015-05-10,49,False
2015-05-17,31,False
2015-05-24,48,False
2015-05-31,40,False
2015-06-07,70,False
2015-06-14,37,False
2015-06-21,57,False
2015-06-28,77,False
2015-07-05,65,False
2015-07-12,52,False
2015-07-19,81,False
2015-07-26,67,False
2015-08-02,86,False
2015-08-09,55,False
2015-08-16,33,False
2015-08-23,59,False
2015-08-30,43,False
2015-09-06,49,False
2015-09-13,44,False
2015-09-20,35,False
2015-09-27,43,False
2015-10-04,68,False
2015-10-11,60,False
2015-10-18,60,False
2015-10-25,59,False
2015-11-01,61,False
2015-11-08,33,False
2015-11-15,55,False
2015-11-22,47,False
2015-11-29,46,False
2015-12-06,59,False
2015-12-13,50,False
2015-12-20,56,False
2015-12-27,35,False
2016-01-03,45,False
2016-01-10,45,False
2016-01-17,59,False
2016-01-24,41,False
2016-01-31,58,False
2016-02-07,46,False
2016-02-14,45,False
2016-02-21,36,False
2016-02-28,48,False
2016-03-06,52,False
2016-03-13,54,False
2016-03-20,37,False
2016-03-27,30,False
2016-04-03,47,False
2016-04-10,46,False
2016-04-17,62,False
2016-04-24,45,False
2016-05-01,49,False
2016-05-08,52,False
2016-05-15,46,False
2016-05-22,42,False
2016-05-29,69,False
2016-06-05,88,False
2016-06-12,51,False
2016-06-19,49,False
2016-06-26,49,False
2016-07-03,65,False
2016-07-10,64,False
2016-07-17,75,False
2016-07-24,57,False
2016-07-31,60,False
2016-08-07,93,False
2016-08-14,50,False
2016-08-21,54,False
2016-08-28,53,False
2016-09-04,63,False
2016-09-11,72,False
2016-09-18,40,False
2016-09-25,51,False
2016-10-02,47,False
2016-10-09,54,False
2016-10-16,54,False
2016-10-23,52,False
2016-10-30,47,False
2016-11-06,58,False
2016-11-13,53,False
2016-11-20,37,False
2016-11-27,43,False
2016-12-04,49,False
2016-12-11,43,False
2016-12-18,45,False
2016-12-25,33,False
2017-01-01,29,False
2017-01-08,44,False
2017-01-15,40,False
2017-01-22,33,False
2017-01-29,38,False
2017-02-05,46,False
2017-02-12,40,False
2017-02-19,39,False
2017-02-26,25,False
2017-03-05,56,False
2017-03-12,45,False
2017-03-19,42,False
2017-03-26,32,False
2017-04-02,44,False
2017-04-09,32,False
2017-04-16,39,False
2017-04-23,45,False
2017-04-30,37,False
2017-05-07,51,False
2017-05-14,37,False
2017-05-21,39,False
2017-05-28,48,False
2017-06-04,48,False
2017-06-11,47,False
2017-06-18,72,False
2017-06-25,63,False
2017-07-02,50,False
2017-07-09,59,False
2017-07-16,52,False
2017-07-23,35,False
2017-07-30,57,False
2017-08-06,67,False
2017-08-13,33,False
2017-08-20,40,False
2017-08-27,41,False
2017-09-03,56,False
2017-09-10,44,False
2017-09-17,50,False
2017-09-24,56,False
2017-10-01,34,False
2017-10-08,47,False
2017-10-15,78,False
2017-10-22,85,False
2017-10-29,69,False
2017-11-05,71,False
2017-11-12,57,False
2017-11-19,61,False
2017-11-26,46,False
2017-12-03,69,False
2017-12-10,64,False
2017-12-17,69,False
2017-12-24,46,False
2017-12-31,53,True
