date,NZDUSD,isPartial
2013-01-06,17,False
2013-01-13,23,False
2013-01-20,35,False
2013-01-27,30,False
2013-02-03,34,False
2013-02-10,36,False
2013-02-17,27,False
2013-02-24,35,False
2013-03-03,31,False
2013-03-10,25,False
2013-03-17,28,False
2013-03-24,23,False
2013-03-31,30,False
2013-04-07,52,False
2013-04-14,27,False
2013-04-21,27,False
2013-04-28,20,False
2013-05-05,28,False
2013-05-12,36,False
2013-05-19,25,False
2013-05-26,36,False
2013-06-02,32,False
2013-06-09,39,False
2013-06-16,35,False
2013-06-23,21,False
2013-06-30,35,False
2013-07-07,40,False
2013-07-14,29,False
2013-07-21,34,False
2013-07-28,44,False
2013-08-04,42,False
2013-08-11,39,False
2013-08-18,57,False
2013-08-25,68,False
2013-09-01,33,False
2013-09-08,32,False
2013-09-15,40,False
2013-09-22,32,False
2013-09-29,24,False
2013-10-06,37,False
2013-10-13,55,False
2013-10-20,44,False
2013-10-27,39,False
2013-11-03,41,False
2013-11-10,43,False
2013-11-17,33,False
2013-11-24,44,False
2013-12-01,25,False
2013-12-08,35,False
2013-12-15,37,False
2013-12-22,19,False
2013-12-29,15,False
2014-01-05,26,False
2014-01-12,32,False
2014-01-19,21,False
2014-01-26,39,False
2014-02-02,32,False
2014-02-09,32,False
2014-02-16,40,False
2014-02-23,34,False
2014-03-02,46,False
2014-03-09,50,False
2014-03-16,40,False
2014-03-23,63,False
2014-03-30,34,False
2014-04-06,55,False
2014-04-13,38,False
2014-04-20,34,False
2014-04-27,32,False
2014-05-04,51,False
2014-05-11,31,False
2014-05-18,45,False
2014-05-25,31,False
2014-06-01,44,False
2014-06-08,62,False
2014-06-15,72,False
2014-06-22,68,False
2014-06-29,53,False
2014-07-06,54,False
2014-07-13,64,False
2014-07-20,43,False
2014-07-27,57,False
2014-08-03,56,False
2014-08-10,52,False
2014-08-17,44,False
2014-08-24,43,False
2014-08-31,48,False
2014-09-07,49,False
2014-09-14,49,False
2014-09-21,50,False
2014-09-28,100,False
2014-10-05,64,False
2014-10-12,56,False
2014-10-19,56,False
2014-10-26,68,False
2014-11-02,38,False
2014-11-09,58,False
2014-11-16,31,False
2014-11-23,25,False
2014-11-30,41,False
2014-12-07,48,False
2014-12-14,35,False
2014-12-21,26,False
2014-12-28,31,False
2015-01-04,47,False
2015-01-11,51,False
2015-01-18,43,False
