date,EURBRL,isPartial
2013-01-06,34,False
2013-01-13,30,False
2013-01-20,33,False
2013-01-27,18,False
2013-02-03,29,False
2013-02-10,0,False
2013-02-17,24,False
2013-02-24,17,False
2013-03-03,16,False
2013-03-10,45,False
2013-03-17,16,False
2013-03-24,53,False
2013-03-31,27,False
2013-04-07,16,False
2013-04-14,0,False
2013-04-21,32,False
2013-04-28,24,False
2013-05-05,37,False
2013-05-12,16,False
2013-05-19,17,False
2013-05-26,40,False
2013-06-02,28,False
2013-06-09,51,False
2013-06-16,40,False
2013-06-23,43,False
2013-06-30,48,False
2013-07-07,39,False
2013-07-14,25,False
2013-07-21,35,False
2013-07-28,47,False
2013-08-04,22,False
2013-08-11,33,False
2013-08-18,32,False
2013-08-25,45,False
2013-09-01,33,False
2013-09-08,53,False
2013-09-15,25,False
2013-09-22,15,False
2013-09-29,42,False
2013-10-06,23,False
2013-10-13,28,False
2013-10-20,15,False
2013-10-27,16,False
2013-11-03,15,False
2013-11-10,20,False
2013-11-17,15,False
2013-11-24,39,False
2013-12-01,46,False
2013-12-08,21,False
2013-12-15,30,False
2013-12-22,24,False
2013-12-29,18,False
2014-01-05,21,False
2014-01-12,30,False
2014-01-19,37,False
2014-01-26,32,False
2014-02-02,35,False
2014-02-09,25,False
2014-02-16,41,False
2014-02-23,20,False
2014-03-02,30,False
2014-03-09,50,False
2014-03-16,26,False
2014-03-23,29,False
2014-03-30,28,False
2014-04-06,42,False
2014-04-13,23,False
2014-04-20,21,False
2014-04-27,46,False
2014-05-04,26,False
2014-05-11,40,False
2014-05-18,31,False
2014-05-25,37,False
2014-06-01,34,False
2014-06-08,26,False
2014-06-15,37,False
2014-06-22,31,False
2014-06-29,34,False
2014-07-06,23,False
2014-07-13,63,False
2014-07-20,29,False
2014-07-27,34,False
2014-08-03,18,False
2014-08-10,16,False
2014-08-17,28,False
2014-08-24,23,False
2014-08-31,27,False
2014-09-07,26,False
2014-09-14,22,False
2014-09-21,19,False
2014-09-28,27,False
2014-10-05,32,False
2014-10-12,19,False
2014-10-19,19,False
2014-10-26,57,False
2014-11-02,22,False
2014-11-09,19,False
2014-11-16,36,False
2014-11-23,30,False
2014-11-30,25,False
2014-12-07,42,False
2014-12-14,68,False
2014-12-21,23,False
2014-12-28,26,False
2015-01-04,40,False
2015-01-11,54,False
2015-01-18,46,False
2015-01-25,42,False
2015-02-01,42,False
2015-02-08,53,False
2015-02-15,29,False
2015-02-22,31,False
2015-03-01,26,False
2015-03-08,63,False
2015-03-15,35,False
2015-03-22,38,False
2015-03-29,25,False
2015-04-05,29,False
2015-04-12,39,False
2015-04-19,31,False
2015-04-26,18,False
2015-05-03,35,False
2015-05-10,25,False
2015-05-17,29,False
2015-05-24,33,False
2015-05-31,53,False
2015-06-07,43,False
2015-06-14,24,False
2015-06-21,31,False
2015-06-28,27,False
2015-07-05,35,False
