date,GBPRUB,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,11,False
2013-02-17,10,False
2013-02-24,10,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,10,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,0,False
2013-04-14,9,False
2013-04-21,14,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,9,False
2013-05-19,11,False
2013-05-26,9,False
2013-06-02,0,False
2013-06-09,9,False
2013-06-16,12,False
2013-06-23,10,False
2013-06-30,10,False
2013-07-07,0,False
2013-07-14,10,False
2013-07-21,10,False
2013-07-28,10,False
2013-08-04,20,False
2013-08-11,0,False
2013-08-18,9,False
2013-08-25,0,False
2013-09-01,9,False
2013-09-08,10,False
2013-09-15,0,False
2013-09-22,0,False
2013-09-29,0,False
2013-10-06,18,False
2013-10-13,9,False
2013-10-20,0,False
2013-10-27,0,False
2013-11-03,9,False
2013-11-10,0,False
2013-11-17,9,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,0,False
2013-12-15,9,False
2013-12-22,0,False
2013-12-29,0,False
2014-01-05,10,False
2014-01-12,0,False
2014-01-19,14,False
2014-01-26,14,False
2014-02-02,17,False
2014-02-09,8,False
2014-02-16,10,False
2014-02-23,15,False
2014-03-02,24,False
2014-03-09,8,False
2014-03-16,8,False
2014-03-23,8,False
2014-03-30,8,False
2014-04-06,14,False
2014-04-13,8,False
2014-04-20,8,False
2014-04-27,14,False
2014-05-04,8,False
2014-05-11,0,False
2014-05-18,10,False
2014-05-25,0,False
2014-06-01,0,False
2014-06-08,9,False
2014-06-15,37,False
2014-06-22,9,False
2014-06-29,9,False
2014-07-06,9,False
2014-07-13,9,False
2014-07-20,0,False
2014-07-27,10,False
2014-08-03,20,False
2014-08-10,0,False
2014-08-17,12,False
2014-08-24,10,False
2014-08-31,9,False
2014-09-07,15,False
2014-09-14,23,False
2014-09-21,0,False
2014-09-28,12,False
2014-10-05,23,False
2014-10-12,9,False
2014-10-19,9,False
2014-10-26,9,False
2014-11-02,29,False
2014-11-09,14,False
2014-11-16,28,False
2014-11-23,9,False
2014-11-30,14,False
2014-12-07,18,False
2014-12-14,100,False
2014-12-21,27,False
2014-12-28,20,False
2015-01-04,16,False
2015-01-11,17,False
2015-01-18,14,False
2015-01-25,23,False
2015-02-01,9,False
2015-02-08,20,False
2015-02-15,12,False
2015-02-22,14,False
2015-03-01,8,False
2015-03-08,11,False
2015-03-15,18,False
2015-03-22,12,False
2015-03-29,15,False
2015-04-05,16,False
2015-04-12,18,False
2015-04-19,9,False
2015-04-26,9,False
2015-05-03,17,False
2015-05-10,8,False
2015-05-17,20,False
2015-05-24,8,False
2015-05-31,14,False
2015-06-07,9,False
2015-06-14,14,False
2015-06-21,12,False
2015-06-28,9,False
2015-07-05,16,False
2015-07-12,12,False
2015-07-19,14,False
2015-07-26,17,False
2015-08-02,17,False
2015-08-09,20,False
2015-08-16,20,False
2015-08-23,31,False
2015-08-30,28,False
2015-09-06,11,False
2015-09-13,15,False
2015-09-20,8,False
2015-09-27,15,False
2015-10-04,17,False
2015-10-11,15,False
2015-10-18,15,False
2015-10-25,21,False
2015-11-01,12,False
2015-11-08,22,False
2015-11-15,8,False
2015-11-22,8,False
2015-11-29,7,False
2015-12-06,18,False
2015-12-13,17,False
2015-12-20,8,False
2015-12-27,8,False
2016-01-03,15,False
2016-01-10,14,False
2016-01-17,44,False
2016-01-24,35,False
2016-01-31,11,False
2016-02-07,14,False
2016-02-14,0,False
2016-02-21,15,False
2016-02-28,8,False
2016-03-06,9,False
2016-03-13,8,False
2016-03-20,12,False
2016-03-27,11,False
2016-04-03,0,False
2016-04-10,8,False
2016-04-17,14,False
2016-04-24,21,False
2016-05-01,8,False
2016-05-08,9,False
2016-05-15,10,False
2016-05-22,8,False
2016-05-29,16,False
2016-06-05,8,False
2016-06-12,8,False
2016-06-19,20,False
2016-06-26,14,False
2016-07-03,8,False
2016-07-10,23,False
2016-07-17,9,False
2016-07-24,24,False
2016-07-31,12,False
2016-08-07,14,False
2016-08-14,9,False
2016-08-21,12,False
2016-08-28,12,False
2016-09-04,16,False
2016-09-11,0,False
2016-09-18,0,False
2016-09-25,8,False
2016-10-02,25,False
2016-10-09,12,False
2016-10-16,8,False
2016-10-23,8,False
2016-10-30,15,False
2016-11-06,20,False
2016-11-13,23,False
2016-11-20,10,False
2016-11-27,8,False
2016-12-04,8,False
2016-12-11,7,False
2016-12-18,17,False
2016-12-25,16,False
2017-01-01,10,False
2017-01-08,0,False
2017-01-15,12,False
2017-01-22,9,False
2017-01-29,9,False
2017-02-05,12,False
2017-02-12,8,False
2017-02-19,10,False
2017-02-26,7,False
2017-03-05,9,False
2017-03-12,7,False
2017-03-19,10,False
2017-03-26,0,False
2017-04-02,19,False
2017-04-09,14,False
2017-04-16,11,False
2017-04-23,7,False
2017-04-30,9,False
2017-05-07,8,False
2017-05-14,15,False
2017-05-21,8,False
2017-05-28,8,False
2017-06-04,0,False
2017-06-11,7,False
2017-06-18,8,False
2017-06-25,23,False
2017-07-02,8,False
2017-07-09,9,False
