date,CNYUSD,isPartial
2013-01-06,19,False
2013-01-13,22,False
2013-01-20,13,False
2013-01-27,11,False
2013-02-03,16,False
2013-02-10,0,False
2013-02-17,11,False
2013-02-24,11,False
2013-03-03,20,False
2013-03-10,15,False
2013-03-17,11,False
2013-03-24,11,False
2013-03-31,11,False
2013-04-07,11,False
2013-04-14,32,False
2013-04-21,11,False
2013-04-28,11,False
2013-05-05,25,False
2013-05-12,12,False
2013-05-19,11,False
2013-05-26,14,False
2013-06-02,0,False
2013-06-09,11,False
2013-06-16,11,False
2013-06-23,21,False
2013-06-30,22,False
2013-07-07,19,False
2013-07-14,0,False
2013-07-21,25,False
2013-07-28,16,False
2013-08-04,33,False
2013-08-11,19,False
2013-08-18,29,False
2013-08-25,18,False
2013-09-01,15,False
2013-09-08,29,False
2013-09-15,10,False
2013-09-22,0,False
2013-09-29,13,False
2013-10-06,27,False
2013-10-13,12,False
2013-10-20,10,False
2013-10-27,12,False
2013-11-03,20,False
2013-11-10,0,False
2013-11-17,21,False
2013-11-24,10,False
2013-12-01,10,False
2013-12-08,11,False
2013-12-15,22,False
2013-12-22,11,False
2013-12-29,0,False
2014-01-05,17,False
2014-01-12,9,False
2014-01-19,21,False
2014-01-26,27,False
2014-02-02,38,False
2014-02-09,11,False
2014-02-16,31,False
2014-02-23,47,False
2014-03-02,16,False
2014-03-09,16,False
2014-03-16,32,False
2014-03-23,33,False
2014-03-30,18,False
2014-04-06,16,False
2014-04-13,19,False
2014-04-20,14,False
2014-04-27,14,False
2014-05-04,9,False
2014-05-11,18,False
2014-05-18,15,False
2014-05-25,19,False
2014-06-01,12,False
2014-06-08,14,False
2014-06-15,28,False
2014-06-22,18,False
2014-06-29,11,False
2014-07-06,10,False
2014-07-13,16,False
2014-07-20,43,False
2014-07-27,12,False
2014-08-03,24,False
2014-08-10,16,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,11,False
2014-09-14,18,False
2014-09-21,18,False
2014-09-28,0,False
2014-10-05,13,False
2014-10-12,19,False
2014-10-19,22,False
2014-10-26,10,False
2014-11-02,10,False
2014-11-09,24,False
2014-11-16,22,False
2014-11-23,21,False
2014-11-30,11,False
2014-12-07,21,False
2014-12-14,15,False
2014-12-21,12,False
2014-12-28,10,False
2015-01-04,12,False
2015-01-11,16,False
2015-01-18,10,False
2015-01-25,15,False
2015-02-01,0,False
2015-02-08,20,False
2015-02-15,14,False
2015-02-22,13,False
2015-03-01,16,False
2015-03-08,22,False
2015-03-15,17,False
2015-03-22,16,False
2015-03-29,16,False
2015-04-05,21,False
2015-04-12,15,False
2015-04-19,18,False
2015-04-26,18,False
2015-05-03,18,False
2015-05-10,16,False
2015-05-17,18,False
2015-05-24,18,False
2015-05-31,12,False
2015-06-07,15,False
2015-06-14,18,False
2015-06-21,0,False
2015-06-28,16,False
2015-07-05,16,False
2015-07-12,9,False
2015-07-19,21,False
2015-07-26,12,False
2015-08-02,12,False
2015-08-09,100,False
2015-08-16,35,False
2015-08-23,30,False
2015-08-30,25,False
2015-09-06,11,False
2015-09-13,19,False
2015-09-20,8,False
2015-09-27,18,False
2015-10-04,12,False
2015-10-11,21,False
2015-10-18,15,False
2015-10-25,23,False
2015-11-01,15,False
2015-11-08,16,False
2015-11-15,15,False
2015-11-22,18,False
2015-11-29,23,False
2015-12-06,24,False
2015-12-13,21,False
2015-12-20,21,False
2015-12-27,11,False
2016-01-03,19,False
2016-01-10,19,False
2016-01-17,16,False
2016-01-24,15,False
2016-01-31,34,False
2016-02-07,21,False
2016-02-14,17,False
2016-02-21,13,False
2016-02-28,17,False
2016-03-06,10,False
2016-03-13,25,False
2016-03-20,13,False
2016-03-27,15,False
2016-04-03,11,False
2016-04-10,9,False
2016-04-17,20,False
2016-04-24,15,False
2016-05-01,10,False
2016-05-08,12,False
2016-05-15,17,False
2016-05-22,30,False
2016-05-29,10,False
2016-06-05,17,False
2016-06-12,25,False
2016-06-19,19,False
2016-06-26,22,False
2016-07-03,17,False
2016-07-10,10,False
2016-07-17,16,False
2016-07-24,9,False
2016-07-31,14,False
2016-08-07,9,False
2016-08-14,10,False
2016-08-21,11,False
2016-08-28,15,False
2016-09-04,9,False
2016-09-11,9,False
2016-09-18,15,False
2016-09-25,10,False
2016-10-02,9,False
2016-10-09,16,False
2016-10-16,22,False
2016-10-23,15,False
2016-10-30,9,False
2016-11-06,27,False
2016-11-13,34,False
2016-11-20,25,False
