date,PENILS,isPartial
2013-01-06,26,False
2013-01-13,49,False
2013-01-20,22,False
2013-01-27,0,False
2013-02-03,56,False
2013-02-10,22,False
2013-02-17,25,False
2013-02-24,25,False
2013-03-03,49,False
2013-03-10,43,False
2013-03-17,47,False
2013-03-24,67,False
2013-03-31,22,False
2013-04-07,32,False
2013-04-14,43,False
2013-04-21,40,False
2013-04-28,33,False
2013-05-05,38,False
2013-05-12,0,False
2013-05-19,47,False
2013-05-26,49,False
2013-06-02,32,False
2013-06-09,39,False
2013-06-16,24,False
2013-06-23,32,False
2013-06-30,32,False
2013-07-07,22,False
2013-07-14,51,False
2013-07-21,32,False
2013-07-28,29,False
2013-08-04,0,False
2013-08-11,29,False
2013-08-18,39,False
2013-08-25,48,False
2013-09-01,46,False
2013-09-08,31,False
2013-09-15,31,False
2013-09-22,23,False
2013-09-29,30,False
2013-10-06,61,False
2013-10-13,30,False
2013-10-20,29,False
2013-10-27,46,False
2013-11-03,36,False
2013-11-10,34,False
2013-11-17,26,False
2013-11-24,40,False
2013-12-01,49,False
2013-12-08,68,False
2013-12-15,40,False
2013-12-22,23,False
2013-12-29,49,False
2014-01-05,29,False
2014-01-12,38,False
2014-01-19,19,False
2014-01-26,22,False
2014-02-02,39,False
2014-02-09,40,False
2014-02-16,56,False
2014-02-23,41,False
2014-03-02,41,False
2014-03-09,19,False
2014-03-16,41,False
2014-03-23,40,False
2014-03-30,27,False
2014-04-06,38,False
2014-04-13,35,False
2014-04-20,22,False
2014-04-27,42,False
2014-05-04,41,False
2014-05-11,47,False
2014-05-18,22,False
2014-05-25,23,False
2014-06-01,38,False
2014-06-08,73,False
2014-06-15,23,False
2014-06-22,43,False
2014-06-29,24,False
2014-07-06,24,False
2014-07-13,0,False
2014-07-20,31,False
2014-07-27,39,False
2014-08-03,0,False
2014-08-10,28,False
2014-08-17,36,False
2014-08-24,35,False
2014-08-31,30,False
2014-09-07,29,False
2014-09-14,39,False
2014-09-21,20,False
2014-09-28,50,False
2014-10-05,65,False
2014-10-12,33,False
2014-10-19,50,False
2014-10-26,100,False
2014-11-02,22,False
2014-11-09,41,False
2014-11-16,44,False
2014-11-23,33,False
2014-11-30,27,False
2014-12-07,43,False
