date,USDILS,isPartial
2013-01-06,47,False
2013-01-13,34,False
2013-01-20,20,False
2013-01-27,29,False
2013-02-03,58,False
2013-02-10,40,False
2013-02-17,50,False
2013-02-24,78,False
2013-03-03,50,False
2013-03-10,28,False
2013-03-17,21,False
2013-03-24,50,False
2013-03-31,33,False
2013-04-07,63,False
2013-04-14,33,False
2013-04-21,39,False
2013-04-28,57,False
2013-05-05,45,False
2013-05-12,42,False
2013-05-19,91,False
2013-05-26,77,False
2013-06-02,69,False
2013-06-09,62,False
2013-06-16,56,False
2013-06-23,85,False
2013-06-30,73,False
2013-07-07,36,False
2013-07-14,80,False
2013-07-21,36,False
2013-07-28,56,False
2013-08-04,46,False
2013-08-11,34,False
2013-08-18,21,False
2013-08-25,62,False
2013-09-01,48,False
2013-09-08,31,False
2013-09-15,66,False
2013-09-22,32,False
2013-09-29,26,False
2013-10-06,66,False
2013-10-13,40,False
2013-10-20,33,False
2013-10-27,33,False
2013-11-03,21,False
2013-11-10,41,False
2013-11-17,35,False
2013-11-24,45,False
2013-12-01,53,False
2013-12-08,35,False
2013-12-15,46,False
2013-12-22,66,False
2013-12-29,38,False
2014-01-05,17,False
2014-01-12,26,False
2014-01-19,49,False
2014-01-26,18,False
2014-02-02,32,False
2014-02-09,19,False
2014-02-16,23,False
2014-02-23,42,False
2014-03-02,43,False
2014-03-09,38,False
2014-03-16,31,False
2014-03-23,38,False
2014-03-30,24,False
2014-04-06,48,False
2014-04-13,20,False
2014-04-20,35,False
2014-04-27,37,False
2014-05-04,42,False
2014-05-11,24,False
2014-05-18,20,False
2014-05-25,19,False
2014-06-01,41,False
2014-06-08,28,False
2014-06-15,22,False
2014-06-22,38,False
2014-06-29,35,False
2014-07-06,29,False
2014-07-13,57,False
2014-07-20,21,False
2014-07-27,28,False
2014-08-03,20,False
2014-08-10,48,False
2014-08-17,47,False
2014-08-24,60,False
2014-08-31,31,False
2014-09-07,39,False
2014-09-14,26,False
2014-09-21,38,False
2014-09-28,26,False
2014-10-05,64,False
2014-10-12,51,False
2014-10-19,51,False
