date,EURILS,isPartial
2013-01-06,28,False
2013-01-13,24,False
2013-01-20,28,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,24,False
2013-02-24,31,False
2013-03-03,0,False
2013-03-10,0,False
2013-03-17,23,False
2013-03-24,0,False
2013-03-31,48,False
2013-04-07,27,False
2013-04-14,47,False
2013-04-21,31,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,40,False
2013-05-19,47,False
2013-05-26,0,False
2013-06-02,23,False
2013-06-09,23,False
2013-06-16,24,False
2013-06-23,41,False
2013-06-30,24,False
2013-07-07,28,False
2013-07-14,25,False
2013-07-21,24,False
2013-07-28,0,False
2013-08-04,25,False
2013-08-11,36,False
2013-08-18,35,False
2013-08-25,33,False
2013-09-01,39,False
2013-09-08,26,False
2013-09-15,0,False
2013-09-22,22,False
2013-09-29,40,False
2013-10-06,23,False
2013-10-13,38,False
2013-10-20,22,False
2013-10-27,0,False
2013-11-03,44,False
2013-11-10,0,False
2013-11-17,28,False
2013-11-24,22,False
2013-12-01,28,False
2013-12-08,0,False
2013-12-15,30,False
2013-12-22,28,False
2013-12-29,40,False
2014-01-05,36,False
2014-01-12,0,False
2014-01-19,21,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,26,False
2014-02-16,27,False
2014-02-23,20,False
2014-03-02,22,False
2014-03-09,31,False
2014-03-16,27,False
2014-03-23,0,False
2014-03-30,0,False
2014-04-06,27,False
2014-04-13,24,False
2014-04-20,21,False
2014-04-27,0,False
2014-05-04,27,False
2014-05-11,41,False
2014-05-18,22,False
2014-05-25,46,False
2014-06-01,23,False
2014-06-08,26,False
2014-06-15,0,False
2014-06-22,23,False
2014-06-29,31,False
2014-07-06,0,False
2014-07-13,40,False
2014-07-20,47,False
2014-07-27,31,False
2014-08-03,0,False
2014-08-10,46,False
2014-08-17,23,False
2014-08-24,45,False
2014-08-31,32,False
2014-09-07,22,False
2014-09-14,57,False
2014-09-21,0,False
2014-09-28,44,False
2014-10-05,22,False
2014-10-12,21,False
2014-10-19,23,False
2014-10-26,21,False
2014-11-02,21,False
2014-11-09,21,False
2014-11-16,21,False
2014-11-23,21,False
2014-11-30,59,False
2014-12-07,45,False
2014-12-14,0,False
2014-12-21,27,False
2014-12-28,35,False
2015-01-04,20,False
2015-01-11,60,False
2015-01-18,36,False
2015-01-25,42,False
2015-02-01,20,False
2015-02-08,22,False
2015-02-15,0,False
2015-02-22,35,False
2015-03-01,52,False
2015-03-08,63,False
2015-03-15,42,False
2015-03-22,0,False
2015-03-29,51,False
2015-04-05,26,False
2015-04-12,22,False
2015-04-19,29,False
2015-04-26,59,False
2015-05-03,36,False
2015-05-10,29,False
2015-05-17,22,False
2015-05-24,0,False
2015-05-31,49,False
2015-06-07,22,False
2015-06-14,26,False
2015-06-21,20,False
2015-06-28,26,False
2015-07-05,45,False
2015-07-12,100,False
2015-07-19,60,False
2015-07-26,20,False
2015-08-02,59,False
2015-08-09,36,False
2015-08-16,49,False
2015-08-23,76,False
2015-08-30,38,False
2015-09-06,100,False
2015-09-13,42,False
2015-09-20,0,False
2015-09-27,0,False
