date,USDILS,isPartial
2013-01-06,24,False
2013-01-13,30,False
2013-01-20,18,False
2013-01-27,26,False
2013-02-03,60,False
2013-02-10,35,False
2013-02-17,44,False
2013-02-24,56,False
2013-03-03,44,False
2013-03-10,18,False
2013-03-17,25,False
2013-03-24,44,False
2013-03-31,31,False
2013-04-07,68,False
2013-04-14,29,False
2013-04-21,17,False
2013-04-28,51,False
2013-05-05,59,False
2013-05-12,55,False
2013-05-19,55,False
2013-05-26,73,False
2013-06-02,73,False
2013-06-09,73,False
2013-06-16,37,False
2013-06-23,68,False
2013-06-30,45,False
2013-07-07,30,False
2013-07-14,51,False
2013-07-21,32,False
2013-07-28,38,False
2013-08-04,38,False
2013-08-11,30,False
2013-08-18,19,False
2013-08-25,54,False
2013-09-01,42,False
2013-09-08,37,False
2013-09-15,58,False
2013-09-22,47,False
2013-09-29,35,False
2013-10-06,59,False
2013-10-13,18,False
2013-10-20,34,False
2013-10-27,35,False
2013-11-03,23,False
2013-11-10,45,False
2013-11-17,39,False
2013-11-24,28,False
2013-12-01,31,False
2013-12-08,39,False
2013-12-15,35,False
2013-12-22,51,False
2013-12-29,34,False
2014-01-05,23,False
2014-01-12,22,False
2014-01-19,48,False
2014-01-26,22,False
2014-02-02,34,False
2014-02-09,17,False
2014-02-16,26,False
2014-02-23,42,False
2014-03-02,43,False
2014-03-09,27,False
2014-03-16,34,False
2014-03-23,42,False
2014-03-30,27,False
2014-04-06,38,False
2014-04-13,17,False
2014-04-20,30,False
2014-04-27,38,False
2014-05-04,29,False
2014-05-11,16,False
2014-05-18,36,False
2014-05-25,16,False
2014-06-01,24,False
2014-06-08,24,False
2014-06-15,19,False
2014-06-22,42,False
2014-06-29,31,False
2014-07-06,17,False
2014-07-13,34,False
2014-07-20,18,False
2014-07-27,29,False
2014-08-03,0,False
2014-08-10,49,False
2014-08-17,41,False
2014-08-24,47,False
2014-08-31,35,False
2014-09-07,45,False
2014-09-14,17,False
2014-09-21,23,False
2014-09-28,23,False
2014-10-05,40,False
2014-10-12,33,False
2014-10-19,45,False
2014-10-26,67,False
2014-11-02,17,False
2014-11-09,32,False
2014-11-16,27,False
2014-11-23,54,False
2014-11-30,80,False
2014-12-07,76,False
2014-12-14,23,False
2014-12-21,25,False
2014-12-28,41,False
2015-01-04,29,False
2015-01-11,26,False
2015-01-18,51,False
2015-01-25,31,False
2015-02-01,31,False
2015-02-08,20,False
2015-02-15,37,False
2015-02-22,31,False
2015-03-01,46,False
2015-03-08,51,False
2015-03-15,80,False
2015-03-22,33,False
2015-03-29,36,False
2015-04-05,37,False
2015-04-12,56,False
2015-04-19,20,False
2015-04-26,49,False
2015-05-03,26,False
2015-05-10,28,False
2015-05-17,24,False
2015-05-24,14,False
2015-05-31,41,False
2015-06-07,20,False
2015-06-14,51,False
2015-06-21,82,False
2015-06-28,42,False
2015-07-05,41,False
2015-07-12,57,False
2015-07-19,47,False
2015-07-26,32,False
2015-08-02,52,False
2015-08-09,56,False
2015-08-16,81,False
2015-08-23,70,False
2015-08-30,35,False
2015-09-06,25,False
2015-09-13,48,False
2015-09-20,31,False
2015-09-27,53,False
2015-10-04,29,False
2015-10-11,29,False
2015-10-18,15,False
2015-10-25,52,False
2015-11-01,38,False
2015-11-08,30,False
2015-11-15,33,False
2015-11-22,33,False
2015-11-29,61,False
2015-12-06,17,False
2015-12-13,24,False
2015-12-20,29,False
2015-12-27,44,False
2016-01-03,56,False
2016-01-10,44,False
2016-01-17,25,False
2016-01-24,35,False
2016-01-31,44,False
2016-02-07,20,False
2016-02-14,53,False
2016-02-21,43,False
2016-02-28,33,False
2016-03-06,39,False
2016-03-13,34,False
2016-03-20,20,False
2016-03-27,45,False
2016-04-03,69,False
2016-04-10,59,False
2016-04-17,69,False
2016-04-24,34,False
2016-05-01,40,False
2016-05-08,44,False
2016-05-15,39,False
2016-05-22,63,False
2016-05-29,20,False
2016-06-05,35,False
2016-06-12,55,False
2016-06-19,61,False
2016-06-26,51,False
2016-07-03,48,False
2016-07-10,47,False
2016-07-17,43,False
2016-07-24,47,False
2016-07-31,27,False
2016-08-07,30,False
2016-08-14,28,False
2016-08-21,27,False
2016-08-28,46,False
2016-09-04,67,False
2016-09-11,48,False
2016-09-18,46,False
2016-09-25,25,False
2016-10-02,40,False
2016-10-09,24,False
2016-10-16,20,False
2016-10-23,27,False
2016-10-30,35,False
2016-11-06,48,False
2016-11-13,35,False
2016-11-20,38,False
2016-11-27,33,False
2016-12-04,37,False
2016-12-11,57,False
2016-12-18,35,False
2016-12-25,26,False
2017-01-01,39,False
2017-01-08,33,False
2017-01-15,37,False
2017-01-22,28,False
2017-01-29,36,False
2017-02-05,38,False
2017-02-12,40,False
2017-02-19,41,False
2017-02-26,58,False
2017-03-05,42,False
2017-03-12,49,False
2017-03-19,41,False
2017-03-26,32,False
2017-04-02,23,False
2017-04-09,33,False
2017-04-16,38,False
2017-04-23,41,False
2017-04-30,28,False
2017-05-07,55,False
2017-05-14,53,False
2017-05-21,54,False
2017-05-28,39,False
2017-06-04,38,False
2017-06-11,30,False
2017-06-18,71,False
2017-06-25,31,False
2017-07-02,30,False
2017-07-09,34,False
2017-07-16,50,False
2017-07-23,58,False
2017-07-30,100,False
2017-08-06,47,False
2017-08-13,43,False
2017-08-20,30,False
2017-08-27,67,False
2017-09-03,52,False
2017-09-10,60,False
2017-09-17,37,False
2017-09-24,42,False
2017-10-01,19,False
2017-10-08,37,False
2017-10-15,41,False
2017-10-22,68,False
2017-10-29,19,False
2017-11-05,18,False
2017-11-12,22,False
2017-11-19,43,False
2017-11-26,75,False
2017-12-03,63,False
2017-12-10,63,False
2017-12-17,56,False
2017-12-24,55,False
2017-12-31,88,True
