date,NZDCHF,isPartial
2016-10-30,51,False
2016-11-06,25,False
2016-11-13,25,False
2016-11-20,25,False
2016-11-27,35,False
2016-12-04,48,False
2016-12-11,32,False
2016-12-18,29,False
2016-12-25,26,False
2017-01-01,49,False
2017-01-08,32,False
2017-01-15,23,False
2017-01-22,46,False
2017-01-29,31,False
2017-02-05,23,False
2017-02-12,23,False
2017-02-19,23,False
2017-02-26,46,False
2017-03-05,59,False
2017-03-12,0,False
2017-03-19,39,False
2017-03-26,31,False
2017-04-02,23,False
2017-04-09,0,False
2017-04-16,0,False
2017-04-23,52,False
2017-04-30,42,False
2017-05-07,50,False
2017-05-14,24,False
2017-05-21,37,False
2017-05-28,25,False
2017-06-04,28,False
2017-06-11,24,False
2017-06-18,27,False
2017-06-25,29,False
2017-07-02,43,False
2017-07-09,33,False
2017-07-16,46,False
2017-07-23,49,False
2017-07-30,60,False
2017-08-06,35,False
2017-08-13,24,False
2017-08-20,48,False
2017-08-27,24,False
2017-09-03,36,False
2017-09-10,27,False
2017-09-17,23,False
2017-09-24,70,False
2017-10-01,23,False
2017-10-08,40,False
2017-10-15,31,False
2017-10-22,23,False
2017-10-29,23,False
2017-11-05,22,False
2017-11-12,26,False
2017-11-19,34,False
2017-11-26,56,False
2017-12-03,23,False
2017-12-10,46,False
2017-12-17,67,False
2017-12-24,29,False
2017-12-31,58,True
