date,BRLUSD,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,32,False
2013-01-27,0,False
2013-02-03,0,False
2013-02-10,32,False
2013-02-17,31,False
2013-02-24,83,False
2013-03-03,35,False
2013-03-10,0,False
2013-03-17,0,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,31,False
2013-04-14,53,False
2013-04-21,31,False
2013-04-28,0,False
2013-05-05,47,False
2013-05-12,30,False
2013-05-19,0,False
2013-05-26,52,False
2013-06-02,0,False
2013-06-09,30,False
2013-06-16,34,False
2013-06-23,54,False
2013-06-30,48,False
2013-07-07,54,False
2013-07-14,42,False
2013-07-21,32,False
2013-07-28,0,False
2013-08-04,32,False
2013-08-11,0,False
2013-08-18,31,False
2013-08-25,30,False
2013-09-01,51,False
2013-09-08,78,False
2013-09-15,29,False
2013-09-22,89,False
2013-09-29,29,False
2013-10-06,32,False
2013-10-13,29,False
2013-10-20,75,False
2013-10-27,0,False
2013-11-03,86,False
2013-11-10,28,False
2013-11-17,28,False
2013-11-24,0,False
2013-12-01,84,False
2013-12-08,28,False
2013-12-15,29,False
2013-12-22,32,False
2013-12-29,0,False
2014-01-05,40,False
2014-01-12,54,False
2014-01-19,61,False
2014-01-26,49,False
2014-02-02,32,False
2014-02-09,35,False
2014-02-16,54,False
2014-02-23,29,False
2014-03-02,35,False
2014-03-09,27,False
2014-03-16,53,False
2014-03-23,45,False
2014-03-30,54,False
2014-04-06,62,False
2014-04-13,55,False
2014-04-20,55,False
2014-04-27,47,False
2014-05-04,27,False
2014-05-11,0,False
2014-05-18,75,False
2014-05-25,80,False
2014-06-01,33,False
2014-06-08,30,False
2014-06-15,34,False
2014-06-22,40,False
2014-06-29,31,False
2014-07-06,61,False
2014-07-13,31,False
2014-07-20,30,False
2014-07-27,94,False
2014-08-03,64,False
2014-08-10,90,False
2014-08-17,60,False
2014-08-24,33,False
2014-08-31,0,False
2014-09-07,33,False
2014-09-14,32,False
2014-09-21,48,False
2014-09-28,38,False
2014-10-05,51,False
2014-10-12,61,False
2014-10-19,32,False
2014-10-26,40,False
2014-11-02,36,False
2014-11-09,54,False
2014-11-16,40,False
2014-11-23,39,False
2014-11-30,53,False
2014-12-07,31,False
2014-12-14,63,False
2014-12-21,92,False
2014-12-28,0,False
2015-01-04,29,False
2015-01-11,39,False
2015-01-18,26,False
2015-01-25,28,False
2015-02-01,58,False
2015-02-08,51,False
2015-02-15,67,False
2015-02-22,55,False
2015-03-01,46,False
2015-03-08,25,False
2015-03-15,25,False
2015-03-22,27,False
2015-03-29,58,False
2015-04-05,39,False
2015-04-12,46,False
2015-04-19,64,False
2015-04-26,37,False
2015-05-03,25,False
2015-05-10,83,False
2015-05-17,26,False
2015-05-24,46,False
2015-05-31,46,False
2015-06-07,46,False
2015-06-14,51,False
2015-06-21,25,False
2015-06-28,30,False
2015-07-05,29,False
2015-07-12,35,False
2015-07-19,47,False
2015-07-26,94,False
2015-08-02,52,False
2015-08-09,26,False
2015-08-16,37,False
2015-08-23,27,False
2015-08-30,74,False
2015-09-06,56,False
2015-09-13,44,False
2015-09-20,79,False
2015-09-27,44,False
2015-10-04,52,False
2015-10-11,47,False
2015-10-18,43,False
2015-10-25,47,False
2015-11-01,24,False
2015-11-08,51,False
2015-11-15,51,False
2015-11-22,40,False
2015-11-29,59,False
2015-12-06,40,False
2015-12-13,41,False
2015-12-20,46,False
2015-12-27,45,False
2016-01-03,46,False
2016-01-10,28,False
2016-01-17,42,False
2016-01-24,54,False
2016-01-31,25,False
2016-02-07,50,False
2016-02-14,44,False
2016-02-21,24,False
2016-02-28,35,False
2016-03-06,80,False
2016-03-13,69,False
2016-03-20,67,False
2016-03-27,66,False
2016-04-03,53,False
2016-04-10,36,False
2016-04-17,49,False
2016-04-24,0,False
2016-05-01,45,False
2016-05-08,27,False
2016-05-15,49,False
2016-05-22,76,False
2016-05-29,66,False
2016-06-05,100,False
2016-06-12,56,False
2016-06-19,55,False
2016-06-26,64,False
2016-07-03,27,False
2016-07-10,26,False
2016-07-17,39,False
2016-07-24,0,False
2016-07-31,60,False
2016-08-07,27,False
2016-08-14,32,False
2016-08-21,27,False
2016-08-28,64,False
2016-09-04,30,False
2016-09-11,28,False
2016-09-18,29,False
2016-09-25,27,False
2016-10-02,33,False
2016-10-09,38,False
2016-10-16,56,False
2016-10-23,0,False
2016-10-30,71,False
2016-11-06,61,False
2016-11-13,37,False
2016-11-20,24,False
2016-11-27,82,False
2016-12-04,25,False
2016-12-11,36,False
2016-12-18,29,False
2016-12-25,38,False
2017-01-01,37,False
2017-01-08,35,False
2017-01-15,26,False
2017-01-22,59,False
2017-01-29,33,False
2017-02-05,34,False
2017-02-12,32,False
2017-02-19,50,False
2017-02-26,33,False
2017-03-05,33,False
2017-03-12,25,False
2017-03-19,41,False
2017-03-26,49,False
2017-04-02,39,False
2017-04-09,27,False
2017-04-16,23,False
2017-04-23,49,False
2017-04-30,26,False
2017-05-07,23,False
2017-05-14,97,False
2017-05-21,44,False
2017-05-28,25,False
2017-06-04,36,False
2017-06-11,24,False
2017-06-18,47,False
2017-06-25,0,False
2017-07-02,25,False
2017-07-09,37,False
