date,EURZAR,isPartial
2013-01-06,27,False
2013-01-13,33,False
2013-01-20,16,False
2013-01-27,24,False
2013-02-03,24,False
2013-02-10,17,False
2013-02-17,18,False
2013-02-24,16,False
2013-03-03,38,False
2013-03-10,53,False
2013-03-17,42,False
2013-03-24,44,False
2013-03-31,21,False
2013-04-07,0,False
2013-04-14,32,False
2013-04-21,16,False
2013-04-28,25,False
2013-05-05,16,False
2013-05-12,23,False
2013-05-19,21,False
2013-05-26,38,False
2013-06-02,25,False
2013-06-09,46,False
2013-06-16,23,False
2013-06-23,38,False
2013-06-30,19,False
2013-07-07,33,False
2013-07-14,18,False
2013-07-21,27,False
2013-07-28,35,False
2013-08-04,25,False
2013-08-11,41,False
2013-08-18,48,False
2013-08-25,16,False
2013-09-01,26,False
2013-09-08,30,False
2013-09-15,32,False
2013-09-22,22,False
2013-09-29,33,False
2013-10-06,20,False
2013-10-13,23,False
2013-10-20,25,False
2013-10-27,20,False
2013-11-03,30,False
2013-11-10,39,False
2013-11-17,25,False
2013-11-24,35,False
2013-12-01,34,False
2013-12-08,29,False
2013-12-15,44,False
2013-12-22,22,False
2013-12-29,17,False
2014-01-05,16,False
2014-01-12,41,False
2014-01-19,33,False
2014-01-26,45,False
2014-02-02,39,False
2014-02-09,29,False
2014-02-16,46,False
2014-02-23,45,False
2014-03-02,44,False
2014-03-09,23,False
2014-03-16,22,False
2014-03-23,33,False
2014-03-30,20,False
2014-04-06,41,False
2014-04-13,37,False
2014-04-20,16,False
2014-04-27,0,False
2014-05-04,25,False
2014-05-11,22,False
2014-05-18,27,False
2014-05-25,33,False
2014-06-01,31,False
2014-06-08,23,False
2014-06-15,29,False
2014-06-22,17,False
2014-06-29,16,False
2014-07-06,28,False
2014-07-13,16,False
2014-07-20,52,False
2014-07-27,32,False
2014-08-03,22,False
2014-08-10,16,False
2014-08-17,31,False
2014-08-24,15,False
2014-08-31,32,False
2014-09-07,30,False
2014-09-14,16,False
2014-09-21,19,False
2014-09-28,27,False
2014-10-05,29,False
