date,AUDHKD,isPartial
2013-01-06,38,False
2013-01-13,47,False
2013-01-20,32,False
2013-01-27,27,False
2013-02-03,16,False
2013-02-10,16,False
2013-02-17,30,False
2013-02-24,16,False
2013-03-03,26,False
2013-03-10,36,False
2013-03-17,34,False
2013-03-24,23,False
2013-03-31,16,False
2013-04-07,33,False
2013-04-14,33,False
2013-04-21,51,False
2013-04-28,16,False
2013-05-05,59,False
2013-05-12,58,False
2013-05-19,66,False
2013-05-26,46,False
2013-06-02,51,False
2013-06-09,50,False
2013-06-16,63,False
2013-06-23,63,False
2013-06-30,43,False
2013-07-07,41,False
2013-07-14,32,False
2013-07-21,21,False
2013-07-28,35,False
2013-08-04,30,False
2013-08-11,37,False
2013-08-18,42,False
2013-08-25,23,False
2013-09-01,57,False
2013-09-08,49,False
2013-09-15,39,False
2013-09-22,33,False
2013-09-29,42,False
2013-10-06,32,False
2013-10-13,32,False
2013-10-20,53,False
2013-10-27,43,False
2013-11-03,27,False
2013-11-10,19,False
2013-11-17,43,False
2013-11-24,35,False
2013-12-01,30,False
2013-12-08,27,False
2013-12-15,43,False
2013-12-22,47,False
2013-12-29,57,False
2014-01-05,19,False
2014-01-12,55,False
2014-01-19,36,False
2014-01-26,40,False
2014-02-02,53,False
2014-02-09,32,False
2014-02-16,55,False
2014-02-23,40,False
2014-03-02,55,False
2014-03-09,40,False
2014-03-16,51,False
2014-03-23,43,False
2014-03-30,44,False
2014-04-06,32,False
2014-04-13,28,False
2014-04-20,34,False
2014-04-27,41,False
2014-05-04,30,False
2014-05-11,36,False
2014-05-18,27,False
2014-05-25,28,False
2014-06-01,26,False
2014-06-08,30,False
2014-06-15,33,False
2014-06-22,53,False
2014-06-29,31,False
2014-07-06,22,False
2014-07-13,23,False
2014-07-20,54,False
2014-07-27,29,False
2014-08-03,26,False
2014-08-10,38,False
2014-08-17,17,False
2014-08-24,0,False
2014-08-31,16,False
2014-09-07,39,False
2014-09-14,54,False
2014-09-21,72,False
2014-09-28,66,False
2014-10-05,33,False
2014-10-12,41,False
2014-10-19,45,False
2014-10-26,64,False
2014-11-02,74,False
2014-11-09,29,False
2014-11-16,40,False
2014-11-23,45,False
2014-11-30,41,False
2014-12-07,55,False
2014-12-14,61,False
2014-12-21,21,False
2014-12-28,28,False
2015-01-04,50,False
2015-01-11,44,False
2015-01-18,30,False
2015-01-25,55,False
2015-02-01,48,False
2015-02-08,45,False
2015-02-15,53,False
2015-02-22,34,False
2015-03-01,42,False
2015-03-08,79,False
2015-03-15,41,False
2015-03-22,25,False
2015-03-29,32,False
2015-04-05,31,False
2015-04-12,48,False
2015-04-19,22,False
2015-04-26,56,False
2015-05-03,52,False
2015-05-10,52,False
2015-05-17,52,False
2015-05-24,76,False
2015-05-31,35,False
2015-06-07,42,False
2015-06-14,47,False
2015-06-21,59,False
2015-06-28,56,False
2015-07-05,62,False
2015-07-12,32,False
2015-07-19,49,False
2015-07-26,38,False
2015-08-02,52,False
2015-08-09,59,False
2015-08-16,47,False
2015-08-23,30,False
2015-08-30,30,False
2015-09-06,50,False
2015-09-13,52,False
2015-09-20,39,False
2015-09-27,29,False
2015-10-04,32,False
2015-10-11,51,False
2015-10-18,38,False
2015-10-25,32,False
2015-11-01,22,False
2015-11-08,32,False
2015-11-15,45,False
2015-11-22,19,False
2015-11-29,17,False
2015-12-06,22,False
2015-12-13,42,False
2015-12-20,22,False
2015-12-27,13,False
2016-01-03,27,False
2016-01-10,56,False
2016-01-17,50,False
2016-01-24,18,False
2016-01-31,45,False
2016-02-07,46,False
2016-02-14,31,False
2016-02-21,36,False
2016-02-28,32,False
2016-03-06,49,False
2016-03-13,63,False
2016-03-20,41,False
2016-03-27,33,False
2016-04-03,40,False
2016-04-10,50,False
2016-04-17,43,False
2016-04-24,40,False
2016-05-01,61,False
2016-05-08,60,False
2016-05-15,26,False
2016-05-22,74,False
2016-05-29,65,False
2016-06-05,20,False
2016-06-12,57,False
2016-06-19,72,False
2016-06-26,55,False
2016-07-03,29,False
2016-07-10,21,False
2016-07-17,34,False
2016-07-24,39,False
2016-07-31,29,False
2016-08-07,30,False
2016-08-14,38,False
2016-08-21,51,False
2016-08-28,28,False
2016-09-04,35,False
2016-09-11,31,False
2016-09-18,28,False
2016-09-25,34,False
2016-10-02,27,False
2016-10-09,37,False
2016-10-16,25,False
2016-10-23,18,False
2016-10-30,42,False
2016-11-06,36,False
2016-11-13,53,False
2016-11-20,45,False
2016-11-27,45,False
2016-12-04,22,False
2016-12-11,23,False
2016-12-18,73,False
2016-12-25,25,False
2017-01-01,29,False
2017-01-08,41,False
2017-01-15,40,False
2017-01-22,21,False
2017-01-29,22,False
2017-02-05,40,False
2017-02-12,33,False
2017-02-19,37,False
2017-02-26,29,False
2017-03-05,24,False
2017-03-12,45,False
2017-03-19,37,False
2017-03-26,25,False
2017-04-02,42,False
2017-04-09,24,False
2017-04-16,25,False
2017-04-23,29,False
2017-04-30,53,False
2017-05-07,22,False
2017-05-14,42,False
2017-05-21,30,False
2017-05-28,36,False
2017-06-04,32,False
2017-06-11,63,False
2017-06-18,22,False
2017-06-25,27,False
2017-07-02,44,False
2017-07-09,30,False
2017-07-16,23,False
2017-07-23,40,False
2017-07-30,32,False
2017-08-06,51,False
2017-08-13,39,False
2017-08-20,32,False
2017-08-27,44,False
2017-09-03,22,False
2017-09-10,47,False
2017-09-17,50,False
2017-09-24,34,False
2017-10-01,25,False
2017-10-08,37,False
2017-10-15,25,False
2017-10-22,70,False
2017-10-29,28,False
2017-11-05,48,False
2017-11-12,33,False
2017-11-19,42,False
2017-11-26,71,False
2017-12-03,100,False
2017-12-10,69,False
2017-12-17,56,False
2017-12-24,80,False
2017-12-31,55,True
