date,USDCOP,isPartial
2013-01-06,34,False
2013-01-13,22,False
2013-01-20,16,False
2013-01-27,22,False
2013-02-03,28,False
2013-02-10,0,False
2013-02-17,32,False
2013-02-24,16,False
2013-03-03,0,False
2013-03-10,36,False
2013-03-17,24,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,16,False
2013-04-14,21,False
2013-04-21,16,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,16,False
2013-05-19,16,False
2013-05-26,23,False
2013-06-02,42,False
2013-06-09,16,False
2013-06-16,24,False
2013-06-23,18,False
2013-06-30,22,False
2013-07-07,22,False
2013-07-14,0,False
2013-07-21,28,False
2013-07-28,48,False
2013-08-04,19,False
2013-08-11,0,False
2013-08-18,36,False
2013-08-25,17,False
2013-09-01,34,False
2013-09-08,26,False
2013-09-15,0,False
2013-09-22,53,False
2013-09-29,22,False
2013-10-06,20,False
2013-10-13,0,False
2013-10-20,17,False
2013-10-27,45,False
2013-11-03,30,False
2013-11-10,15,False
2013-11-17,22,False
2013-11-24,15,False
2013-12-01,19,False
2013-12-08,29,False
2013-12-15,15,False
2013-12-22,0,False
2013-12-29,23,False
2014-01-05,19,False
2014-01-12,14,False
2014-01-19,19,False
2014-01-26,42,False
2014-02-02,37,False
2014-02-09,14,False
2014-02-16,28,False
2014-02-23,16,False
2014-03-02,25,False
2014-03-09,14,False
2014-03-16,14,False
2014-03-23,41,False
2014-03-30,14,False
2014-04-06,32,False
2014-04-13,29,False
2014-04-20,21,False
2014-04-27,28,False
2014-05-04,25,False
2014-05-11,14,False
2014-05-18,22,False
2014-05-25,18,False
2014-06-01,0,False
2014-06-08,21,False
2014-06-15,18,False
2014-06-22,16,False
2014-06-29,16,False
2014-07-06,41,False
2014-07-13,27,False
2014-07-20,0,False
2014-07-27,17,False
2014-08-03,19,False
2014-08-10,36,False
2014-08-17,23,False
2014-08-24,26,False
2014-08-31,30,False
2014-09-07,22,False
2014-09-14,25,False
2014-09-21,73,False
2014-09-28,45,False
2014-10-05,29,False
2014-10-12,19,False
2014-10-19,31,False
2014-10-26,14,False
2014-11-02,24,False
2014-11-09,30,False
2014-11-16,16,False
2014-11-23,46,False
2014-11-30,40,False
2014-12-07,51,False
2014-12-14,84,False
2014-12-21,57,False
2014-12-28,26,False
2015-01-04,46,False
2015-01-11,44,False
2015-01-18,34,False
2015-01-25,38,False
2015-02-01,53,False
2015-02-08,48,False
2015-02-15,46,False
2015-02-22,62,False
2015-03-01,19,False
2015-03-08,76,False
2015-03-15,57,False
2015-03-22,26,False
2015-03-29,23,False
2015-04-05,44,False
2015-04-12,45,False
2015-04-19,22,False
2015-04-26,20,False
2015-05-03,33,False
2015-05-10,24,False
2015-05-17,29,False
2015-05-24,39,False
2015-05-31,38,False
2015-06-07,26,False
2015-06-14,46,False
2015-06-21,13,False
2015-06-28,38,False
2015-07-05,34,False
2015-07-12,24,False
2015-07-19,59,False
2015-07-26,53,False
2015-08-02,34,False
2015-08-09,58,False
2015-08-16,45,False
2015-08-23,85,False
2015-08-30,84,False
2015-09-06,65,False
2015-09-13,64,False
2015-09-20,100,False
2015-09-27,43,False
2015-10-04,40,False
2015-10-11,80,False
2015-10-18,97,False
2015-10-25,42,False
2015-11-01,31,False
2015-11-08,58,False
2015-11-15,18,False
2015-11-22,44,False
2015-11-29,39,False
2015-12-06,89,False
2015-12-13,86,False
2015-12-20,50,False
2015-12-27,50,False
2016-01-03,57,False
2016-01-10,55,False
2016-01-17,46,False
2016-01-24,51,False
2016-01-31,28,False
2016-02-07,65,False
2016-02-14,57,False
2016-02-21,63,False
2016-02-28,59,False
2016-03-06,64,False
2016-03-13,44,False
2016-03-20,66,False
2016-03-27,32,False
2016-04-03,28,False
2016-04-10,28,False
2016-04-17,42,False
2016-04-24,50,False
2016-05-01,61,False
2016-05-08,22,False
2016-05-15,29,False
2016-05-22,37,False
2016-05-29,28,False
2016-06-05,38,False
2016-06-12,51,False
2016-06-19,48,False
2016-06-26,48,False
2016-07-03,25,False
2016-07-10,68,False
2016-07-17,40,False
2016-07-24,44,False
2016-07-31,40,False
2016-08-07,32,False
2016-08-14,53,False
2016-08-21,46,False
2016-08-28,68,False
2016-09-04,53,False
2016-09-11,67,False
2016-09-18,71,False
2016-09-25,57,False
2016-10-02,93,False
2016-10-09,24,False
2016-10-16,33,False
2016-10-23,33,False
2016-10-30,47,False
2016-11-06,77,False
2016-11-13,56,False
2016-11-20,41,False
2016-11-27,89,False
2016-12-04,48,False
2016-12-11,45,False
2016-12-18,26,False
2016-12-25,54,False
2017-01-01,51,False
2017-01-08,44,False
2017-01-15,48,False
2017-01-22,30,False
2017-01-29,23,False
2017-02-05,53,False
2017-02-12,25,False
2017-02-19,30,False
2017-02-26,34,False
2017-03-05,54,False
2017-03-12,29,False
2017-03-19,43,False
2017-03-26,43,False
2017-04-02,17,False
2017-04-09,35,False
2017-04-16,52,False
2017-04-23,46,False
2017-04-30,30,False
2017-05-07,35,False
2017-05-14,32,False
2017-05-21,46,False
2017-05-28,25,False
2017-06-04,31,False
2017-06-11,41,False
2017-06-18,49,False
2017-06-25,42,False
2017-07-02,23,False
2017-07-09,22,False
2017-07-16,42,False
2017-07-23,32,False
2017-07-30,43,False
2017-08-06,40,False
2017-08-13,14,False
2017-08-20,27,False
2017-08-27,25,False
2017-09-03,44,False
2017-09-10,22,False
2017-09-17,62,False
2017-09-24,39,False
