date,USDKRW,isPartial
2013-01-06,40,False
2013-01-13,61,False
2013-01-20,52,False
2013-01-27,78,False
2013-02-03,69,False
2013-02-10,43,False
2013-02-17,48,False
2013-02-24,33,False
2013-03-03,36,False
2013-03-10,47,False
2013-03-17,72,False
2013-03-24,39,False
2013-03-31,69,False
2013-04-07,97,False
2013-04-14,74,False
2013-04-21,53,False
2013-04-28,21,False
2013-05-05,57,False
2013-05-12,41,False
2013-05-19,51,False
2013-05-26,33,False
2013-06-02,32,False
2013-06-09,41,False
2013-06-16,47,False
2013-06-23,93,False
2013-06-30,82,False
2013-07-07,79,False
2013-07-14,40,False
2013-07-21,60,False
2013-07-28,33,False
2013-08-04,18,False
2013-08-11,40,False
2013-08-18,44,False
2013-08-25,66,False
2013-09-01,32,False
2013-09-08,39,False
2013-09-15,45,False
2013-09-22,59,False
2013-09-29,35,False
2013-10-06,34,False
2013-10-13,28,False
2013-10-20,44,False
2013-10-27,50,False
2013-11-03,35,False
2013-11-10,41,False
2013-11-17,57,False
2013-11-24,22,False
2013-12-01,20,False
2013-12-08,30,False
2013-12-15,28,False
2013-12-22,58,False
2013-12-29,29,False
2014-01-05,48,False
2014-01-12,44,False
2014-01-19,33,False
2014-01-26,57,False
2014-02-02,24,False
2014-02-09,23,False
2014-02-16,26,False
2014-02-23,28,False
2014-03-02,21,False
2014-03-09,23,False
2014-03-16,26,False
2014-03-23,23,False
2014-03-30,29,False
2014-04-06,65,False
2014-04-13,35,False
2014-04-20,32,False
2014-04-27,41,False
2014-05-04,56,False
2014-05-11,64,False
2014-05-18,49,False
2014-05-25,49,False
2014-06-01,72,False
2014-06-08,61,False
2014-06-15,16,False
2014-06-22,69,False
2014-06-29,65,False
2014-07-06,56,False
2014-07-13,41,False
2014-07-20,32,False
2014-07-27,30,False
2014-08-03,37,False
2014-08-10,35,False
2014-08-17,14,False
2014-08-24,23,False
2014-08-31,39,False
2014-09-07,57,False
2014-09-14,52,False
2014-09-21,30,False
2014-09-28,27,False
2014-10-05,30,False
2014-10-12,27,False
2014-10-19,24,False
2014-10-26,19,False
2014-11-02,36,False
2014-11-09,41,False
2014-11-16,34,False
2014-11-23,31,False
2014-11-30,21,False
2014-12-07,34,False
2014-12-14,35,False
2014-12-21,16,False
2014-12-28,11,False
2015-01-04,25,False
2015-01-11,35,False
2015-01-18,15,False
2015-01-25,32,False
2015-02-01,41,False
2015-02-08,27,False
2015-02-15,15,False
2015-02-22,27,False
2015-03-01,29,False
2015-03-08,56,False
2015-03-15,44,False
2015-03-22,18,False
2015-03-29,22,False
2015-04-05,32,False
2015-04-12,34,False
2015-04-19,22,False
2015-04-26,22,False
2015-05-03,25,False
2015-05-10,22,False
2015-05-17,24,False
2015-05-24,22,False
2015-05-31,18,False
2015-06-07,42,False
2015-06-14,42,False
2015-06-21,27,False
2015-06-28,50,False
2015-07-05,35,False
2015-07-12,41,False
2015-07-19,40,False
2015-07-26,50,False
2015-08-02,42,False
2015-08-09,76,False
2015-08-16,58,False
2015-08-23,50,False
2015-08-30,50,False
2015-09-06,62,False
2015-09-13,55,False
2015-09-20,53,False
2015-09-27,25,False
2015-10-04,43,False
2015-10-11,41,False
2015-10-18,38,False
2015-10-25,32,False
2015-11-01,36,False
2015-11-08,29,False
2015-11-15,34,False
2015-11-22,25,False
2015-11-29,25,False
2015-12-06,34,False
2015-12-13,55,False
2015-12-20,49,False
2015-12-27,28,False
2016-01-03,68,False
2016-01-10,40,False
2016-01-17,21,False
2016-01-24,35,False
2016-01-31,59,False
2016-02-07,40,False
2016-02-14,100,False
