date,AUDCNY,isPartial
2013-01-06,24,False
2013-01-13,0,False
2013-01-20,32,False
2013-01-27,35,False
2013-02-03,27,False
2013-02-10,0,False
2013-02-17,24,False
2013-02-24,25,False
2013-03-03,34,False
2013-03-10,46,False
2013-03-17,0,False
2013-03-24,24,False
2013-03-31,31,False
2013-04-07,23,False
2013-04-14,27,False
2013-04-21,23,False
2013-04-28,0,False
2013-05-05,0,False
2013-05-12,58,False
2013-05-19,46,False
2013-05-26,33,False
2013-06-02,50,False
2013-06-09,39,False
2013-06-16,66,False
2013-06-23,34,False
2013-06-30,60,False
2013-07-07,27,False
2013-07-14,36,False
2013-07-21,35,False
2013-07-28,47,False
2013-08-04,24,False
2013-08-11,0,False
2013-08-18,23,False
2013-08-25,26,False
2013-09-01,26,False
2013-09-08,22,False
2013-09-15,43,False
2013-09-22,45,False
2013-09-29,22,False
2013-10-06,22,False
2013-10-13,44,False
2013-10-20,37,False
2013-10-27,25,False
2013-11-03,0,False
2013-11-10,29,False
2013-11-17,32,False
2013-11-24,0,False
2013-12-01,42,False
2013-12-08,0,False
2013-12-15,55,False
2013-12-22,24,False
2013-12-29,26,False
2014-01-05,21,False
2014-01-12,47,False
2014-01-19,0,False
2014-01-26,23,False
2014-02-02,21,False
2014-02-09,22,False
2014-02-16,52,False
2014-02-23,27,False
2014-03-02,66,False
2014-03-09,22,False
2014-03-16,44,False
2014-03-23,27,False
2014-03-30,37,False
2014-04-06,52,False
2014-04-13,21,False
2014-04-20,21,False
2014-04-27,23,False
2014-05-04,20,False
2014-05-11,40,False
2014-05-18,37,False
2014-05-25,39,False
2014-06-01,23,False
2014-06-08,22,False
2014-06-15,0,False
2014-06-22,0,False
2014-06-29,23,False
2014-07-06,0,False
2014-07-13,23,False
2014-07-20,23,False
2014-07-27,0,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,23,False
2014-08-24,32,False
2014-08-31,0,False
2014-09-07,85,False
2014-09-14,21,False
2014-09-21,42,False
2014-09-28,39,False
2014-10-05,36,False
2014-10-12,28,False
2014-10-19,0,False
2014-10-26,31,False
2014-11-02,59,False
2014-11-09,44,False
2014-11-16,0,False
2014-11-23,30,False
2014-11-30,23,False
2014-12-07,37,False
2014-12-14,54,False
2014-12-21,42,False
2014-12-28,38,False
2015-01-04,29,False
2015-01-11,19,False
2015-01-18,33,False
2015-01-25,49,False
2015-02-01,42,False
2015-02-08,29,False
2015-02-15,22,False
2015-02-22,28,False
2015-03-01,42,False
2015-03-08,47,False
2015-03-15,33,False
2015-03-22,21,False
2015-03-29,20,False
2015-04-05,39,False
2015-04-12,48,False
2015-04-19,33,False
2015-04-26,0,False
2015-05-03,28,False
2015-05-10,49,False
2015-05-17,48,False
2015-05-24,77,False
2015-05-31,22,False
2015-06-07,19,False
2015-06-14,39,False
2015-06-21,33,False
2015-06-28,36,False
2015-07-05,70,False
2015-07-12,0,False
2015-07-19,39,False
2015-07-26,26,False
2015-08-02,0,False
2015-08-09,35,False
2015-08-16,28,False
2015-08-23,55,False
2015-08-30,41,False
2015-09-06,40,False
2015-09-13,26,False
2015-09-20,27,False
2015-09-27,39,False
2015-10-04,0,False
2015-10-11,33,False
2015-10-18,20,False
2015-10-25,18,False
2015-11-01,18,False
2015-11-08,18,False
2015-11-15,0,False
2015-11-22,18,False
2015-11-29,35,False
2015-12-06,32,False
2015-12-13,31,False
2015-12-20,22,False
2015-12-27,22,False
2016-01-03,44,False
2016-01-10,54,False
2016-01-17,40,False
2016-01-24,54,False
2016-01-31,64,False
2016-02-07,19,False
2016-02-14,20,False
2016-02-21,20,False
2016-02-28,24,False
2016-03-06,33,False
2016-03-13,63,False
2016-03-20,28,False
2016-03-27,53,False
2016-04-03,54,False
2016-04-10,34,False
2016-04-17,21,False
2016-04-24,21,False
2016-05-01,54,False
2016-05-08,74,False
2016-05-15,37,False
2016-05-22,19,False
2016-05-29,43,False
2016-06-05,19,False
2016-06-12,64,False
2016-06-19,43,False
2016-06-26,19,False
2016-07-03,37,False
2016-07-10,36,False
2016-07-17,70,False
2016-07-24,29,False
2016-07-31,20,False
2016-08-07,30,False
2016-08-14,28,False
2016-08-21,27,False
2016-08-28,0,False
2016-09-04,26,False
2016-09-11,33,False
2016-09-18,48,False
2016-09-25,19,False
2016-10-02,37,False
2016-10-09,42,False
2016-10-16,54,False
2016-10-23,21,False
2016-10-30,48,False
2016-11-06,46,False
2016-11-13,21,False
2016-11-20,52,False
2016-11-27,27,False
2016-12-04,38,False
2016-12-11,41,False
2016-12-18,86,False
2016-12-25,50,False
2017-01-01,21,False
2017-01-08,45,False
2017-01-15,34,False
2017-01-22,30,False
2017-01-29,17,False
2017-02-05,20,False
2017-02-12,0,False
2017-02-19,50,False
2017-02-26,48,False
2017-03-05,18,False
2017-03-12,33,False
2017-03-19,0,False
2017-03-26,17,False
2017-04-02,25,False
2017-04-09,32,False
2017-04-16,23,False
2017-04-23,31,False
2017-04-30,26,False
2017-05-07,25,False
2017-05-14,21,False
2017-05-21,33,False
2017-05-28,53,False
2017-06-04,0,False
2017-06-11,73,False
2017-06-18,18,False
2017-06-25,43,False
2017-07-02,100,False
2017-07-09,32,False
2017-07-16,19,False
2017-07-23,53,False
2017-07-30,41,False
2017-08-06,18,False
2017-08-13,72,False
2017-08-20,45,False
2017-08-27,20,False
2017-09-03,45,False
2017-09-10,76,False
2017-09-17,40,False
2017-09-24,87,False
2017-10-01,19,False
2017-10-08,50,False
2017-10-15,17,False
2017-10-22,46,False
2017-10-29,20,False
2017-11-05,33,False
2017-11-12,33,False
2017-11-19,34,False
2017-11-26,24,False
2017-12-03,74,False
2017-12-10,17,False
2017-12-17,32,False
2017-12-24,19,False
2017-12-31,0,True
