date,COPILS,isPartial
2013-01-06,0,False
2013-01-13,0,False
2013-01-20,0,False
2013-01-27,38,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,0,False
2013-02-24,38,False
2013-03-03,50,False
2013-03-10,0,False
2013-03-17,38,False
2013-03-24,44,False
2013-03-31,0,False
2013-04-07,37,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,38,False
2013-05-12,0,False
2013-05-19,37,False
2013-05-26,38,False
2013-06-02,0,False
2013-06-09,37,False
2013-06-16,0,False
2013-06-23,0,False
2013-06-30,39,False
2013-07-07,66,False
2013-07-14,52,False
2013-07-21,44,False
2013-07-28,51,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,0,False
2013-08-25,0,False
2013-09-01,0,False
2013-09-08,36,False
2013-09-15,0,False
2013-09-22,36,False
2013-09-29,0,False
2013-10-06,0,False
2013-10-13,36,False
2013-10-20,40,False
2013-10-27,0,False
2013-11-03,35,False
2013-11-10,47,False
2013-11-17,0,False
2013-11-24,38,False
2013-12-01,34,False
2013-12-08,0,False
2013-12-15,35,False
2013-12-22,39,False
2013-12-29,0,False
2014-01-05,34,False
2014-01-12,45,False
2014-01-19,33,False
2014-01-26,44,False
2014-02-02,0,False
2014-02-09,0,False
2014-02-16,0,False
2014-02-23,0,False
2014-03-02,50,False
2014-03-09,0,False
2014-03-16,0,False
2014-03-23,33,False
2014-03-30,0,False
2014-04-06,33,False
2014-04-13,34,False
2014-04-20,34,False
2014-04-27,0,False
2014-05-04,33,False
2014-05-11,37,False
2014-05-18,0,False
2014-05-25,73,False
2014-06-01,55,False
2014-06-08,55,False
2014-06-15,0,False
2014-06-22,37,False
2014-06-29,0,False
2014-07-06,75,False
2014-07-13,0,False
2014-07-20,0,False
2014-07-27,38,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,42,False
2014-08-24,35,False
2014-08-31,47,False
2014-09-07,0,False
2014-09-14,34,False
2014-09-21,69,False
2014-09-28,35,False
2014-10-05,0,False
2014-10-12,46,False
2014-10-19,34,False
2014-10-26,34,False
2014-11-02,33,False
2014-11-09,33,False
2014-11-16,49,False
2014-11-23,0,False
2014-11-30,0,False
2014-12-07,100,False
2014-12-14,34,False
2014-12-21,50,False
2014-12-28,0,False
2015-01-04,0,False
2015-01-11,32,False
2015-01-18,31,False
2015-01-25,31,False
2015-02-01,31,False
2015-02-08,72,False
2015-02-15,32,False
2015-02-22,92,False
2015-03-01,71,False
2015-03-08,45,False
2015-03-15,46,False
2015-03-22,90,False
2015-03-29,0,False
2015-04-05,43,False
2015-04-12,31,False
2015-04-19,0,False
2015-04-26,31,False
2015-05-03,32,False
2015-05-10,36,False
2015-05-17,47,False
2015-05-24,62,False
2015-05-31,36,False
2015-06-07,31,False
2015-06-14,71,False
2015-06-21,36,False
2015-06-28,42,False
2015-07-05,34,False
2015-07-12,32,False
2015-07-19,43,False
2015-07-26,36,False
2015-08-02,32,False
2015-08-09,34,False
2015-08-16,77,False
2015-08-23,41,False
2015-08-30,35,False
2015-09-06,35,False
2015-09-13,34,False
2015-09-20,85,False
2015-09-27,29,False
2015-10-04,0,False
2015-10-11,0,False
2015-10-18,57,False
2015-10-25,33,False
2015-11-01,39,False
2015-11-08,33,False
2015-11-15,43,False
2015-11-22,49,False
2015-11-29,28,False
2015-12-06,31,False
2015-12-13,59,False
2015-12-20,44,False
2015-12-27,37,False
2016-01-03,92,False
2016-01-10,60,False
2016-01-17,66,False
2016-01-24,34,False
2016-01-31,34,False
2016-02-07,33,False
2016-02-14,34,False
2016-02-21,30,False
2016-02-28,59,False
2016-03-06,0,False
2016-03-13,59,False
2016-03-20,56,False
2016-03-27,35,False
2016-04-03,44,False
2016-04-10,68,False
2016-04-17,86,False
2016-04-24,59,False
2016-05-01,81,False
2016-05-08,44,False
2016-05-15,33,False
2016-05-22,41,False
2016-05-29,45,False
2016-06-05,41,False
2016-06-12,30,False
2016-06-19,41,False
2016-06-26,34,False
2016-07-03,82,False
2016-07-10,32,False
2016-07-17,33,False
2016-07-24,35,False
2016-07-31,71,False
2016-08-07,36,False
2016-08-14,63,False
2016-08-21,38,False
2016-08-28,63,False
2016-09-04,46,False
2016-09-11,46,False
2016-09-18,77,False
2016-09-25,31,False
2016-10-02,52,False
2016-10-09,71,False
2016-10-16,60,False
2016-10-23,52,False
2016-10-30,35,False
2016-11-06,68,False
2016-11-13,66,False
2016-11-20,34,False
2016-11-27,33,False
2016-12-04,65,False
2016-12-11,32,False
2016-12-18,47,False
2016-12-25,34,False
2017-01-01,30,False
2017-01-08,0,False
2017-01-15,28,False
2017-01-22,28,False
2017-01-29,30,False
2017-02-05,30,False
2017-02-12,37,False
2017-02-19,0,False
2017-02-26,40,False
2017-03-05,39,False
2017-03-12,27,False
2017-03-19,0,False
2017-03-26,42,False
2017-04-02,0,False
2017-04-09,29,False
2017-04-16,64,False
2017-04-23,40,False
2017-04-30,31,False
2017-05-07,28,False
2017-05-14,34,False
2017-05-21,60,False
2017-05-28,33,False
2017-06-04,33,False
2017-06-11,39,False
2017-06-18,50,False
2017-06-25,30,False
2017-07-02,33,False
2017-07-09,34,False
