date,USDAUD,isPartial
2013-01-06,21,False
2013-01-13,27,False
2013-01-20,14,False
2013-01-27,57,False
2013-02-03,16,False
2013-02-10,26,False
2013-02-17,34,False
2013-02-24,56,False
2013-03-03,19,False
2013-03-10,14,False
2013-03-17,26,False
2013-03-24,41,False
2013-03-31,31,False
2013-04-07,33,False
2013-04-14,30,False
2013-04-21,25,False
2013-04-28,14,False
2013-05-05,64,False
2013-05-12,55,False
2013-05-19,78,False
2013-05-26,48,False
2013-06-02,70,False
2013-06-09,99,False
2013-06-16,45,False
2013-06-23,52,False
2013-06-30,69,False
2013-07-07,53,False
2013-07-14,53,False
2013-07-21,30,False
2013-07-28,72,False
2013-08-04,34,False
2013-08-11,46,False
2013-08-18,63,False
2013-08-25,51,False
2013-09-01,36,False
2013-09-08,53,False
2013-09-15,72,False
2013-09-22,48,False
2013-09-29,38,False
2013-10-06,49,False
2013-10-13,39,False
2013-10-20,45,False
2013-10-27,38,False
2013-11-03,41,False
2013-11-10,34,False
2013-11-17,44,False
2013-11-24,24,False
2013-12-01,27,False
2013-12-08,44,False
2013-12-15,24,False
2013-12-22,36,False
2013-12-29,37,False
2014-01-05,27,False
2014-01-12,36,False
2014-01-19,68,False
2014-01-26,57,False
2014-02-02,38,False
2014-02-09,38,False
2014-02-16,36,False
2014-02-23,51,False
2014-03-02,22,False
2014-03-09,29,False
2014-03-16,35,False
2014-03-23,25,False
2014-03-30,32,False
2014-04-06,42,False
2014-04-13,21,False
2014-04-20,40,False
2014-04-27,22,False
2014-05-04,45,False
2014-05-11,39,False
2014-05-18,26,False
2014-05-25,29,False
2014-06-01,29,False
2014-06-08,30,False
2014-06-15,25,False
2014-06-22,36,False
2014-06-29,33,False
2014-07-06,21,False
2014-07-13,25,False
2014-07-20,28,False
2014-07-27,28,False
2014-08-03,29,False
2014-08-10,36,False
2014-08-17,25,False
2014-08-24,17,False
2014-08-31,30,False
2014-09-07,27,False
2014-09-14,30,False
2014-09-21,51,False
2014-09-28,55,False
2014-10-05,34,False
2014-10-12,30,False
2014-10-19,38,False
2014-10-26,23,False
2014-11-02,33,False
2014-11-09,33,False
2014-11-16,23,False
2014-11-23,20,False
2014-11-30,39,False
2014-12-07,33,False
2014-12-14,67,False
2014-12-21,29,False
2014-12-28,29,False
2015-01-04,60,False
2015-01-11,47,False
2015-01-18,37,False
2015-01-25,67,False
2015-02-01,67,False
2015-02-08,34,False
2015-02-15,38,False
2015-02-22,54,False
2015-03-01,46,False
2015-03-08,58,False
2015-03-15,46,False
2015-03-22,31,False
2015-03-29,52,False
2015-04-05,35,False
2015-04-12,46,False
2015-04-19,64,False
2015-04-26,43,False
2015-05-03,25,False
2015-05-10,31,False
2015-05-17,67,False
2015-05-24,50,False
2015-05-31,23,False
2015-06-07,59,False
2015-06-14,49,False
2015-06-21,40,False
2015-06-28,34,False
2015-07-05,63,False
2015-07-12,53,False
2015-07-19,47,False
2015-07-26,65,False
2015-08-02,53,False
2015-08-09,74,False
2015-08-16,49,False
2015-08-23,75,False
2015-08-30,57,False
2015-09-06,89,False
2015-09-13,61,False
2015-09-20,41,False
2015-09-27,43,False
2015-10-04,36,False
2015-10-11,52,False
2015-10-18,37,False
2015-10-25,46,False
2015-11-01,37,False
2015-11-08,51,False
2015-11-15,42,False
2015-11-22,28,False
2015-11-29,48,False
2015-12-06,46,False
2015-12-13,55,False
2015-12-20,32,False
2015-12-27,29,False
2016-01-03,55,False
2016-01-10,59,False
2016-01-17,74,False
2016-01-24,56,False
2016-01-31,47,False
2016-02-07,42,False
2016-02-14,70,False
2016-02-21,26,False
2016-02-28,51,False
2016-03-06,64,False
