date,PENILS,isPartial
2015-11-15,30,False
2015-11-22,15,False
2015-11-29,45,False
2015-12-06,17,False
2015-12-13,23,False
2015-12-20,34,False
2015-12-27,31,False
2016-01-03,30,False
2016-01-10,23,False
2016-01-17,40,False
2016-01-24,40,False
2016-01-31,64,False
2016-02-07,41,False
2016-02-14,16,False
2016-02-21,28,False
2016-02-28,39,False
2016-03-06,23,False
2016-03-13,40,False
2016-03-20,33,False
2016-03-27,29,False
2016-04-03,17,False
2016-04-10,58,False
2016-04-17,35,False
2016-04-24,24,False
2016-05-01,41,False
2016-05-08,16,False
2016-05-15,16,False
2016-05-22,35,False
2016-05-29,18,False
2016-06-05,22,False
2016-06-12,32,False
2016-06-19,33,False
2016-06-26,16,False
2016-07-03,25,False
2016-07-10,37,False
2016-07-17,30,False
2016-07-24,34,False
2016-07-31,31,False
2016-08-07,40,False
2016-08-14,20,False
2016-08-21,44,False
2016-08-28,42,False
2016-09-04,17,False
2016-09-11,47,False
2016-09-18,30,False
2016-09-25,0,False
2016-10-02,24,False
2016-10-09,19,False
2016-10-16,41,False
2016-10-23,35,False
2016-10-30,28,False
2016-11-06,45,False
2016-11-13,58,False
2016-11-20,34,False
2016-11-27,20,False
2016-12-04,22,False
2016-12-11,38,False
2016-12-18,53,False
2016-12-25,0,False
2017-01-01,23,False
2017-01-08,0,False
2017-01-15,16,False
2017-01-22,43,False
2017-01-29,37,False
2017-02-05,42,False
2017-02-12,22,False
2017-02-19,27,False
2017-02-26,29,False
2017-03-05,21,False
2017-03-12,21,False
2017-03-19,15,False
2017-03-26,59,False
2017-04-02,32,False
2017-04-09,17,False
2017-04-16,17,False
2017-04-23,27,False
2017-04-30,43,False
2017-05-07,29,False
2017-05-14,80,False
2017-05-21,24,False
2017-05-28,35,False
2017-06-04,22,False
2017-06-11,31,False
2017-06-18,43,False
2017-06-25,45,False
2017-07-02,29,False
2017-07-09,27,False
2017-07-16,64,False
2017-07-23,28,False
2017-07-30,26,False
2017-08-06,15,False
2017-08-13,18,False
2017-08-20,33,False
2017-08-27,44,False
2017-09-03,28,False
2017-09-10,32,False
2017-09-17,61,False
2017-09-24,60,False
2017-10-01,42,False
2017-10-08,17,False
2017-10-15,25,False
2017-10-22,37,False
2017-10-29,59,False
2017-11-05,33,False
2017-11-12,57,False
2017-11-19,31,False
2017-11-26,21,False
2017-12-03,26,False
2017-12-10,22,False
2017-12-17,15,False
2017-12-24,24,False
2017-12-31,0,True
