date,USDBRL,isPartial
2013-01-06,9,False
2013-01-13,8,False
2013-01-20,6,False
2013-01-27,13,False
2013-02-03,9,False
2013-02-10,12,False
2013-02-17,9,False
2013-02-24,8,False
2013-03-03,15,False
2013-03-10,8,False
2013-03-17,9,False
2013-03-24,9,False
2013-03-31,11,False
2013-04-07,9,False
2013-04-14,10,False
2013-04-21,13,False
2013-04-28,8,False
2013-05-05,16,False
2013-05-12,13,False
2013-05-19,9,False
2013-05-26,11,False
2013-06-02,22,False
2013-06-09,19,False
2013-06-16,22,False
2013-06-23,13,False
2013-06-30,21,False
2013-07-07,23,False
2013-07-14,13,False
2013-07-21,9,False
2013-07-28,26,False
2013-08-04,17,False
2013-08-11,25,False
2013-08-18,52,False
2013-08-25,35,False
2013-09-01,11,False
2013-09-08,17,False
2013-09-15,14,False
2013-09-22,20,False
2013-09-29,22,False
2013-10-06,9,False
2013-10-13,9,False
2013-10-20,13,False
2013-10-27,12,False
2013-11-03,15,False
2013-11-10,17,False
2013-11-17,12,False
2013-11-24,15,False
2013-12-01,11,False
2013-12-08,10,False
2013-12-15,26,False
2013-12-22,9,False
2013-12-29,7,False
2014-01-05,16,False
2014-01-12,16,False
2014-01-19,17,False
2014-01-26,26,False
2014-02-02,18,False
2014-02-09,15,False
2014-02-16,18,False
2014-02-23,16,False
2014-03-02,15,False
2014-03-09,9,False
2014-03-16,16,False
2014-03-23,16,False
2014-03-30,27,False
2014-04-06,17,False
2014-04-13,8,False
2014-04-20,12,False
2014-04-27,13,False
2014-05-04,14,False
2014-05-11,14,False
2014-05-18,12,False
2014-05-25,14,False
2014-06-01,14,False
2014-06-08,13,False
2014-06-15,23,False
2014-06-22,13,False
2014-06-29,13,False
2014-07-06,15,False
2014-07-13,9,False
2014-07-20,10,False
2014-07-27,16,False
2014-08-03,15,False
2014-08-10,8,False
2014-08-17,14,False
2014-08-24,8,False
2014-08-31,14,False
2014-09-07,17,False
2014-09-14,17,False
2014-09-21,20,False
2014-09-28,24,False
2014-10-05,17,False
2014-10-12,17,False
2014-10-19,17,False
2014-10-26,41,False
2014-11-02,15,False
2014-11-09,25,False
2014-11-16,15,False
2014-11-23,15,False
2014-11-30,16,False
2014-12-07,16,False
2014-12-14,31,False
2014-12-21,9,False
2014-12-28,11,False
2015-01-04,22,False
2015-01-11,17,False
2015-01-18,23,False
2015-01-25,17,False
2015-02-01,17,False
2015-02-08,26,False
2015-02-15,15,False
2015-02-22,26,False
2015-03-01,43,False
2015-03-08,51,False
2015-03-15,42,False
2015-03-22,46,False
2015-03-29,33,False
2015-04-05,32,False
2015-04-12,31,False
2015-04-19,27,False
2015-04-26,32,False
2015-05-03,28,False
2015-05-10,23,False
2015-05-17,27,False
2015-05-24,24,False
2015-05-31,25,False
2015-06-07,20,False
2015-06-14,22,False
2015-06-21,19,False
2015-06-28,12,False
2015-07-05,21,False
2015-07-12,17,False
2015-07-19,32,False
2015-07-26,46,False
2015-08-02,43,False
2015-08-09,31,False
2015-08-16,49,False
2015-08-23,51,False
2015-08-30,48,False
2015-09-06,58,False
2015-09-13,47,False
2015-09-20,100,False
2015-09-27,61,False
2015-10-04,68,False
2015-10-11,48,False
2015-10-18,35,False
2015-10-25,30,False
2015-11-01,33,False
2015-11-08,34,False
2015-11-15,25,False
2015-11-22,33,False
2015-11-29,31,False
2015-12-06,36,False
2015-12-13,40,False
2015-12-20,49,False
2015-12-27,22,False
2016-01-03,54,False
2016-01-10,29,False
2016-01-17,41,False
2016-01-24,34,False
2016-01-31,25,False
2016-02-07,28,False
2016-02-14,19,False
2016-02-21,18,False
2016-02-28,45,False
2016-03-06,45,False
2016-03-13,59,False
2016-03-20,31,False
2016-03-27,44,False
2016-04-03,37,False
2016-04-10,45,False
2016-04-17,45,False
2016-04-24,28,False
2016-05-01,31,False
2016-05-08,52,False
2016-05-15,19,False
2016-05-22,18,False
2016-05-29,29,False
2016-06-05,38,False
2016-06-12,26,False
2016-06-19,36,False
2016-06-26,35,False
2016-07-03,25,False
2016-07-10,22,False
2016-07-17,25,False
2016-07-24,27,False
2016-07-31,32,False
2016-08-07,23,False
2016-08-14,22,False
2016-08-21,30,False
2016-08-28,31,False
2016-09-04,16,False
2016-09-11,23,False
2016-09-18,9,False
2016-09-25,13,False
2016-10-02,22,False
2016-10-09,20,False
