date,CHFZAR,isPartial
2017-07-16,0,False
2017-07-23,38,False
2017-07-30,0,False
2017-08-06,37,False
2017-08-13,0,False
2017-08-20,100,False
2017-08-27,37,False
2017-09-03,64,False
2017-09-10,37,False
2017-09-17,49,False
2017-09-24,0,False
2017-10-01,37,False
2017-10-08,0,False
2017-10-15,54,False
2017-10-22,41,False
2017-10-29,82,False
2017-11-05,35,False
2017-11-12,70,False
2017-11-19,0,False
2017-11-26,47,False
2017-12-03,0,False
2017-12-10,0,False
2017-12-17,37,False
2017-12-24,39,False
2017-12-31,0,True
