date,USDARS,isPartial
2013-01-06,23,False
2013-01-13,0,False
2013-01-20,22,False
2013-01-27,32,False
2013-02-03,0,False
2013-02-10,0,False
2013-02-17,25,False
2013-02-24,0,False
2013-03-03,0,False
2013-03-10,21,False
2013-03-17,0,False
2013-03-24,22,False
2013-03-31,0,False
2013-04-07,24,False
2013-04-14,0,False
2013-04-21,0,False
2013-04-28,0,False
2013-05-05,25,False
2013-05-12,21,False
2013-05-19,21,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,36,False
2013-06-16,0,False
2013-06-23,29,False
2013-06-30,0,False
2013-07-07,0,False
2013-07-14,0,False
2013-07-21,30,False
2013-07-28,43,False
2013-08-04,0,False
2013-08-11,22,False
2013-08-18,21,False
2013-08-25,21,False
2013-09-01,0,False
2013-09-08,0,False
2013-09-15,20,False
2013-09-22,21,False
2013-09-29,20,False
2013-10-06,27,False
2013-10-13,21,False
2013-10-20,26,False
2013-10-27,20,False
2013-11-03,22,False
2013-11-10,20,False
2013-11-17,20,False
2013-11-24,40,False
2013-12-01,20,False
2013-12-08,20,False
2013-12-15,20,False
2013-12-22,45,False
2013-12-29,21,False
2014-01-05,33,False
2014-01-12,38,False
2014-01-19,100,False
2014-01-26,95,False
2014-02-02,26,False
2014-02-09,20,False
2014-02-16,32,False
2014-02-23,19,False
2014-03-02,0,False
2014-03-09,19,False
2014-03-16,37,False
2014-03-23,19,False
2014-03-30,19,False
2014-04-06,32,False
2014-04-13,0,False
2014-04-20,26,False
2014-04-27,19,False
2014-05-04,0,False
2014-05-11,0,False
2014-05-18,20,False
2014-05-25,41,False
2014-06-01,21,False
2014-06-08,28,False
2014-06-15,21,False
2014-06-22,32,False
2014-06-29,32,False
2014-07-06,21,False
2014-07-13,0,False
2014-07-20,24,False
2014-07-27,40,False
2014-08-03,22,False
2014-08-10,0,False
2014-08-17,0,False
2014-08-24,0,False
2014-08-31,0,False
2014-09-07,26,False
2014-09-14,20,False
2014-09-21,26,False
2014-09-28,29,False
2014-10-05,20,False
2014-10-12,0,False
2014-10-19,19,False
2014-10-26,19,False
2014-11-02,19,False
2014-11-09,32,False
2014-11-16,19,False
2014-11-23,19,False
2014-11-30,34,False
2014-12-07,0,False
2014-12-14,22,False
2014-12-21,0,False
2014-12-28,38,False
2015-01-04,0,False
2015-01-11,18,False
2015-01-18,31,False
2015-01-25,18,False
2015-02-01,30,False
2015-02-08,18,False
2015-02-15,18,False
2015-02-22,48,False
2015-03-01,35,False
2015-03-08,18,False
2015-03-15,18,False
2015-03-22,0,False
2015-03-29,0,False
2015-04-05,0,False
2015-04-12,18,False
2015-04-19,0,False
2015-04-26,48,False
2015-05-03,0,False
2015-05-10,18,False
2015-05-17,18,False
2015-05-24,0,False
2015-05-31,18,False
2015-06-07,18,False
2015-06-14,18,False
2015-06-21,20,False
2015-06-28,21,False
2015-07-05,18,False
2015-07-12,18,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,18,False
2015-08-09,20,False
2015-08-16,18,False
2015-08-23,26,False
2015-08-30,20,False
2015-09-06,0,False
2015-09-13,17,False
2015-09-20,17,False
2015-09-27,17,False
2015-10-04,33,False
2015-10-11,17,False
2015-10-18,33,False
2015-10-25,28,False
2015-11-01,47,False
2015-11-08,47,False
2015-11-15,16,False
2015-11-22,16,False
2015-11-29,16,False
2015-12-06,33,False
2015-12-13,90,False
2015-12-20,40,False
2015-12-27,20,False
2016-01-03,23,False
2016-01-10,43,False
2016-01-17,18,False
2016-01-24,51,False
2016-01-31,43,False
2016-02-07,28,False
2016-02-14,38,False
2016-02-21,18,False
2016-02-28,18,False
2016-03-06,45,False
2016-03-13,28,False
2016-03-20,35,False
2016-03-27,20,False
2016-04-03,26,False
2016-04-10,17,False
2016-04-17,34,False
2016-04-24,34,False
2016-05-01,25,False
2016-05-08,35,False
2016-05-15,17,False
2016-05-22,35,False
2016-05-29,26,False
2016-06-05,35,False
2016-06-12,25,False
2016-06-19,26,False
2016-06-26,33,False
2016-07-03,0,False
2016-07-10,27,False
2016-07-17,20,False
2016-07-24,55,False
2016-07-31,21,False
2016-08-07,29,False
2016-08-14,20,False
2016-08-21,27,False
2016-08-28,36,False
2016-09-04,31,False
2016-09-11,31,False
2016-09-18,18,False
2016-09-25,26,False
2016-10-02,19,False
2016-10-09,18,False
2016-10-16,23,False
2016-10-23,17,False
2016-10-30,20,False
2016-11-06,32,False
2016-11-13,31,False
2016-11-20,17,False
2016-11-27,17,False
2016-12-04,35,False
2016-12-11,25,False
2016-12-18,18,False
2016-12-25,26,False
2017-01-01,27,False
2017-01-08,16,False
2017-01-15,24,False
2017-01-22,16,False
2017-01-29,24,False
2017-02-05,29,False
2017-02-12,16,False
2017-02-19,37,False
2017-02-26,18,False
2017-03-05,15,False
2017-03-12,15,False
2017-03-19,16,False
2017-03-26,29,False
2017-04-02,23,False
2017-04-09,24,False
2017-04-16,24,False
2017-04-23,23,False
2017-04-30,16,False
2017-05-07,27,False
2017-05-14,24,False
2017-05-21,23,False
2017-05-28,19,False
2017-06-04,17,False
2017-06-11,31,False
2017-06-18,18,False
2017-06-25,32,False
2017-07-02,51,False
2017-07-09,69,False
2017-07-16,37,False
2017-07-23,50,False
2017-07-30,24,False
2017-08-06,27,False
2017-08-13,43,False
2017-08-20,17,False
2017-08-27,33,False
2017-09-03,38,False
2017-09-10,35,False
2017-09-17,22,False
