date,USDPLN,isPartial
2013-01-06,31,False
2013-01-13,24,False
2013-01-20,21,False
2013-01-27,9,False
2013-02-03,23,False
2013-02-10,17,False
2013-02-17,27,False
2013-02-24,23,False
2013-03-03,13,False
2013-03-10,9,False
2013-03-17,20,False
2013-03-24,20,False
2013-03-31,16,False
2013-04-07,20,False
2013-04-14,23,False
2013-04-21,15,False
2013-04-28,13,False
2013-05-05,20,False
2013-05-12,26,False
2013-05-19,13,False
2013-05-26,18,False
2013-06-02,19,False
2013-06-09,15,False
2013-06-16,36,False
2013-06-23,36,False
2013-06-30,11,False
2013-07-07,9,False
2013-07-14,20,False
2013-07-21,18,False
2013-07-28,17,False
2013-08-04,30,False
2013-08-11,27,False
2013-08-18,45,False
2013-08-25,22,False
2013-09-01,16,False
2013-09-08,20,False
2013-09-15,15,False
2013-09-22,19,False
2013-09-29,21,False
2013-10-06,31,False
2013-10-13,31,False
2013-10-20,18,False
2013-10-27,15,False
2013-11-03,29,False
2013-11-10,9,False
2013-11-17,21,False
2013-11-24,14,False
2013-12-01,24,False
2013-12-08,12,False
2013-12-15,22,False
2013-12-22,0,False
2013-12-29,26,False
2014-01-05,16,False
2014-01-12,12,False
2014-01-19,20,False
2014-01-26,17,False
2014-02-02,21,False
2014-02-09,14,False
2014-02-16,20,False
2014-02-23,15,False
2014-03-02,23,False
2014-03-09,16,False
2014-03-16,23,False
2014-03-23,8,False
2014-03-30,26,False
2014-04-06,20,False
2014-04-13,16,False
2014-04-20,16,False
2014-04-27,24,False
2014-05-04,28,False
2014-05-11,20,False
2014-05-18,17,False
2014-05-25,9,False
2014-06-01,25,False
2014-06-08,22,False
2014-06-15,18,False
2014-06-22,32,False
2014-06-29,10,False
2014-07-06,9,False
2014-07-13,26,False
2014-07-20,10,False
2014-07-27,18,False
2014-08-03,28,False
2014-08-10,22,False
2014-08-17,22,False
2014-08-24,30,False
2014-08-31,31,False
2014-09-07,17,False
2014-09-14,27,False
2014-09-21,15,False
2014-09-28,19,False
2014-10-05,21,False
2014-10-12,21,False
2014-10-19,15,False
2014-10-26,20,False
2014-11-02,15,False
2014-11-09,27,False
2014-11-16,23,False
2014-11-23,26,False
2014-11-30,28,False
2014-12-07,20,False
2014-12-14,24,False
2014-12-21,19,False
2014-12-28,32,False
2015-01-04,46,False
2015-01-11,47,False
2015-01-18,79,False
2015-01-25,49,False
2015-02-01,32,False
2015-02-08,22,False
2015-02-15,14,False
2015-02-22,24,False
2015-03-01,35,False
2015-03-08,73,False
2015-03-15,46,False
2015-03-22,44,False
2015-03-29,36,False
2015-04-05,25,False
2015-04-12,35,False
2015-04-19,25,False
2015-04-26,33,False
2015-05-03,25,False
2015-05-10,38,False
2015-05-17,24,False
2015-05-24,43,False
2015-05-31,25,False
2015-06-07,16,False
2015-06-14,30,False
2015-06-21,33,False
2015-06-28,52,False
2015-07-05,63,False
2015-07-12,44,False
2015-07-19,19,False
2015-07-26,22,False
2015-08-02,25,False
2015-08-09,19,False
2015-08-16,27,False
2015-08-23,53,False
2015-08-30,16,False
2015-09-06,12,False
2015-09-13,31,False
2015-09-20,37,False
2015-09-27,15,False
2015-10-04,28,False
2015-10-11,21,False
2015-10-18,35,False
2015-10-25,43,False
2015-11-01,35,False
2015-11-08,35,False
2015-11-15,57,False
2015-11-22,42,False
2015-11-29,20,False
2015-12-06,35,False
2015-12-13,26,False
2015-12-20,20,False
2015-12-27,25,False
2016-01-03,30,False
2016-01-10,47,False
2016-01-17,47,False
2016-01-24,34,False
2016-01-31,29,False
2016-02-07,37,False
2016-02-14,36,False
2016-02-21,23,False
2016-02-28,28,False
2016-03-06,41,False
2016-03-13,31,False
2016-03-20,33,False
2016-03-27,37,False
2016-04-03,39,False
2016-04-10,31,False
2016-04-17,39,False
2016-04-24,52,False
2016-05-01,21,False
2016-05-08,32,False
2016-05-15,55,False
2016-05-22,34,False
2016-05-29,43,False
2016-06-05,27,False
2016-06-12,25,False
2016-06-19,65,False
2016-06-26,51,False
2016-07-03,26,False
2016-07-10,31,False
2016-07-17,34,False
2016-07-24,31,False
2016-07-31,17,False
2016-08-07,29,False
2016-08-14,36,False
2016-08-21,23,False
2016-08-28,41,False
2016-09-04,25,False
2016-09-11,38,False
2016-09-18,27,False
2016-09-25,40,False
2016-10-02,37,False
2016-10-09,40,False
2016-10-16,42,False
2016-10-23,29,False
2016-10-30,34,False
2016-11-06,59,False
2016-11-13,100,False
2016-11-20,65,False
2016-11-27,60,False
2016-12-04,49,False
2016-12-11,78,False
2016-12-18,54,False
2016-12-25,30,False
2017-01-01,42,False
2017-01-08,59,False
2017-01-15,34,False
2017-01-22,24,False
2017-01-29,43,False
2017-02-05,41,False
2017-02-12,52,False
2017-02-19,29,False
2017-02-26,20,False
2017-03-05,35,False
2017-03-12,47,False
2017-03-19,38,False
2017-03-26,41,False
2017-04-02,39,False
2017-04-09,25,False
2017-04-16,17,False
2017-04-23,55,False
2017-04-30,22,False
2017-05-07,41,False
2017-05-14,51,False
2017-05-21,60,False
2017-05-28,21,False
2017-06-04,33,False
2017-06-11,34,False
2017-06-18,25,False
2017-06-25,34,False
2017-07-02,53,False
2017-07-09,29,False
2017-07-16,53,False
2017-07-23,44,False
2017-07-30,48,False
2017-08-06,40,False
2017-08-13,32,False
2017-08-20,28,False
2017-08-27,38,False
2017-09-03,32,False
2017-09-10,37,False
2017-09-17,32,False
2017-09-24,57,False
2017-10-01,42,False
2017-10-08,30,False
2017-10-15,27,False
2017-10-22,31,False
2017-10-29,34,False
2017-11-05,59,False
