date,USDHUF,isPartial
2013-01-06,35,False
2013-01-13,0,False
2013-01-20,17,False
2013-01-27,25,False
2013-02-03,37,False
2013-02-10,34,False
2013-02-17,24,False
2013-02-24,36,False
2013-03-03,54,False
2013-03-10,42,False
2013-03-17,66,False
2013-03-24,49,False
2013-03-31,42,False
2013-04-07,42,False
2013-04-14,30,False
2013-04-21,42,False
2013-04-28,34,False
2013-05-05,37,False
2013-05-12,42,False
2013-05-19,38,False
2013-05-26,57,False
2013-06-02,0,False
2013-06-09,30,False
2013-06-16,33,False
2013-06-23,66,False
2013-06-30,25,False
2013-07-07,29,False
2013-07-14,29,False
2013-07-21,38,False
2013-07-28,38,False
2013-08-04,17,False
2013-08-11,34,False
2013-08-18,44,False
2013-08-25,24,False
2013-09-01,22,False
2013-09-08,32,False
2013-09-15,47,False
2013-09-22,46,False
2013-09-29,35,False
2013-10-06,34,False
2013-10-13,68,False
2013-10-20,28,False
2013-10-27,90,False
2013-11-03,50,False
2013-11-10,50,False
2013-11-17,26,False
2013-11-24,61,False
2013-12-01,27,False
2013-12-08,45,False
2013-12-15,68,False
2013-12-22,29,False
2013-12-29,48,False
2014-01-05,30,False
2014-01-12,21,False
2014-01-19,21,False
2014-01-26,58,False
2014-02-02,60,False
2014-02-09,46,False
2014-02-16,47,False
2014-02-23,31,False
2014-03-02,31,False
2014-03-09,31,False
2014-03-16,52,False
2014-03-23,33,False
2014-03-30,16,False
2014-04-06,74,False
2014-04-13,30,False
2014-04-20,34,False
2014-04-27,26,False
2014-05-04,26,False
2014-05-11,43,False
2014-05-18,33,False
2014-05-25,37,False
2014-06-01,37,False
2014-06-08,29,False
2014-06-15,84,False
2014-06-22,29,False
2014-06-29,18,False
2014-07-06,37,False
2014-07-13,22,False
2014-07-20,18,False
2014-07-27,42,False
2014-08-03,49,False
2014-08-10,37,False
2014-08-17,32,False
2014-08-24,28,False
2014-08-31,26,False
2014-09-07,38,False
2014-09-14,30,False
2014-09-21,16,False
2014-09-28,30,False
2014-10-05,44,False
2014-10-12,30,False
2014-10-19,15,False
2014-10-26,22,False
2014-11-02,43,False
2014-11-09,16,False
2014-11-16,16,False
2014-11-23,29,False
2014-11-30,25,False
2014-12-07,29,False
2014-12-14,71,False
2014-12-21,89,False
2014-12-28,64,False
2015-01-04,67,False
2015-01-11,76,False
2015-01-18,100,False
2015-01-25,65,False
2015-02-01,79,False
2015-02-08,80,False
2015-02-15,46,False
2015-02-22,78,False
2015-03-01,74,False
2015-03-08,54,False
2015-03-15,64,False
2015-03-22,59,False
