date,CADGBP,isPartial
2013-01-06,24,False
2013-01-13,0,False
2013-01-20,31,False
2013-01-27,0,False
2013-02-03,23,False
2013-02-10,0,False
2013-02-17,47,False
2013-02-24,23,False
2013-03-03,0,False
2013-03-10,23,False
2013-03-17,23,False
2013-03-24,36,False
2013-03-31,23,False
2013-04-07,23,False
2013-04-14,26,False
2013-04-21,0,False
2013-04-28,23,False
2013-05-05,31,False
2013-05-12,23,False
2013-05-19,0,False
2013-05-26,46,False
2013-06-02,30,False
2013-06-09,0,False
2013-06-16,0,False
2013-06-23,23,False
2013-06-30,24,False
2013-07-07,0,False
2013-07-14,48,False
2013-07-21,23,False
2013-07-28,71,False
2013-08-04,0,False
2013-08-11,0,False
2013-08-18,23,False
2013-08-25,0,False
2013-09-01,60,False
2013-09-08,22,False
2013-09-15,32,False
2013-09-22,22,False
2013-09-29,0,False
2013-10-06,32,False
2013-10-13,22,False
2013-10-20,21,False
2013-10-27,22,False
2013-11-03,21,False
2013-11-10,22,False
2013-11-17,46,False
2013-11-24,28,False
2013-12-01,41,False
2013-12-08,0,False
2013-12-15,0,False
2013-12-22,48,False
2013-12-29,0,False
2014-01-05,20,False
2014-01-12,40,False
2014-01-19,29,False
2014-01-26,0,False
2014-02-02,27,False
2014-02-09,26,False
2014-02-16,20,False
2014-02-23,0,False
2014-03-02,0,False
2014-03-09,23,False
2014-03-16,40,False
2014-03-23,0,False
2014-03-30,30,False
2014-04-06,27,False
2014-04-13,21,False
2014-04-20,31,False
2014-04-27,20,False
2014-05-04,60,False
2014-05-11,27,False
2014-05-18,21,False
2014-05-25,0,False
2014-06-01,30,False
2014-06-08,22,False
2014-06-15,33,False
2014-06-22,26,False
2014-06-29,23,False
2014-07-06,0,False
2014-07-13,0,False
2014-07-20,23,False
2014-07-27,0,False
2014-08-03,32,False
2014-08-10,0,False
2014-08-17,22,False
2014-08-24,25,False
2014-08-31,21,False
2014-09-07,0,False
2014-09-14,0,False
2014-09-21,0,False
2014-09-28,42,False
2014-10-05,21,False
2014-10-12,21,False
2014-10-19,21,False
2014-10-26,0,False
2014-11-02,20,False
2014-11-09,23,False
2014-11-16,0,False
2014-11-23,27,False
2014-11-30,20,False
2014-12-07,20,False
2014-12-14,31,False
2014-12-21,39,False
2014-12-28,0,False
2015-01-04,20,False
2015-01-11,0,False
2015-01-18,21,False
2015-01-25,47,False
2015-02-01,19,False
2015-02-08,19,False
2015-02-15,0,False
2015-02-22,0,False
2015-03-01,0,False
2015-03-08,22,False
2015-03-15,22,False
2015-03-22,27,False
2015-03-29,39,False
2015-04-05,19,False
2015-04-12,21,False
2015-04-19,48,False
2015-04-26,42,False
2015-05-03,29,False
2015-05-10,22,False
2015-05-17,19,False
2015-05-24,38,False
2015-05-31,19,False
2015-06-07,19,False
2015-06-14,21,False
2015-06-21,33,False
2015-06-28,21,False
2015-07-05,19,False
2015-07-12,39,False
2015-07-19,0,False
2015-07-26,0,False
2015-08-02,19,False
2015-08-09,0,False
2015-08-16,38,False
2015-08-23,19,False
2015-08-30,37,False
2015-09-06,0,False
2015-09-13,21,False
2015-09-20,18,False
2015-09-27,27,False
2015-10-04,18,False
2015-10-11,18,False
2015-10-18,20,False
2015-10-25,0,False
2015-11-01,18,False
2015-11-08,19,False
2015-11-15,23,False
2015-11-22,53,False
2015-11-29,0,False
2015-12-06,25,False
2015-12-13,18,False
2015-12-20,20,False
2015-12-27,32,False
2016-01-03,19,False
2016-01-10,27,False
2016-01-17,25,False
2016-01-24,18,False
2016-01-31,21,False
2016-02-07,0,False
2016-02-14,20,False
2016-02-21,30,False
2016-02-28,18,False
2016-03-06,27,False
2016-03-13,27,False
2016-03-20,19,False
2016-03-27,19,False
2016-04-03,0,False
2016-04-10,24,False
2016-04-17,37,False
2016-04-24,24,False
2016-05-01,20,False
2016-05-08,28,False
2016-05-15,27,False
2016-05-22,27,False
2016-05-29,28,False
2016-06-05,37,False
2016-06-12,0,False
2016-06-19,100,False
2016-06-26,50,False
2016-07-03,53,False
2016-07-10,35,False
2016-07-17,20,False
2016-07-24,43,False
2016-07-31,23,False
2016-08-07,20,False
2016-08-14,21,False
2016-08-21,27,False
2016-08-28,38,False
2016-09-04,29,False
2016-09-11,19,False
2016-09-18,38,False
2016-09-25,19,False
2016-10-02,25,False
2016-10-09,19,False
2016-10-16,34,False
2016-10-23,21,False
2016-10-30,0,False
2016-11-06,24,False
2016-11-13,18,False
2016-11-20,26,False
2016-11-27,24,False
2016-12-04,19,False
2016-12-11,24,False
2016-12-18,19,False
2016-12-25,0,False
2017-01-01,49,False
2017-01-08,37,False
2017-01-15,41,False
2017-01-22,31,False
2017-01-29,25,False
2017-02-05,48,False
2017-02-12,22,False
2017-02-19,32,False
2017-02-26,28,False
2017-03-05,36,False
2017-03-12,30,False
2017-03-19,38,False
2017-03-26,37,False
2017-04-02,19,False
2017-04-09,18,False
2017-04-16,34,False
2017-04-23,17,False
2017-04-30,17,False
2017-05-07,39,False
2017-05-14,20,False
2017-05-21,18,False
2017-05-28,0,False
2017-06-04,45,False
2017-06-11,18,False
2017-06-18,36,False
2017-06-25,25,False
2017-07-02,25,False
2017-07-09,33,False
2017-07-16,19,False
2017-07-23,53,False
2017-07-30,24,False
2017-08-06,18,False
2017-08-13,26,False
2017-08-20,0,False
2017-08-27,40,False
2017-09-03,44,False
2017-09-10,26,False
2017-09-17,25,False
2017-09-24,37,False
2017-10-01,19,False
2017-10-08,17,False
2017-10-15,0,False
2017-10-22,19,False
2017-10-29,23,False
2017-11-05,17,False
2017-11-12,19,False
2017-11-19,19,False
2017-11-26,30,False
2017-12-03,61,False
2017-12-10,36,False
2017-12-17,44,False
2017-12-24,25,False
2017-12-31,51,True
