date,USDCAD,isPartial
2013-01-06,8,False
2013-01-13,11,False
2013-01-20,15,False
2013-01-27,17,False
2013-02-03,12,False
2013-02-10,12,False
2013-02-17,21,False
2013-02-24,19,False
2013-03-03,18,False
2013-03-10,12,False
2013-03-17,9,False
2013-03-24,13,False
2013-03-31,14,False
2013-04-07,12,False
2013-04-14,17,False
2013-04-21,13,False
2013-04-28,14,False
2013-05-05,15,False
2013-05-12,14,False
2013-05-19,14,False
2013-05-26,20,False
2013-06-02,14,False
2013-06-09,16,False
2013-06-16,15,False
2013-06-23,26,False
2013-06-30,22,False
2013-07-07,24,False
2013-07-14,18,False
2013-07-21,18,False
2013-07-28,15,False
2013-08-04,17,False
2013-08-11,15,False
2013-08-18,18,False
2013-08-25,18,False
2013-09-01,17,False
2013-09-08,18,False
2013-09-15,14,False
2013-09-22,13,False
2013-09-29,12,False
2013-10-06,14,False
2013-10-13,16,False
2013-10-20,15,False
2013-10-27,16,False
2013-11-03,20,False
2013-11-10,10,False
2013-11-17,14,False
2013-11-24,19,False
2013-12-01,23,False
2013-12-08,20,False
2013-12-15,16,False
2013-12-22,12,False
2013-12-29,17,False
2014-01-05,33,False
2014-01-12,31,False
2014-01-19,36,False
2014-01-26,42,False
2014-02-02,34,False
2014-02-09,19,False
2014-02-16,30,False
2014-02-23,20,False
2014-03-02,24,False
2014-03-09,21,False
2014-03-16,30,False
2014-03-23,34,False
2014-03-30,23,False
2014-04-06,18,False
2014-04-13,15,False
2014-04-20,16,False
2014-04-27,18,False
2014-05-04,22,False
2014-05-11,13,False
2014-05-18,12,False
2014-05-25,13,False
2014-06-01,17,False
2014-06-08,11,False
2014-06-15,19,False
2014-06-22,17,False
2014-06-29,19,False
2014-07-06,18,False
2014-07-13,20,False
2014-07-20,15,False
2014-07-27,25,False
2014-08-03,19,False
2014-08-10,13,False
2014-08-17,19,False
2014-08-24,21,False
2014-08-31,23,False
2014-09-07,20,False
2014-09-14,22,False
2014-09-21,19,False
2014-09-28,18,False
2014-10-05,21,False
2014-10-12,22,False
2014-10-19,12,False
2014-10-26,18,False
2014-11-02,31,False
2014-11-09,22,False
2014-11-16,23,False
2014-11-23,21,False
2014-11-30,26,False
2014-12-07,20,False
2014-12-14,35,False
2014-12-21,20,False
2014-12-28,22,False
2015-01-04,29,False
2015-01-11,33,False
2015-01-18,59,False
2015-01-25,53,False
2015-02-01,66,False
2015-02-08,39,False
2015-02-15,40,False
2015-02-22,35,False
2015-03-01,32,False
2015-03-08,39,False
2015-03-15,42,False
2015-03-22,27,False
2015-03-29,29,False
2015-04-05,31,False
2015-04-12,43,False
2015-04-19,36,False
2015-04-26,27,False
2015-05-03,31,False
2015-05-10,31,False
2015-05-17,29,False
2015-05-24,37,False
2015-05-31,35,False
2015-06-07,34,False
2015-06-14,29,False
2015-06-21,29,False
2015-06-28,48,False
2015-07-05,47,False
2015-07-12,57,False
2015-07-19,47,False
2015-07-26,49,False
2015-08-02,53,False
2015-08-09,45,False
2015-08-16,47,False
2015-08-23,47,False
2015-08-30,45,False
2015-09-06,36,False
2015-09-13,32,False
2015-09-20,37,False
2015-09-27,32,False
2015-10-04,44,False
2015-10-11,39,False
2015-10-18,42,False
2015-10-25,34,False
2015-11-01,31,False
2015-11-08,32,False
2015-11-15,33,False
2015-11-22,26,False
2015-11-29,44,False
2015-12-06,63,False
2015-12-13,72,False
2015-12-20,55,False
2015-12-27,42,False
2016-01-03,58,False
2016-01-10,88,False
2016-01-17,100,False
2016-01-24,68,False
2016-01-31,67,False
2016-02-07,50,False
2016-02-14,52,False
2016-02-21,57,False
2016-02-28,44,False
2016-03-06,55,False
2016-03-13,53,False
2016-03-20,43,False
2016-03-27,51,False
2016-04-03,41,False
2016-04-10,52,False
2016-04-17,59,False
2016-04-24,51,False
2016-05-01,54,False
2016-05-08,49,False
2016-05-15,44,False
2016-05-22,44,False
2016-05-29,41,False
2016-06-05,37,False
2016-06-12,49,False
2016-06-19,56,False
2016-06-26,55,False
2016-07-03,42,False
2016-07-10,39,False
2016-07-17,45,False
2016-07-24,49,False
2016-07-31,45,False
2016-08-07,36,False
2016-08-14,39,False
2016-08-21,43,False
2016-08-28,46,False
2016-09-04,41,False
2016-09-11,48,False
2016-09-18,46,False
2016-09-25,44,False
2016-10-02,41,False
2016-10-09,44,False
2016-10-16,48,False
2016-10-23,52,False
2016-10-30,43,False
2016-11-06,84,False
2016-11-13,59,False
2016-11-20,43,False
2016-11-27,45,False
2016-12-04,39,False
2016-12-11,49,False
2016-12-18,39,False
2016-12-25,37,False
2017-01-01,40,False
2017-01-08,44,False
2017-01-15,57,False
2017-01-22,52,False
2017-01-29,49,False
2017-02-05,42,False
2017-02-12,39,False
2017-02-19,40,False
2017-02-26,66,False
2017-03-05,54,False
2017-03-12,38,False
2017-03-19,39,False
2017-03-26,35,False
2017-04-02,41,False
2017-04-09,37,False
2017-04-16,42,False
2017-04-23,76,False
2017-04-30,67,False
2017-05-07,49,False
2017-05-14,54,False
2017-05-21,36,False
2017-05-28,37,False
2017-06-04,39,False
2017-06-11,62,False
2017-06-18,36,False
2017-06-25,55,False
2017-07-02,52,False
2017-07-09,59,False
2017-07-16,60,False
2017-07-23,72,False
2017-07-30,63,False
2017-08-06,46,False
2017-08-13,41,False
2017-08-20,42,False
2017-08-27,49,False
2017-09-03,71,False
2017-09-10,54,False
2017-09-17,52,False
2017-09-24,52,False
2017-10-01,42,False
2017-10-08,35,False
2017-10-15,42,False
2017-10-22,49,False
2017-10-29,55,False
2017-11-05,45,False
2017-11-12,35,False
2017-11-19,38,False
2017-11-26,59,False
2017-12-03,72,False
2017-12-10,56,False
2017-12-17,53,False
2017-12-24,56,False
2017-12-31,34,True
