date,CNYHKD,isPartial
2013-01-06,23,False
2013-01-13,27,False
2013-01-20,30,False
2013-01-27,20,False
2013-02-03,15,False
2013-02-10,15,False
2013-02-17,38,False
2013-02-24,29,False
2013-03-03,0,False
2013-03-10,14,False
2013-03-17,14,False
2013-03-24,0,False
2013-03-31,17,False
2013-04-07,16,False
2013-04-14,29,False
2013-04-21,25,False
2013-04-28,20,False
2013-05-05,29,False
2013-05-12,14,False
2013-05-19,14,False
2013-05-26,19,False
2013-06-02,21,False
2013-06-09,15,False
2013-06-16,16,False
2013-06-23,19,False
2013-06-30,0,False
2013-07-07,25,False
2013-07-14,21,False
2013-07-21,0,False
2013-07-28,15,False
2013-08-04,30,False
2013-08-11,30,False
2013-08-18,29,False
2013-08-25,14,False
2013-09-01,14,False
2013-09-08,20,False
2013-09-15,27,False
2013-09-22,0,False
2013-09-29,23,False
2013-10-06,30,False
2013-10-13,15,False
2013-10-20,27,False
2013-10-27,31,False
2013-11-03,19,False
2013-11-10,30,False
2013-11-17,28,False
2013-11-24,38,False
2013-12-01,28,False
2013-12-08,33,False
2013-12-15,13,False
2013-12-22,40,False
2013-12-29,41,False
2014-01-05,26,False
2014-01-12,51,False
2014-01-19,23,False
2014-01-26,14,False
2014-02-02,33,False
2014-02-09,36,False
2014-02-16,27,False
2014-02-23,49,False
2014-03-02,36,False
2014-03-09,100,False
2014-03-16,59,False
2014-03-23,53,False
2014-03-30,37,False
2014-04-06,46,False
2014-04-13,28,False
2014-04-20,47,False
2014-04-27,27,False
2014-05-04,23,False
2014-05-11,18,False
2014-05-18,29,False
2014-05-25,25,False
2014-06-01,14,False
2014-06-08,46,False
2014-06-15,20,False
2014-06-22,46,False
2014-06-29,31,False
2014-07-06,20,False
2014-07-13,32,False
2014-07-20,16,False
2014-07-27,52,False
2014-08-03,37,False
2014-08-10,21,False
2014-08-17,30,False
2014-08-24,20,False
2014-08-31,23,False
2014-09-07,17,False
2014-09-14,26,False
2014-09-21,18,False
2014-09-28,20,False
2014-10-05,33,False
2014-10-12,22,False
2014-10-19,0,False
2014-10-26,26,False
2014-11-02,23,False
2014-11-09,18,False
2014-11-16,42,False
2014-11-23,21,False
2014-11-30,50,False
2014-12-07,23,False
2014-12-14,0,False
2014-12-21,19,False
2014-12-28,25,False
2015-01-04,14,False
2015-01-11,31,False
2015-01-18,43,False
2015-01-25,34,False
2015-02-01,22,False
2015-02-08,26,False
2015-02-15,12,False
2015-02-22,41,False
2015-03-01,43,False
2015-03-08,27,False
2015-03-15,17,False
2015-03-22,38,False
2015-03-29,13,False
2015-04-05,12,False
2015-04-12,47,False
2015-04-19,30,False
2015-04-26,24,False
2015-05-03,22,False
2015-05-10,20,False
2015-05-17,26,False
