date,EURPLN,isPartial
2013-01-06,23,False
2013-01-13,34,False
2013-01-20,42,False
2013-01-27,30,False
2013-02-03,33,False
2013-02-10,9,False
2013-02-17,22,False
2013-02-24,27,False
2013-03-03,11,False
2013-03-10,32,False
2013-03-17,22,False
2013-03-24,8,False
2013-03-31,25,False
2013-04-07,24,False
2013-04-14,41,False
2013-04-21,22,False
2013-04-28,22,False
2013-05-05,19,False
2013-05-12,21,False
2013-05-19,27,False
2013-05-26,35,False
2013-06-02,29,False
2013-06-09,22,False
2013-06-16,16,False
2013-06-23,33,False
2013-06-30,31,False
2013-07-07,31,False
2013-07-14,20,False
2013-07-21,33,False
2013-07-28,15,False
2013-08-04,20,False
2013-08-11,15,False
2013-08-18,16,False
2013-08-25,15,False
2013-09-01,21,False
2013-09-08,18,False
2013-09-15,21,False
2013-09-22,18,False
2013-09-29,20,False
2013-10-06,16,False
2013-10-13,20,False
2013-10-20,28,False
2013-10-27,11,False
2013-11-03,17,False
2013-11-10,16,False
2013-11-17,10,False
2013-11-24,38,False
2013-12-01,27,False
2013-12-08,27,False
2013-12-15,18,False
2013-12-22,8,False
2013-12-29,24,False
2014-01-05,15,False
2014-01-12,22,False
2014-01-19,24,False
2014-01-26,24,False
2014-02-02,20,False
2014-02-09,19,False
2014-02-16,14,False
2014-02-23,19,False
2014-03-02,19,False
2014-03-09,21,False
2014-03-16,26,False
2014-03-23,37,False
2014-03-30,23,False
2014-04-06,7,False
2014-04-13,11,False
2014-04-20,17,False
2014-04-27,23,False
2014-05-04,12,False
2014-05-11,12,False
2014-05-18,32,False
2014-05-25,29,False
2014-06-01,21,False
2014-06-08,37,False
2014-06-15,40,False
2014-06-22,13,False
2014-06-29,13,False
2014-07-06,22,False
2014-07-13,19,False
2014-07-20,7,False
2014-07-27,16,False
2014-08-03,17,False
2014-08-10,24,False
2014-08-17,16,False
2014-08-24,18,False
2014-08-31,8,False
2014-09-07,18,False
2014-09-14,15,False
2014-09-21,17,False
2014-09-28,18,False
2014-10-05,17,False
2014-10-12,10,False
2014-10-19,20,False
2014-10-26,15,False
2014-11-02,7,False
2014-11-09,16,False
2014-11-16,22,False
2014-11-23,9,False
2014-11-30,23,False
2014-12-07,23,False
2014-12-14,22,False
2014-12-21,24,False
2014-12-28,33,False
2015-01-04,21,False
2015-01-11,46,False
2015-01-18,59,False
2015-01-25,29,False
2015-02-01,34,False
2015-02-08,36,False
2015-02-15,18,False
2015-02-22,13,False
2015-03-01,18,False
2015-03-08,38,False
2015-03-15,33,False
2015-03-22,34,False
2015-03-29,19,False
2015-04-05,32,False
2015-04-12,18,False
2015-04-19,36,False
2015-04-26,13,False
2015-05-03,20,False
2015-05-10,32,False
2015-05-17,20,False
2015-05-24,49,False
2015-05-31,20,False
2015-06-07,38,False
2015-06-14,20,False
2015-06-21,25,False
2015-06-28,46,False
2015-07-05,63,False
2015-07-12,30,False
2015-07-19,44,False
2015-07-26,28,False
2015-08-02,50,False
2015-08-09,36,False
2015-08-16,29,False
2015-08-23,42,False
2015-08-30,22,False
2015-09-06,24,False
2015-09-13,23,False
2015-09-20,17,False
2015-09-27,17,False
2015-10-04,13,False
2015-10-11,31,False
2015-10-18,21,False
2015-10-25,37,False
2015-11-01,25,False
2015-11-08,12,False
2015-11-15,14,False
2015-11-22,33,False
2015-11-29,17,False
2015-12-06,33,False
2015-12-13,34,False
2015-12-20,31,False
2015-12-27,21,False
2016-01-03,36,False
2016-01-10,66,False
2016-01-17,100,False
2016-01-24,41,False
2016-01-31,54,False
