date,CADUSD,isPartial
2013-01-06,10,False
2013-01-13,9,False
2013-01-20,16,False
2013-01-27,6,False
2013-02-03,12,False
2013-02-10,12,False
2013-02-17,16,False
2013-02-24,16,False
2013-03-03,17,False
2013-03-10,9,False
2013-03-17,12,False
2013-03-24,10,False
2013-03-31,20,False
2013-04-07,11,False
2013-04-14,13,False
2013-04-21,16,False
2013-04-28,13,False
2013-05-05,13,False
2013-05-12,23,False
2013-05-19,17,False
2013-05-26,22,False
2013-06-02,15,False
2013-06-09,19,False
2013-06-16,12,False
2013-06-23,18,False
2013-06-30,22,False
2013-07-07,27,False
2013-07-14,17,False
2013-07-21,15,False
2013-07-28,12,False
2013-08-04,14,False
2013-08-11,17,False
2013-08-18,7,False
2013-08-25,26,False
2013-09-01,18,False
2013-09-08,17,False
2013-09-15,11,False
2013-09-22,18,False
2013-09-29,11,False
2013-10-06,18,False
2013-10-13,16,False
2013-10-20,10,False
2013-10-27,12,False
2013-11-03,19,False
2013-11-10,17,False
2013-11-17,13,False
2013-11-24,14,False
2013-12-01,18,False
2013-12-08,9,False
2013-12-15,11,False
2013-12-22,8,False
2013-12-29,11,False
2014-01-05,16,False
2014-01-12,18,False
2014-01-19,30,False
2014-01-26,28,False
2014-02-02,15,False
2014-02-09,19,False
2014-02-16,18,False
2014-02-23,18,False
2014-03-02,11,False
2014-03-09,12,False
2014-03-16,27,False
2014-03-23,24,False
2014-03-30,29,False
2014-04-06,20,False
2014-04-13,15,False
2014-04-20,15,False
2014-04-27,20,False
2014-05-04,20,False
2014-05-11,9,False
2014-05-18,14,False
2014-05-25,20,False
2014-06-01,14,False
2014-06-08,15,False
2014-06-15,19,False
2014-06-22,18,False
2014-06-29,11,False
2014-07-06,13,False
2014-07-13,18,False
2014-07-20,13,False
2014-07-27,13,False
2014-08-03,11,False
2014-08-10,16,False
2014-08-17,18,False
2014-08-24,15,False
2014-08-31,10,False
2014-09-07,11,False
2014-09-14,11,False
2014-09-21,13,False
2014-09-28,17,False
2014-10-05,22,False
2014-10-12,26,False
2014-10-19,18,False
2014-10-26,21,False
2014-11-02,22,False
2014-11-09,22,False
2014-11-16,12,False
2014-11-23,20,False
2014-11-30,16,False
2014-12-07,29,False
2014-12-14,19,False
2014-12-21,21,False
2014-12-28,20,False
2015-01-04,25,False
2015-01-11,29,False
2015-01-18,49,False
2015-01-25,51,False
2015-02-01,41,False
2015-02-08,32,False
2015-02-15,22,False
2015-02-22,27,False
2015-03-01,38,False
2015-03-08,37,False
2015-03-15,46,False
2015-03-22,34,False
2015-03-29,31,False
2015-04-05,22,False
2015-04-12,32,False
2015-04-19,29,False
2015-04-26,42,False
2015-05-03,34,False
2015-05-10,29,False
