date,EURILS,isPartial
2013-01-06,43,False
2013-01-13,32,False
2013-01-20,36,False
2013-01-27,32,False
2013-02-03,32,False
2013-02-10,33,False
2013-02-17,32,False
2013-02-24,36,False
2013-03-03,32,False
2013-03-10,0,False
2013-03-17,47,False
2013-03-24,0,False
2013-03-31,0,False
2013-04-07,35,False
2013-04-14,0,False
2013-04-21,42,False
2013-04-28,32,False
2013-05-05,0,False
2013-05-12,41,False
2013-05-19,63,False
2013-05-26,0,False
2013-06-02,0,False
2013-06-09,31,False
2013-06-16,0,False
2013-06-23,54,False
2013-06-30,32,False
2013-07-07,42,False
2013-07-14,32,False
2013-07-21,32,False
2013-07-28,32,False
2013-08-04,0,False
2013-08-11,65,False
2013-08-18,62,False
2013-08-25,55,False
2013-09-01,35,False
2013-09-08,39,False
2013-09-15,0,False
2013-09-22,30,False
2013-09-29,43,False
2013-10-06,30,False
2013-10-13,39,False
2013-10-20,29,False
2013-10-27,29,False
2013-11-03,43,False
2013-11-10,0,False
2013-11-17,38,False
2013-11-24,29,False
2013-12-01,37,False
2013-12-08,0,False
2013-12-15,67,False
2013-12-22,43,False
2013-12-29,53,False
2014-01-05,40,False
2014-01-12,0,False
2014-01-19,27,False
2014-01-26,0,False
2014-02-02,0,False
2014-02-09,35,False
2014-02-16,36,False
2014-02-23,27,False
2014-03-02,30,False
2014-03-09,27,False
2014-03-16,36,False
2014-03-23,27,False
2014-03-30,0,False
2014-04-06,31,False
2014-04-13,31,False
2014-04-20,28,False
2014-04-27,0,False
2014-05-04,36,False
2014-05-11,0,False
2014-05-18,0,False
2014-05-25,60,False
2014-06-01,0,False
2014-06-08,41,False
2014-06-15,31,False
2014-06-22,31,False
2014-06-29,36,False
2014-07-06,0,False
2014-07-13,35,False
2014-07-20,62,False
2014-07-27,35,False
2014-08-03,0,False
2014-08-10,0,False
2014-08-17,31,False
2014-08-24,74,False
2014-08-31,42,False
2014-09-07,29,False
2014-09-14,49,False
2014-09-21,0,False
2014-09-28,29,False
2014-10-05,0,False
2014-10-12,29,False
2014-10-19,32,False
2014-10-26,42,False
2014-11-02,28,False
2014-11-09,0,False
2014-11-16,56,False
2014-11-23,28,False
2014-11-30,88,False
2014-12-07,78,False
2014-12-14,0,False
2014-12-21,35,False
2014-12-28,30,False
2015-01-04,27,False
2015-01-11,53,False
2015-01-18,44,False
2015-01-25,47,False
2015-02-01,26,False
2015-02-08,29,False
2015-02-15,0,False
2015-02-22,58,False
2015-03-01,69,False
2015-03-08,88,False
2015-03-15,56,False
2015-03-22,56,False
2015-03-29,76,False
2015-04-05,35,False
2015-04-12,44,False
2015-04-19,52,False
2015-04-26,66,False
2015-05-03,48,False
2015-05-10,26,False
2015-05-17,29,False
2015-05-24,51,False
2015-05-31,65,False
2015-06-07,30,False
2015-06-14,30,False
2015-06-21,78,False
2015-06-28,45,False
2015-07-05,57,False
2015-07-12,92,False
2015-07-19,93,False
2015-07-26,26,False
2015-08-02,78,False
2015-08-09,57,False
2015-08-16,47,False
2015-08-23,73,False
2015-08-30,37,False
2015-09-06,71,False
2015-09-13,55,False
2015-09-20,25,False
2015-09-27,0,False
2015-10-04,41,False
2015-10-11,32,False
2015-10-18,41,False
2015-10-25,96,False
2015-11-01,48,False
2015-11-08,48,False
2015-11-15,63,False
2015-11-22,60,False
2015-11-29,60,False
2015-12-06,41,False
2015-12-13,44,False
2015-12-20,62,False
2015-12-27,27,False
2016-01-03,34,False
2016-01-10,0,False
2016-01-17,25,False
2016-01-24,54,False
2016-01-31,33,False
2016-02-07,25,False
2016-02-14,65,False
2016-02-21,0,False
2016-02-28,42,False
2016-03-06,28,False
2016-03-13,65,False
2016-03-20,34,False
2016-03-27,25,False
2016-04-03,28,False
2016-04-10,56,False
2016-04-17,63,False
2016-04-24,37,False
2016-05-01,25,False
2016-05-08,25,False
2016-05-15,57,False
2016-05-22,28,False
2016-05-29,28,False
2016-06-05,25,False
2016-06-12,57,False
2016-06-19,46,False
2016-06-26,26,False
2016-07-03,62,False
2016-07-10,26,False
2016-07-17,0,False
2016-07-24,45,False
2016-07-31,54,False
2016-08-07,28,False
2016-08-14,28,False
2016-08-21,27,False
2016-08-28,30,False
2016-09-04,39,False
2016-09-11,75,False
2016-09-18,52,False
2016-09-25,34,False
2016-10-02,43,False
2016-10-09,28,False
2016-10-16,33,False
2016-10-23,25,False
2016-10-30,33,False
2016-11-06,56,False
2016-11-13,25,False
2016-11-20,42,False
2016-11-27,24,False
2016-12-04,43,False
2016-12-11,24,False
2016-12-18,91,False
2016-12-25,53,False
2017-01-01,42,False
2017-01-08,40,False
2017-01-15,62,False
2017-01-22,23,False
2017-01-29,23,False
2017-02-05,40,False
2017-02-12,23,False
2017-02-19,35,False
2017-02-26,34,False
2017-03-05,24,False
2017-03-12,45,False
2017-03-19,26,False
2017-03-26,33,False
2017-04-02,23,False
2017-04-09,27,False
2017-04-16,35,False
2017-04-23,58,False
2017-04-30,34,False
2017-05-07,39,False
2017-05-14,89,False
2017-05-21,72,False
2017-05-28,25,False
2017-06-04,62,False
2017-06-11,27,False
2017-06-18,41,False
2017-06-25,100,False
2017-07-02,51,False
2017-07-09,27,False
2017-07-16,25,False
2017-07-23,33,False
2017-07-30,28,False
2017-08-06,52,False
2017-08-13,61,False
2017-08-20,0,False
2017-08-27,48,False
2017-09-03,72,False
2017-09-10,93,False
2017-09-17,31,False
2017-09-24,25,False
2017-10-01,23,False
2017-10-08,0,False
2017-10-15,53,False
2017-10-22,69,False
2017-10-29,0,False
2017-11-05,23,False
2017-11-12,34,False
2017-11-19,23,False
2017-11-26,38,False
2017-12-03,57,False
2017-12-10,30,False
2017-12-17,43,False
2017-12-24,64,False
2017-12-31,59,True
