date,EURSGD,isPartial
2013-01-06,23,False
2013-01-13,29,False
2013-01-20,13,False
2013-01-27,45,False
2013-02-03,29,False
2013-02-10,43,False
2013-02-17,20,False
2013-02-24,42,False
2013-03-03,56,False
2013-03-10,32,False
2013-03-17,37,False
2013-03-24,43,False
2013-03-31,28,False
2013-04-07,36,False
2013-04-14,19,False
2013-04-21,14,False
2013-04-28,28,False
2013-05-05,15,False
2013-05-12,18,False
2013-05-19,26,False
2013-05-26,42,False
2013-06-02,22,False
2013-06-09,32,False
2013-06-16,19,False
2013-06-23,26,False
2013-06-30,43,False
2013-07-07,22,False
2013-07-14,29,False
2013-07-21,0,False
2013-07-28,66,False
2013-08-04,24,False
2013-08-11,38,False
2013-08-18,32,False
2013-08-25,36,False
2013-09-01,31,False
2013-09-08,42,False
2013-09-15,13,False
2013-09-22,42,False
2013-09-29,35,False
2013-10-06,22,False
2013-10-13,13,False
2013-10-20,24,False
2013-10-27,13,False
2013-11-03,81,False
2013-11-10,30,False
2013-11-17,20,False
2013-11-24,22,False
2013-12-01,26,False
2013-12-08,34,False
2013-12-15,34,False
2013-12-22,13,False
2013-12-29,28,False
2014-01-05,32,False
2014-01-12,26,False
2014-01-19,36,False
2014-01-26,16,False
2014-02-02,26,False
2014-02-09,12,False
2014-02-16,34,False
2014-02-23,20,False
2014-03-02,34,False
2014-03-09,19,False
2014-03-16,22,False
2014-03-23,20,False
2014-03-30,16,False
2014-04-06,22,False
2014-04-13,17,False
2014-04-20,52,False
2014-04-27,24,False
2014-05-04,20,False
2014-05-11,20,False
2014-05-18,26,False
2014-05-25,0,False
2014-06-01,27,False
2014-06-08,23,False
2014-06-15,36,False
2014-06-22,32,False
2014-06-29,15,False
2014-07-06,41,False
2014-07-13,22,False
2014-07-20,19,False
2014-07-27,32,False
2014-08-03,23,False
2014-08-10,27,False
2014-08-17,36,False
2014-08-24,26,False
2014-08-31,52,False
2014-09-07,34,False
2014-09-14,47,False
2014-09-21,12,False
2014-09-28,30,False
2014-10-05,47,False
2014-10-12,70,False
2014-10-19,42,False
2014-10-26,20,False
2014-11-02,12,False
2014-11-09,33,False
2014-11-16,29,False
2014-11-23,29,False
2014-11-30,12,False
2014-12-07,26,False
2014-12-14,35,False
2014-12-21,23,False
2014-12-28,27,False
2015-01-04,100,False
2015-01-11,75,False
2015-01-18,73,False
2015-01-25,69,False
2015-02-01,57,False
2015-02-08,54,False
2015-02-15,36,False
2015-02-22,19,False
2015-03-01,38,False
2015-03-08,61,False
2015-03-15,57,False
2015-03-22,29,False
2015-03-29,71,False
2015-04-05,47,False
2015-04-12,58,False
2015-04-19,23,False
2015-04-26,16,False
2015-05-03,35,False
2015-05-10,42,False
2015-05-17,50,False
2015-05-24,35,False
2015-05-31,43,False
2015-06-07,46,False
2015-06-14,50,False
