date,CHFGBP,isPartial
2013-01-06,38,False
2013-01-13,25,False
2013-01-20,25,False
2013-01-27,37,False
2013-02-03,28,False
2013-02-10,0,False
2013-02-17,25,False
2013-02-24,41,False
2013-03-03,28,False
2013-03-10,24,False
2013-03-17,37,False
2013-03-24,38,False
2013-03-31,49,False
2013-04-07,25,False
2013-04-14,50,False
2013-04-21,25,False
2013-04-28,51,False
2013-05-05,25,False
2013-05-12,65,False
2013-05-19,49,False
2013-05-26,49,False
2013-06-02,33,False
2013-06-09,28,False
2013-06-16,25,False
2013-06-23,38,False
2013-06-30,25,False
2013-07-07,25,False
2013-07-14,26,False
2013-07-21,25,False
2013-07-28,25,False
2013-08-04,25,False
2013-08-11,25,False
2013-08-18,37,False
2013-08-25,0,False
2013-09-01,24,False
2013-09-08,23,False
2013-09-15,51,False
2013-09-22,32,False
2013-09-29,23,False
2013-10-06,0,False
2013-10-13,27,False
2013-10-20,30,False
2013-10-27,46,False
2013-11-03,23,False
2013-11-10,23,False
2013-11-17,41,False
2013-11-24,0,False
2013-12-01,0,False
2013-12-08,23,False
2013-12-15,23,False
2013-12-22,35,False
2013-12-29,0,False
2014-01-05,60,False
2014-01-12,22,False
2014-01-19,39,False
2014-01-26,24,False
2014-02-02,26,False
2014-02-09,23,False
2014-02-16,22,False
2014-02-23,21,False
2014-03-02,0,False
2014-03-09,25,False
2014-03-16,21,False
2014-03-23,37,False
2014-03-30,43,False
2014-04-06,25,False
2014-04-13,22,False
2014-04-20,44,False
2014-04-27,40,False
2014-05-04,29,False
2014-05-11,21,False
2014-05-18,65,False
2014-05-25,24,False
2014-06-01,24,False
2014-06-08,48,False
2014-06-15,35,False
2014-06-22,0,False
2014-06-29,24,False
2014-07-06,24,False
2014-07-13,33,False
2014-07-20,24,False
2014-07-27,25,False
2014-08-03,25,False
2014-08-10,28,False
2014-08-17,24,False
2014-08-24,25,False
2014-08-31,31,False
2014-09-07,23,False
2014-09-14,26,False
2014-09-21,23,False
2014-09-28,0,False
2014-10-05,30,False
2014-10-12,44,False
2014-10-19,44,False
2014-10-26,0,False
2014-11-02,32,False
2014-11-09,25,False
2014-11-16,25,False
2014-11-23,22,False
2014-11-30,21,False
2014-12-07,25,False
2014-12-14,22,False
2014-12-21,24,False
2014-12-28,23,False
2015-01-04,31,False
2015-01-11,100,False
2015-01-18,60,False
2015-01-25,41,False
2015-02-01,59,False
2015-02-08,41,False
2015-02-15,38,False
2015-02-22,27,False
2015-03-01,67,False
2015-03-08,27,False
2015-03-15,35,False
2015-03-22,23,False
2015-03-29,28,False
2015-04-05,33,False
2015-04-12,41,False
2015-04-19,35,False
2015-04-26,31,False
2015-05-03,21,False
2015-05-10,0,False
2015-05-17,23,False
2015-05-24,20,False
2015-05-31,21,False
2015-06-07,41,False
2015-06-14,27,False
2015-06-21,30,False
2015-06-28,21,False
2015-07-05,41,False
2015-07-12,60,False
2015-07-19,21,False
2015-07-26,21,False
2015-08-02,0,False
2015-08-09,22,False
2015-08-16,23,False
2015-08-23,27,False
2015-08-30,20,False
2015-09-06,23,False
2015-09-13,35,False
2015-09-20,39,False
2015-09-27,21,False
2015-10-04,42,False
2015-10-11,33,False
