date,GBPPLN,isPartial
2013-01-06,26,False
2013-01-13,26,False
2013-01-20,29,False
2013-01-27,13,False
2013-02-03,10,False
2013-02-10,0,False
2013-02-17,19,False
2013-02-24,13,False
2013-03-03,17,False
2013-03-10,25,False
2013-03-17,28,False
2013-03-24,32,False
2013-03-31,13,False
2013-04-07,17,False
2013-04-14,12,False
2013-04-21,13,False
2013-04-28,13,False
2013-05-05,9,False
2013-05-12,10,False
2013-05-19,15,False
2013-05-26,23,False
2013-06-02,19,False
2013-06-09,8,False
2013-06-16,26,False
2013-06-23,12,False
2013-06-30,15,False
2013-07-07,13,False
2013-07-14,15,False
2013-07-21,13,False
2013-07-28,9,False
2013-08-04,10,False
2013-08-11,10,False
2013-08-18,9,False
2013-08-25,17,False
2013-09-01,9,False
2013-09-08,8,False
2013-09-15,14,False
2013-09-22,9,False
2013-09-29,15,False
2013-10-06,11,False
2013-10-13,18,False
2013-10-20,14,False
2013-10-27,8,False
2013-11-03,8,False
2013-11-10,15,False
2013-11-17,21,False
2013-11-24,18,False
2013-12-01,9,False
2013-12-08,9,False
2013-12-15,8,False
2013-12-22,12,False
2013-12-29,0,False
2014-01-05,9,False
2014-01-12,15,False
2014-01-19,11,False
2014-01-26,10,False
2014-02-02,8,False
2014-02-09,8,False
2014-02-16,13,False
2014-02-23,0,False
2014-03-02,17,False
2014-03-09,14,False
2014-03-16,15,False
2014-03-23,8,False
2014-03-30,11,False
2014-04-06,8,False
2014-04-13,27,False
2014-04-20,9,False
2014-04-27,15,False
2014-05-04,8,False
2014-05-11,13,False
2014-05-18,8,False
2014-05-25,17,False
2014-06-01,8,False
2014-06-08,0,False
2014-06-15,17,False
2014-06-22,9,False
2014-06-29,25,False
2014-07-06,14,False
2014-07-13,10,False
2014-07-20,9,False
2014-07-27,0,False
2014-08-03,20,False
2014-08-10,17,False
2014-08-17,10,False
2014-08-24,9,False
2014-08-31,16,False
2014-09-07,8,False
2014-09-14,14,False
2014-09-21,12,False
2014-09-28,9,False
2014-10-05,9,False
2014-10-12,13,False
2014-10-19,25,False
2014-10-26,9,False
2014-11-02,25,False
2014-11-09,8,False
2014-11-16,14,False
2014-11-23,11,False
2014-11-30,15,False
2014-12-07,23,False
2014-12-14,20,False
2014-12-21,12,False
2014-12-28,12,False
2015-01-04,21,False
2015-01-11,14,False
2015-01-18,21,False
2015-01-25,25,False
2015-02-01,13,False
2015-02-08,7,False
2015-02-15,16,False
2015-02-22,16,False
2015-03-01,31,False
2015-03-08,23,False
2015-03-15,11,False
2015-03-22,17,False
2015-03-29,11,False
2015-04-05,7,False
2015-04-12,21,False
2015-04-19,21,False
2015-04-26,12,False
2015-05-03,19,False
2015-05-10,13,False
2015-05-17,15,False
2015-05-24,10,False
2015-05-31,20,False
2015-06-07,29,False
2015-06-14,26,False
2015-06-21,18,False
2015-06-28,40,False
2015-07-05,29,False
2015-07-12,32,False
2015-07-19,19,False
2015-07-26,12,False
2015-08-02,21,False
2015-08-09,18,False
2015-08-16,12,False
2015-08-23,12,False
2015-08-30,28,False
2015-09-06,27,False
2015-09-13,17,False
2015-09-20,17,False
2015-09-27,27,False
2015-10-04,10,False
2015-10-11,12,False
2015-10-18,19,False
2015-10-25,26,False
2015-11-01,22,False
2015-11-08,13,False
2015-11-15,17,False
2015-11-22,11,False
2015-11-29,19,False
2015-12-06,29,False
2015-12-13,29,False
2015-12-20,37,False
2015-12-27,16,False
2016-01-03,20,False
2016-01-10,24,False
2016-01-17,15,False
2016-01-24,15,False
2016-01-31,22,False
2016-02-07,38,False
2016-02-14,7,False
2016-02-21,25,False
2016-02-28,33,False
2016-03-06,15,False
2016-03-13,20,False
2016-03-20,15,False
2016-03-27,13,False
2016-04-03,16,False
2016-04-10,14,False
2016-04-17,20,False
2016-04-24,10,False
2016-05-01,18,False
2016-05-08,12,False
2016-05-15,25,False
2016-05-22,20,False
2016-05-29,23,False
2016-06-05,13,False
2016-06-12,13,False
2016-06-19,100,False
2016-06-26,65,False
2016-07-03,25,False
2016-07-10,26,False
2016-07-17,18,False
2016-07-24,37,False
2016-07-31,17,False
2016-08-07,25,False
2016-08-14,51,False
2016-08-21,33,False
2016-08-28,39,False
2016-09-04,21,False
2016-09-11,29,False
2016-09-18,23,False
2016-09-25,35,False
2016-10-02,48,False
2016-10-09,31,False
2016-10-16,40,False
2016-10-23,21,False
2016-10-30,36,False
2016-11-06,30,False
2016-11-13,40,False
2016-11-20,27,False
2016-11-27,29,False
2016-12-04,43,False
2016-12-11,22,False
2016-12-18,28,False
2016-12-25,25,False
2017-01-01,22,False
2017-01-08,38,False
2017-01-15,28,False
2017-01-22,47,False
2017-01-29,16,False
2017-02-05,26,False
2017-02-12,27,False
2017-02-19,13,False
2017-02-26,20,False
2017-03-05,22,False
2017-03-12,23,False
2017-03-19,21,False
2017-03-26,39,False
2017-04-02,23,False
2017-04-09,17,False
2017-04-16,30,False
2017-04-23,48,False
2017-04-30,26,False
2017-05-07,26,False
2017-05-14,35,False
2017-05-21,30,False
2017-05-28,27,False
2017-06-04,49,False
2017-06-11,34,False
2017-06-18,24,False
2017-06-25,35,False
2017-07-02,11,False
2017-07-09,25,False
2017-07-16,17,False
2017-07-23,22,False
2017-07-30,15,False
2017-08-06,36,False
2017-08-13,32,False
2017-08-20,34,False
2017-08-27,29,False
2017-09-03,17,False
2017-09-10,26,False
2017-09-17,12,False
2017-09-24,42,False
2017-10-01,16,False
2017-10-08,14,False
2017-10-15,14,False
2017-10-22,21,False
2017-10-29,23,False
2017-11-05,20,False
2017-11-12,20,False
2017-11-19,11,False
2017-11-26,18,False
2017-12-03,36,False
2017-12-10,23,False
2017-12-17,31,False
2017-12-24,25,False
2017-12-31,33,True
