date,EURZAR,isPartial
2013-01-06,24,False
2013-01-13,33,False
2013-01-20,13,False
2013-01-27,22,False
2013-02-03,22,False
2013-02-10,13,False
2013-02-17,15,False
2013-02-24,13,False
2013-03-03,32,False
2013-03-10,38,False
2013-03-17,27,False
2013-03-24,39,False
2013-03-31,19,False
2013-04-07,0,False
2013-04-14,25,False
2013-04-21,0,False
2013-04-28,13,False
2013-05-05,13,False
2013-05-12,18,False
2013-05-19,13,False
2013-05-26,23,False
2013-06-02,22,False
2013-06-09,40,False
2013-06-16,18,False
2013-06-23,32,False
2013-06-30,17,False
2013-07-07,26,False
2013-07-14,14,False
2013-07-21,26,False
2013-07-28,28,False
2013-08-04,26,False
2013-08-11,13,False
2013-08-18,0,False
2013-08-25,12,False
2013-09-01,25,False
2013-09-08,24,False
2013-09-15,26,False
2013-09-22,21,False
2013-09-29,20,False
2013-10-06,16,False
2013-10-13,12,False
2013-10-20,18,False
2013-10-27,13,False
2013-11-03,35,False
2013-11-10,34,False
2013-11-17,30,False
2013-11-24,30,False
2013-12-01,33,False
2013-12-08,29,False
2013-12-15,35,False
2013-12-22,14,False
2013-12-29,14,False
2014-01-05,13,False
2014-01-12,32,False
2014-01-19,32,False
2014-01-26,44,False
2014-02-02,33,False
2014-02-09,28,False
2014-02-16,44,False
2014-02-23,36,False
2014-03-02,36,False
2014-03-09,11,False
2014-03-16,20,False
2014-03-23,31,False
2014-03-30,19,False
2014-04-06,31,False
2014-04-13,29,False
2014-04-20,15,False
2014-04-27,0,False
2014-05-04,25,False
2014-05-11,20,False
2014-05-18,21,False
2014-05-25,22,False
2014-06-01,37,False
2014-06-08,12,False
2014-06-15,27,False
2014-06-22,14,False
2014-06-29,13,False
2014-07-06,21,False
2014-07-13,13,False
2014-07-20,21,False
2014-07-27,25,False
2014-08-03,19,False
2014-08-10,12,False
2014-08-17,0,False
2014-08-24,12,False
2014-08-31,26,False
2014-09-07,24,False
2014-09-14,13,False
2014-09-21,17,False
2014-09-28,20,False
2014-10-05,29,False
2014-10-12,15,False
2014-10-19,17,False
2014-10-26,26,False
2014-11-02,19,False
2014-11-09,11,False
2014-11-16,23,False
2014-11-23,16,False
2014-11-30,19,False
2014-12-07,19,False
2014-12-14,12,False
2014-12-21,25,False
2014-12-28,12,False
2015-01-04,27,False
2015-01-11,35,False
2015-01-18,31,False
2015-01-25,34,False
2015-02-01,19,False
2015-02-08,11,False
2015-02-15,16,False
2015-02-22,16,False
2015-03-01,36,False
2015-03-08,41,False
2015-03-15,26,False
2015-03-22,29,False
2015-03-29,32,False
2015-04-05,18,False
2015-04-12,21,False
2015-04-19,34,False
2015-04-26,11,False
2015-05-03,19,False
2015-05-10,19,False
2015-05-17,19,False
2015-05-24,32,False
2015-05-31,26,False
2015-06-07,18,False
2015-06-14,27,False
2015-06-21,16,False
2015-06-28,30,False
2015-07-05,23,False
2015-07-12,27,False
2015-07-19,19,False
2015-07-26,27,False
2015-08-02,24,False
2015-08-09,36,False
2015-08-16,26,False
2015-08-23,56,False
2015-08-30,23,False
2015-09-06,44,False
2015-09-13,25,False
2015-09-20,29,False
2015-09-27,17,False
2015-10-04,21,False
2015-10-11,25,False
2015-10-18,32,False
2015-10-25,28,False
2015-11-01,19,False
2015-11-08,39,False
2015-11-15,39,False
2015-11-22,15,False
2015-11-29,19,False
2015-12-06,28,False
2015-12-13,57,False
2015-12-20,20,False
2015-12-27,16,False
2016-01-03,30,False
2016-01-10,55,False
2016-01-17,44,False
2016-01-24,29,False
2016-01-31,33,False
2016-02-07,41,False
2016-02-14,29,False
2016-02-21,39,False
2016-02-28,39,False
2016-03-06,45,False
2016-03-13,40,False
2016-03-20,45,False
2016-03-27,26,False
2016-04-03,33,False
2016-04-10,29,False
2016-04-17,25,False
2016-04-24,47,False
2016-05-01,37,False
2016-05-08,55,False
2016-05-15,55,False
2016-05-22,26,False
2016-05-29,53,False
2016-06-05,37,False
2016-06-12,37,False
2016-06-19,56,False
2016-06-26,60,False
2016-07-03,56,False
2016-07-10,35,False
2016-07-17,31,False
2016-07-24,39,False
2016-07-31,40,False
2016-08-07,41,False
2016-08-14,67,False
2016-08-21,100,False
2016-08-28,49,False
2016-09-04,50,False
2016-09-11,30,False
2016-09-18,45,False
2016-09-25,45,False
2016-10-02,26,False
2016-10-09,64,False
2016-10-16,33,False
2016-10-23,17,False
2016-10-30,30,False
2016-11-06,51,False
2016-11-13,37,False
2016-11-20,33,False
2016-11-27,43,False
2016-12-04,38,False
2016-12-11,39,False
