date,EURZAR,isPartial
2016-12-18,23,False
2016-12-25,19,False
2017-01-01,37,False
2017-01-08,31,False
2017-01-15,21,False
2017-01-22,21,False
2017-01-29,37,False
2017-02-05,24,False
2017-02-12,53,False
2017-02-19,20,False
2017-02-26,53,False
2017-03-05,52,False
2017-03-12,40,False
2017-03-19,44,False
2017-03-26,64,False
2017-04-02,75,False
2017-04-09,33,False
2017-04-16,20,False
2017-04-23,37,False
2017-04-30,9,False
2017-05-07,34,False
2017-05-14,18,False
2017-05-21,18,False
2017-05-28,51,False
2017-06-04,25,False
2017-06-11,32,False
2017-06-18,68,False
2017-06-25,40,False
2017-07-02,41,False
2017-07-09,66,False
2017-07-16,22,False
2017-07-23,29,False
2017-07-30,35,False
2017-08-06,19,False
2017-08-13,25,False
2017-08-20,34,False
2017-08-27,39,False
2017-09-03,21,False
2017-09-10,34,False
2017-09-17,48,False
2017-09-24,48,False
2017-10-01,43,False
2017-10-08,45,False
2017-10-15,48,False
2017-10-22,42,False
2017-10-29,57,False
2017-11-05,30,False
2017-11-12,59,False
2017-11-19,53,False
2017-11-26,56,False
2017-12-03,30,False
2017-12-10,40,False
2017-12-17,69,False
2017-12-24,52,False
2017-12-31,24,True
