date,GBPBRL,isPartial
2013-01-06,85,False
2013-01-13,36,False
2013-01-20,0,False
2013-01-27,0,False
2013-02-03,31,False
2013-02-10,54,False
2013-02-17,31,False
2013-02-24,62,False
2013-03-03,0,False
2013-03-10,60,False
2013-03-17,35,False
2013-03-24,0,False
2013-03-31,35,False
2013-04-07,0,False
2013-04-14,35,False
2013-04-21,52,False
2013-04-28,31,False
2013-05-05,30,False
2013-05-12,0,False
2013-05-19,0,False
2013-05-26,40,False
2013-06-02,30,False
2013-06-09,34,False
2013-06-16,55,False
2013-06-23,31,False
2013-06-30,32,False
2013-07-07,0,False
2013-07-14,32,False
2013-07-21,31,False
2013-07-28,62,False
2013-08-04,54,False
2013-08-11,63,False
2013-08-18,31,False
2013-08-25,32,False
2013-09-01,51,False
2013-09-08,0,False
2013-09-15,29,False
2013-09-22,32,False
2013-09-29,33,False
2013-10-06,43,False
2013-10-13,29,False
2013-10-20,28,False
2013-10-27,29,False
2013-11-03,0,False
2013-11-10,32,False
2013-11-17,32,False
2013-11-24,28,False
2013-12-01,27,False
2013-12-08,42,False
2013-12-15,29,False
2013-12-22,32,False
2013-12-29,44,False
2014-01-05,27,False
2014-01-12,0,False
2014-01-19,46,False
2014-01-26,80,False
2014-02-02,47,False
2014-02-09,45,False
2014-02-16,26,False
2014-02-23,26,False
2014-03-02,27,False
2014-03-09,27,False
2014-03-16,35,False
2014-03-23,35,False
2014-03-30,27,False
2014-04-06,40,False
2014-04-13,28,False
2014-04-20,0,False
2014-04-27,45,False
2014-05-04,27,False
2014-05-11,26,False
2014-05-18,57,False
2014-05-25,30,False
2014-06-01,40,False
2014-06-08,60,False
2014-06-15,51,False
2014-06-22,60,False
2014-06-29,41,False
2014-07-06,30,False
2014-07-13,30,False
2014-07-20,0,False
2014-07-27,46,False
2014-08-03,34,False
2014-08-10,30,False
2014-08-17,0,False
2014-08-24,33,False
2014-08-31,38,False
2014-09-07,0,False
2014-09-14,32,False
2014-09-21,50,False
2014-09-28,28,False
2014-10-05,28,False
2014-10-12,31,False
2014-10-19,37,False
2014-10-26,27,False
2014-11-02,27,False
2014-11-09,43,False
2014-11-16,36,False
2014-11-23,35,False
2014-11-30,26,False
2014-12-07,36,False
2014-12-14,55,False
2014-12-21,0,False
2014-12-28,43,False
2015-01-04,30,False
2015-01-11,26,False
2015-01-18,25,False
2015-01-25,36,False
2015-02-01,27,False
2015-02-08,34,False
2015-02-15,57,False
2015-02-22,38,False
2015-03-01,64,False
2015-03-08,53,False
2015-03-15,50,False
2015-03-22,49,False
2015-03-29,30,False
2015-04-05,26,False
2015-04-12,76,False
2015-04-19,25,False
2015-04-26,47,False
2015-05-03,34,False
2015-05-10,25,False
2015-05-17,46,False
2015-05-24,25,False
2015-05-31,77,False
2015-06-07,0,False
2015-06-14,25,False
2015-06-21,72,False
2015-06-28,37,False
2015-07-05,44,False
2015-07-12,52,False
2015-07-19,66,False
2015-07-26,64,False
2015-08-02,34,False
2015-08-09,41,False
2015-08-16,43,False
2015-08-23,72,False
2015-08-30,62,False
2015-09-06,80,False
2015-09-13,72,False
2015-09-20,58,False
2015-09-27,63,False
2015-10-04,31,False
2015-10-11,39,False
2015-10-18,59,False
2015-10-25,31,False
2015-11-01,34,False
2015-11-08,44,False
2015-11-15,42,False
2015-11-22,43,False
2015-11-29,56,False
2015-12-06,58,False
2015-12-13,51,False
2015-12-20,42,False
2015-12-27,53,False
2016-01-03,62,False
2016-01-10,26,False
2016-01-17,42,False
2016-01-24,61,False
2016-01-31,24,False
2016-02-07,25,False
2016-02-14,24,False
2016-02-21,32,False
2016-02-28,32,False
2016-03-06,27,False
2016-03-13,49,False
2016-03-20,37,False
2016-03-27,37,False
2016-04-03,35,False
2016-04-10,45,False
2016-04-17,37,False
2016-04-24,24,False
2016-05-01,25,False
2016-05-08,39,False
2016-05-15,24,False
2016-05-22,25,False
2016-05-29,100,False
2016-06-05,50,False
2016-06-12,74,False
2016-06-19,47,False
2016-06-26,54,False
2016-07-03,42,False
2016-07-10,39,False
2016-07-17,42,False
2016-07-24,26,False
2016-07-31,29,False
2016-08-07,0,False
2016-08-14,0,False
2016-08-21,42,False
2016-08-28,37,False
2016-09-04,51,False
2016-09-11,25,False
2016-09-18,27,False
2016-09-25,28,False
2016-10-02,28,False
2016-10-09,47,False
2016-10-16,37,False
2016-10-23,62,False
2016-10-30,33,False
2016-11-06,51,False
2016-11-13,42,False
2016-11-20,49,False
2016-11-27,35,False
2016-12-04,46,False
2016-12-11,24,False
2016-12-18,27,False
2016-12-25,34,False
2017-01-01,28,False
2017-01-08,69,False
2017-01-15,25,False
2017-01-22,33,False
2017-01-29,34,False
2017-02-05,22,False
2017-02-12,22,False
2017-02-19,23,False
2017-02-26,33,False
2017-03-05,22,False
2017-03-12,33,False
2017-03-19,67,False
2017-03-26,34,False
2017-04-02,46,False
2017-04-09,23,False
2017-04-16,23,False
2017-04-23,22,False
2017-04-30,33,False
2017-05-07,37,False
2017-05-14,32,False
2017-05-21,44,False
2017-05-28,24,False
2017-06-04,51,False
2017-06-11,26,False
2017-06-18,23,False
2017-06-25,33,False
2017-07-02,25,False
2017-07-09,24,False
2017-07-16,37,False
2017-07-23,32,False
2017-07-30,24,False
2017-08-06,31,False
2017-08-13,43,False
2017-08-20,40,False
2017-08-27,24,False
2017-09-03,35,False
2017-09-10,23,False
2017-09-17,31,False
2017-09-24,0,False
2017-10-01,46,False
2017-10-08,26,False
2017-10-15,23,False
2017-10-22,38,False
2017-10-29,64,False
2017-11-05,29,False
2017-11-12,24,False
2017-11-19,33,False
2017-11-26,50,False
2017-12-03,33,False
2017-12-10,44,False
2017-12-17,42,False
2017-12-24,42,False
2017-12-31,57,True
