date,USDHKD,isPartial
2013-01-06,28,False
2013-01-13,14,False
2013-01-20,7,False
2013-01-27,20,False
2013-02-03,25,False
2013-02-10,16,False
2013-02-17,21,False
2013-02-24,11,False
2013-03-03,12,False
2013-03-10,17,False
2013-03-17,26,False
2013-03-24,18,False
2013-03-31,12,False
2013-04-07,26,False
2013-04-14,20,False
2013-04-21,15,False
2013-04-28,13,False
2013-05-05,22,False
2013-05-12,15,False
2013-05-19,15,False
2013-05-26,18,False
2013-06-02,24,False
2013-06-09,15,False
2013-06-16,24,False
2013-06-23,12,False
2013-06-30,29,False
2013-07-07,12,False
2013-07-14,14,False
2013-07-21,6,False
2013-07-28,9,False
2013-08-04,16,False
2013-08-11,11,False
2013-08-18,21,False
2013-08-25,12,False
2013-09-01,8,False
2013-09-08,13,False
2013-09-15,14,False
2013-09-22,7,False
2013-09-29,13,False
2013-10-06,11,False
2013-10-13,10,False
2013-10-20,17,False
2013-10-27,8,False
2013-11-03,28,False
2013-11-10,10,False
2013-11-17,10,False
2013-11-24,14,False
2013-12-01,11,False
2013-12-08,6,False
2013-12-15,6,False
2013-12-22,7,False
2013-12-29,12,False
2014-01-05,12,False
2014-01-12,13,False
2014-01-19,11,False
2014-01-26,18,False
2014-02-02,18,False
2014-02-09,11,False
2014-02-16,25,False
2014-02-23,15,False
2014-03-02,0,False
2014-03-09,10,False
2014-03-16,27,False
2014-03-23,19,False
2014-03-30,17,False
2014-04-06,21,False
2014-04-13,14,False
2014-04-20,16,False
2014-04-27,17,False
2014-05-04,9,False
2014-05-11,19,False
2014-05-18,20,False
2014-05-25,8,False
2014-06-01,15,False
2014-06-08,13,False
2014-06-15,18,False
2014-06-22,9,False
2014-06-29,26,False
2014-07-06,19,False
2014-07-13,14,False
2014-07-20,14,False
2014-07-27,15,False
2014-08-03,18,False
2014-08-10,11,False
2014-08-17,11,False
2014-08-24,17,False
2014-08-31,12,False
2014-09-07,18,False
2014-09-14,14,False
2014-09-21,14,False
2014-09-28,39,False
2014-10-05,22,False
2014-10-12,24,False
2014-10-19,9,False
2014-10-26,12,False
2014-11-02,14,False
2014-11-09,15,False
2014-11-16,14,False
2014-11-23,13,False
2014-11-30,27,False
2014-12-07,15,False
2014-12-14,12,False
2014-12-21,11,False
2014-12-28,9,False
2015-01-04,10,False
2015-01-11,20,False
2015-01-18,25,False
2015-01-25,27,False
2015-02-01,13,False
2015-02-08,11,False
2015-02-15,11,False
2015-02-22,13,False
2015-03-01,13,False
2015-03-08,25,False
2015-03-15,25,False
2015-03-22,12,False
2015-03-29,12,False
2015-04-05,24,False
2015-04-12,31,False
2015-04-19,20,False
2015-04-26,17,False
2015-05-03,31,False
2015-05-10,20,False
2015-05-17,14,False
2015-05-24,13,False
2015-05-31,26,False
2015-06-07,11,False
2015-06-14,16,False
2015-06-21,15,False
2015-06-28,15,False
2015-07-05,13,False
2015-07-12,15,False
2015-07-19,17,False
2015-07-26,13,False
2015-08-02,10,False
2015-08-09,33,False
2015-08-16,16,False
2015-08-23,14,False
2015-08-30,23,False
2015-09-06,17,False
2015-09-13,11,False
2015-09-20,19,False
2015-09-27,11,False
2015-10-04,17,False
2015-10-11,12,False
2015-10-18,8,False
2015-10-25,17,False
2015-11-01,15,False
2015-11-08,8,False
2015-11-15,18,False
2015-11-22,12,False
2015-11-29,15,False
2015-12-06,12,False
2015-12-13,14,False
2015-12-20,13,False
2015-12-27,9,False
2016-01-03,11,False
2016-01-10,33,False
2016-01-17,100,False
2016-01-24,42,False
2016-01-31,49,False
2016-02-07,28,False
2016-02-14,22,False
2016-02-21,14,False
2016-02-28,10,False
2016-03-06,26,False
2016-03-13,14,False
2016-03-20,14,False
2016-03-27,16,False
2016-04-03,12,False
2016-04-10,26,False
2016-04-17,19,False
2016-04-24,5,False
2016-05-01,14,False
2016-05-08,12,False
2016-05-15,24,False
2016-05-22,9,False
2016-05-29,14,False
2016-06-05,17,False
2016-06-12,9,False
2016-06-19,10,False
2016-06-26,25,False
2016-07-03,25,False
2016-07-10,20,False
2016-07-17,23,False
2016-07-24,23,False
2016-07-31,17,False
2016-08-07,12,False
2016-08-14,16,False
2016-08-21,11,False
2016-08-28,15,False
2016-09-04,13,False
2016-09-11,11,False
2016-09-18,16,False
2016-09-25,14,False
2016-10-02,23,False
2016-10-09,17,False
2016-10-16,16,False
2016-10-23,16,False
2016-10-30,5,False
2016-11-06,15,False
2016-11-13,16,False
2016-11-20,24,False
2016-11-27,17,False
2016-12-04,9,False
2016-12-11,29,False
2016-12-18,30,False
2016-12-25,20,False
2017-01-01,16,False
2017-01-08,5,False
2017-01-15,16,False
2017-01-22,11,False
2017-01-29,14,False
2017-02-05,23,False
2017-02-12,33,False
2017-02-19,24,False
2017-02-26,21,False
2017-03-05,8,False
2017-03-12,17,False
2017-03-19,13,False
2017-03-26,18,False
2017-04-02,15,False
2017-04-09,12,False
2017-04-16,18,False
2017-04-23,24,False
2017-04-30,23,False
2017-05-07,37,False
2017-05-14,17,False
2017-05-21,26,False
2017-05-28,21,False
2017-06-04,25,False
2017-06-11,33,False
2017-06-18,27,False
2017-06-25,26,False
2017-07-02,16,False
2017-07-09,28,False
2017-07-16,23,False
2017-07-23,26,False
2017-07-30,27,False
2017-08-06,35,False
2017-08-13,26,False
2017-08-20,13,False
2017-08-27,29,False
2017-09-03,27,False
2017-09-10,18,False
2017-09-17,25,False
2017-09-24,23,False
2017-10-01,21,False
2017-10-08,31,False
2017-10-15,24,False
2017-10-22,18,False
2017-10-29,9,False
2017-11-05,19,False
2017-11-12,13,False
2017-11-19,22,False
2017-11-26,30,False
2017-12-03,27,False
2017-12-10,21,False
2017-12-17,18,False
2017-12-24,26,False
2017-12-31,54,True
