date	open	high	low	close	volume	oi
"Apr 20, 2018"	"5,881.00"	"5,887.00"	"5,862.70"	"5,881.80"	195.12M	0.01%
"Apr 19, 2018"	"5,861.40"	"5,902.90"	"5,861.40"	"5,881.00"	653.82M	0.33%
"Apr 18, 2018"	"5,841.50"	"5,864.80"	"5,841.50"	"5,861.40"	479.65M	0.34%
"Apr 17, 2018"	"5,841.30"	"5,871.10"	"5,841.30"	"5,841.50"	460.71M	0.00%
"Apr 16, 2018"	"5,829.10"	"5,867.60"	"5,829.10"	"5,841.30"	393.70M	0.21%
"Apr 13, 2018"	"5,815.50"	"5,844.70"	"5,815.50"	"5,829.10"	409.77M	0.23%
"Apr 12, 2018"	"5,828.70"	"5,837.90"	"5,801.50"	"5,815.50"	588.30M	-0.23%
"Apr 11, 2018"	"5,857.00"	"5,864.00"	"5,825.30"	"5,828.70"	495.89M	-0.48%
"Apr 10, 2018"	"5,808.70"	"5,857.80"	"5,785.70"	"5,857.00"	438.80M	0.83%
"Apr 09, 2018"	"5,788.70"	"5,816.60"	"5,771.10"	"5,808.70"	433.46M	0.35%
"Apr 06, 2018"	"5,788.80"	"5,799.20"	"5,761.90"	"5,788.70"	405.11M	0.00%
"Apr 05, 2018"	"5,761.40"	"5,806.00"	"5,761.40"	"5,788.80"	480.80M	0.48%
"Apr 04, 2018"	"5,751.90"	"5,764.30"	"5,728.80"	"5,761.40"	604.25M	0.17%
"Apr 03, 2018"	"5,759.40"	"5,766.00"	"5,724.80"	"5,751.90"	516.20M	-0.13%
"Mar 29, 2018"	"5,789.50"	"5,804.30"	"5,752.70"	"5,759.40"	702.06M	-0.52%
"Mar 28, 2018"	"5,832.30"	"5,832.30"	"5,781.60"	"5,789.50"	516.08M	-0.73%
"Mar 27, 2018"	"5,790.50"	"5,837.50"	"5,790.50"	"5,832.30"	583.70M	0.72%
"Mar 26, 2018"	"5,820.70"	"5,820.70"	"5,773.30"	"5,790.50"	534.66M	-0.52%
"Mar 23, 2018"	"5,937.20"	"5,937.20"	"5,808.10"	"5,820.70"	608.96M	-1.96%
"Mar 22, 2018"	"5,950.30"	"5,958.30"	"5,909.10"	"5,937.20"	607.14M	-0.22%
"Mar 21, 2018"	"5,936.40"	"5,963.00"	"5,934.70"	"5,950.30"	557.82M	0.23%
"Mar 20, 2018"	"5,959.40"	"5,959.40"	"5,915.60"	"5,936.40"	522.63M	-0.39%
"Mar 19, 2018"	"5,949.40"	"5,982.50"	"5,933.50"	"5,959.40"	445.67M	0.17%
"Mar 16, 2018"	"5,920.90"	"5,952.70"	"5,920.90"	"5,949.40"	1.04B	0.48%
"Mar 15, 2018"	"5,935.30"	"5,935.30"	"5,906.10"	"5,920.90"	723.97M	-0.24%
"Mar 14, 2018"	"5,974.70"	"5,974.70"	"5,922.80"	"5,935.30"	548.16M	-0.66%
"Mar 13, 2018"	"5,996.10"	"5,996.10"	"5,949.60"	"5,974.70"	524.64M	-0.36%
"Mar 12, 2018"	"5,971.30"	"6,026.10"	"5,971.30"	"5,996.10"	488.25M	0.55%
"Mar 09, 2018"	"5,942.90"	"5,978.40"	"5,942.10"	"5,963.20"	528.10M	0.34%
"Mar 08, 2018"	"5,902.00"	"5,942.90"	"5,895.60"	"5,942.90"	569.59M	0.69%
"Mar 07, 2018"	"5,962.40"	"5,962.40"	"5,895.30"	"5,902.00"	559.20M	-1.01%
"Mar 06, 2018"	"5,895.00"	"5,979.50"	"5,895.00"	"5,962.40"	622.33M	1.14%
