date,CHFEUR,CHFJPY,CHFSEK,CHFAUD,USDCHF,USDGBP,USDCAD,USDEUR,USDJPY,USDSEK,USDAUD,GBPCHF,GBPUSD,GBPCAD
2012-12-30,0,43,57,0,4,3,19,7,38,15,46,11,6,40
2013-01-06,0,19,0,0,11,0,12,27,43,0,21,10,6,37
2013-01-13,6,38,0,59,12,3,17,26,39,0,0,38,5,0
2013-01-20,0,19,0,0,8,3,14,7,45,0,21,0,8,36
2013-01-27,6,0,50,0,8,3,25,26,42,14,60,9,7,12
2013-02-03,6,19,0,0,14,8,14,19,55,14,20,0,5,23
2013-02-10,7,19,0,0,9,9,12,13,56,28,0,0,5,12
2013-02-17,0,0,100,0,12,6,25,19,39,14,20,9,8,29
2013-02-24,13,18,50,0,9,11,20,13,44,0,30,28,10,17
2013-03-03,6,19,50,0,9,6,20,13,42,27,60,0,8,23
2013-03-10,0,18,0,0,13,8,28,25,45,13,0,18,9,11
2013-03-17,12,18,0,0,4,8,17,25,47,13,29,36,9,11
2013-03-24,0,0,0,0,7,3,3,27,23,14,20,0,5,12
2013-03-31,0,0,0,0,9,6,17,13,63,27,20,0,8,12
2013-04-07,0,27,0,0,6,5,28,38,97,0,39,0,6,11
2013-04-14,0,0,50,0,9,3,14,32,63,13,50,28,6,23
2013-04-21,19,19,0,0,4,11,8,13,52,14,20,19,5,12
2013-04-28,6,0,0,0,14,3,17,26,49,27,0,9,8,12
2013-05-05,0,0,0,0,6,0,17,39,73,14,0,19,6,12
2013-05-12,12,27,0,0,8,3,11,0,60,0,78,0,7,11
2013-05-19,6,18,0,0,15,3,14,13,63,13,59,9,6,0
2013-05-26,6,0,0,0,17,3,17,32,53,13,69,18,5,23
2013-06-02,12,18,49,0,10,5,17,25,97,26,78,27,6,23
2013-06-09,6,36,0,0,12,3,28,31,84,27,29,9,4,0
2013-06-16,6,37,0,0,15,11,25,19,63,67,20,28,5,12
2013-06-23,0,0,0,0,11,8,28,45,53,27,30,9,5,0
2013-06-30,13,38,0,0,5,14,46,7,55,27,50,38,9,24
2013-07-07,0,19,0,0,14,6,14,20,38,14,61,19,10,12
2013-07-14,6,19,0,59,8,3,9,0,44,41,41,0,6,0
2013-07-21,0,19,0,0,5,3,17,13,43,0,40,28,7,12
2013-07-28,0,19,0,0,6,8,11,7,47,27,100,9,8,12
2013-08-04,6,38,0,0,8,8,23,20,39,14,51,19,7,24
2013-08-11,7,19,0,0,17,0,20,13,50,28,61,19,9,0
2013-08-18,0,37,99,0,11,6,14,13,30,27,50,18,7,23
2013-08-25,12,18,0,0,2,3,11,25,38,52,38,36,7,22
2013-09-01,0,18,0,0,15,3,19,37,49,0,19,18,6,11
2013-09-08,0,17,0,0,12,5,11,18,41,0,84,26,8,11
2013-09-15,0,35,0,0,6,3,8,24,39,13,47,9,8,22
2013-09-22,0,35,0,0,6,5,16,18,25,0,19,9,6,55
2013-09-29,6,26,47,0,13,0,8,24,47,13,28,0,8,11
2013-10-06,18,17,0,0,10,10,3,24,24,13,56,9,9,27
2013-10-13,6,35,0,55,21,5,5,12,28,0,0,0,7,17
2013-10-20,0,17,0,0,18,5,10,6,30,0,37,9,8,16
2013-10-27,12,17,0,0,20,13,18,18,26,38,19,9,8,22
2013-11-03,0,34,0,0,11,3,23,41,32,25,27,9,7,11
2013-11-10,0,17,46,0,9,3,18,0,41,12,0,0,5,22
2013-11-17,0,59,0,0,16,3,13,0,36,37,36,8,3,11
2013-11-24,0,33,0,0,8,10,20,6,36,37,18,8,10,32
2013-12-01,0,33,44,0,8,5,17,23,31,0,27,0,6,26
2013-12-08,6,0,0,52,15,15,36,6,42,25,36,17,6,11
2013-12-15,6,17,0,0,18,10,16,12,42,13,0,26,5,11
2013-12-22,0,76,0,0,11,0,18,7,29,14,21,0,5,30
2013-12-29,0,18,0,56,16,8,16,19,33,13,39,18,7,17
2014-01-05,0,25,0,0,18,7,20,28,35,0,53,17,9,42
2014-01-12,6,16,0,0,11,7,30,28,35,24,26,32,5,31
2014-01-19,11,16,0,0,20,5,29,39,54,12,34,24,8,10
2014-01-26,6,16,0,0,15,0,37,22,52,12,0,16,7,45
2014-02-02,17,17,0,0,9,5,21,12,59,0,18,8,7,43
2014-02-09,5,16,0,0,9,9,19,16,31,0,17,24,9,20
2014-02-16,0,16,0,0,12,9,31,11,44,34,34,16,11,20
2014-02-23,0,0,0,0,10,7,26,28,23,23,43,0,7,15
2014-03-02,5,0,0,0,18,5,34,39,35,0,26,0,7,10
2014-03-09,0,16,0,0,11,7,10,39,34,23,17,40,6,25
2014-03-16,5,16,0,49,11,2,24,27,27,0,17,24,7,30
2014-03-23,5,0,0,0,12,5,27,22,36,0,17,8,6,25
2014-03-30,5,16,43,49,17,2,14,17,35,12,0,16,7,15
2014-04-06,0,16,0,0,14,0,22,11,36,0,51,8,7,10
2014-04-13,6,0,0,52,13,15,18,17,33,12,36,34,7,16
2014-04-20,6,0,44,0,5,2,17,6,26,12,18,0,7,21
2014-04-27,11,0,0,0,12,10,20,17,31,0,52,0,8,20
2014-05-04,5,16,86,0,11,5,17,28,32,23,34,8,7,20
2014-05-11,11,32,0,0,7,12,22,22,28,0,17,8,8,15
